Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Sira Martinez Cullell,ESP,Devise du Salbey,990,0,61.35
2,Ismael Garcia Roque,ESP,President CL,600,0,64.50
3,Abdullah Alsharbatly,KSA,Casallino,450,0,66.46
4,Barbara Schnieper,SUI,Toronto Raptor,300,0,67.69
5,Mans Thijssen,NED,Knockout EB,180,0,68.25
6,Martín Rodríguez Vanni,URU,Quaido,135,0,69.12
7,Imma Roquet Autonell,ESP,Ivettus Del Maset,90,0,69.76
8,Carmen Mateos De Urbina,ESP,Alto de Talma,75,0,71.04
9,Leticia Riva Gil,ESP,Cadum de Champloue,60,0,72.02
10,Juan Riva Gil,ESP,Havanabalia Grand Moustier Z D,60,0,73.07
11,Santiago Nuñez Riva,ESP,Vendetta de Capellan,30,0,73.60
12,Qinyu Pang,CHN,Mikias Vd Bisschop,30,0,74.60
13,Iván Serrano Sáez,ESP,Porsche 911 M,,0,76.57
14,Alejandro Entrecanales Marsans,ESP,Banzai Semilly,,0,78.26
15,Mariano Martinez Bastida,ESP,Origi Van'T Geyzeven,,0,78.97
16,Sergio Alvarez Moya,ESP,Piper Vd Heffinck,,0,80.76
17,Deirdre Reilly,IRL,Othello van de Vlasbloemhoeve,,0,80.87
18,Philippe Rozier,FRA,Night Light Van'T Ruytershof,,0,80.94
19,Álvaro González De Zarate Fernandez,ESP,Cornets Esmeray PS,,3,83.28
20,Olivia Alvarez García,ESP,Cartouche,,4,57.44
21,Luis Ortiz Agüera,ESP,Easo J,,4,63.17
22,Leon Thijssen,NED,Dalivia Z,,4,64.08
23,Pablo Valle Espinedo,ESP,Meriarta,,4,68.20
24,Harry Allen,IRL,Billy Bud,,4,69.43
25,Dominique Zbinden,SUI,Othello Vom Eigen,,4,69.71
26,Carlos Muñiz Gonzalez,ESP,Exiom Glencoe Van'T Roosakker Z,,4,77.03
27,Angela Gonzalez Muñoz,MEX,Jay Jay ES,,4,77.35
28,Kevin Gonzalez De Zarate Fernandez,ESP,Houla Hop D Estive,,4,78.03
29,Kyle Timm,CAN,Atomica des Sequoias Z,,4,78.08
30,Claudia Sovero Mckay,PER,Forsety du Lys,,4,79.71
31,Saul Gutierrez Oti,ESP,Calsacanna Star PS,,4,80.47
32,Mel Thijssen,NED,Jarizona van de Muggenhoek,,4,84.85
33,Carolina Villanueva Suarez,ESP,Price de Hus Z,,8,58.96
34,Chloe Bertolini,ITA,Nalu By P&S,,8,70.65
35,Julio Arias Cueva,ESP,Fidji Beladeva,,8,80.61
36,Marcos Diaz Rodriguez,ESP,Filou du Manoir,,8,80.69
37,Jesus Torres Garcia,ESP,Icarus Cjs,,10,82.33
38,Isabella Gonzalez Xie,ESP,Garsina,,12,71.72
39,Teresa Arias Cueva,ESP,Bicina,,16,88.49
40,Sanne Thijssen,NED,Infinity Van Hof Ter Bolle,,19,91.07
EL,Castora Ortiz Agüera,ESP,Joapke,,,
RET,Jose Fumero Hernandez,ESP,Qornetta Van Stal de Troyer,,,
RET,Alejandro Alvarez Gutierrez,ESP,Little Chap S,,,
