Posición,Jinete,Caballo,Puntos,Tiempo
1,Olivier Philippaerts,Miro,0,65.40
2,Nadja Peter Steiner,Clearround IL Mondo,0,65.58
3,Simon Delestre,Golden Boy DK,0,66.00
4,Rodrigo Pessoa,Hard'Rock af,0,67.65
5,Harrie Smolders,Estrello Eh Z,0,69.42
6,Annelies Vorsselmans,VDL Kelton,0,70.23
7,Gregory Wathelet,Bond Jamesbond de Hay,0,71.44
8,Frederic Vernaet,Quatre Mai-L,0,72.92
9,Lillie Keenan,Emerlon,4,61.50
10,Martin Fuchs,Falcon du Toultia Z,4,64.17
11,Petronella Andersson,Imperia,4,64.57
12,Eduardo Pereira De Menezes,H5 Knockando,4,64.92
13,Gilles Thomas,Luna van het Dennehof,4,65.00
14,Ben Maher,Ginger-Blue,4,65.02
15,Steve Guerdat,Venard de Cerisy,4,66.64
16,Giampiero Garofalo,A Moonlight Speciale Z,4,69.09
17,Sean Monaghan,Roger de Mariposa,4,71.12
18,Henrik Von Eckermann,Glamour Girl,8,62.95
19,Richard Vogel,Phenyo van het Keysersbos,8,64.27
20,Abdulrahman Alrajhi,Kiss-Me V/H Bhh,8,64.90
21,Jos Verlooy,Parise van den Dael,8,67.53
22,Marilyn Little,Narado,8,67.57
23,Jeanne Sadran,Cepano Baloubet,8,67.72
24,Roger Yves Bost,Equine America Ballerine du Vilpion,8,69.93
25,Julien Epaillard,Easy Up de Grandry,8,69.96
26,Zoe Hank Conter,La Una,8,70.85
27,Marco Antonio Peixoto Ferreira Filho,Stagoldesso PS,8,72.19
28,Lara Tryba,Shot Gun,8,73.79
29,Max Kühner,Eic Cooley Jump The Q,9,78.57
30,Kendra Claricia Brinkop,Gatsby Le Magnific,12,66.09
31,Thibeau Spits,Gin Flip de Muze Z,12,66.25
32,Daniel Deusser,Inoui du Seigneur,16,73.32
33,Niels Bruynseels,Devidanga Sw Z,20,68.23
34,Kevin Staut,Ever de Turan,24,66.64
35,Jorge Matte Capdevila,Kinmar Bespoke,33,90.62
,Emma Bodier,Alba,EL,
,Mike van Olst,Cosi Von Hary Z,RET,
