Posición,Jinete,Caballo,Puntos,Tiempo
1,Ibrahim Yousuf Al Mahmoud,Perle Van Dorperheide,0,61.98
2,Alice Wachman,Thijssen Sr Z,0,66.61
3,Lieselot Kooremans,Nini Van HD,0,67.86
4,Florence Schwizer-Seydoux,Maeva Sitte,0,68.45
5,Charlotte Berghmans,Cornetto 60,0,68.93
6,Nadège Janssen,Devotion vh Beeckhof Z,0,75.64
7,Louise Losfeld,To The Moon du Grand Bray Z,0,76.02
8,Ibrahim Yousuf Al Mahmoud,Vito Blue PS,0,77.42
9,Mariana Frauches Chaves,Charming Coco Z,0,78.72
10,Victoria Vargas,Action With Me Dv Z,0,80.33
11,Carlos Hank Gonzalez,H5 Matcho van de Mishagen,0,80.40
12,Paulien Schepers,Say Yes Ckl,0,80.70
13,Lara Eggermont,Exan van de Kattevennen Z,0,80.73
14,Mariana Frauches Chaves,Enzo By Fape Z,0,82.11
15,Joker A. Arroyo,Conny-Blue,0,82.52
16,Stijn Timmerman,Little Fellow Z,1,84.24
17,Maxime Boutron,Hembleme Montdesir,4,62.64
18,Daan Bernaerts,Chilli Pepper Z,4,65.10
19,Vanessa Ingrid Pecina,Diamantico L,4,69.48
20,Cyril Cools,Kannet V.D. Rikse,4,71.44
21,Juliette Berghmans,Falcao de Beaufour,4,72.18
22,Oscar van den Berghe,Brexit,4,72.25
23,Thomas Leemans,Lou Van O.L.V. Hove,4,72.49
24,Rik Nauta,Noisette van de Ceulshaegen,4,72.83
25,Amira Kettaneh,California Rlcd Z,4,73.72
26,Niharika Singhania,Hambourg MF,4,75.00
27,Anna Sushcheva,Diva du Temple,4,75.88
28,Ina Kai Barila-Laliberte,Miss Montreal Vdp,4,76.96
29,Cyril Cools,Kacharel DB,4,77.70
30,Léa de Coulon,Jumbo des Flagues,4,77.96
31,Victoria Vargas,Booble Maps,4,79.91
32,Nadège Janssen,Jaures de La Besace,4,80.22
33,Manon de Corte,Muscato de Laubry,4,80.48
34,Sophie Maher,Amorinas Booomerang,4,80.76
35,Jorik Vervoort,Tornado Sh Old,4,81.11
36,Bethanie Knight,Nacho Chavannais,5,84.15
37,Louise Losfeld,Athina Louise Z,5,84.33
38,Juliette Berghmans,Artichaut de Lolif,8,64.66
39,Vanessa Ingrid Pecina,Surprising Dream S.H.O. Z,8,66.67
40,Thomas Leemans,Petrouska Dm Z,8,68.27
41,Valentine Raulier,Helix Quality,8,69.42
42,Ludovica Camerlengo,Kikidola,8,69.84
43,Oona-Julia Roto,Ahg Whiterock de Muse Of Cruise,8,71.93
44,Ivana Zálešák Hron,Quino RC,8,75.16
45,Anique Selten,Pozzovivo Van 'T Verahof,8,75.56
46,Jules Denutte,Natan,8,76.54
47,Leonardo Basola,Ladok,8,77.03
48,Sarah Lynch,Kilnamac Cody,8,82.54
49,Maxime Boutron,Hook de Favi,11,86.01
50,Thibault Vermeulen,Porsche V,12,69.52
51,Aimee van Gerwen,Udarena Wd Z,12,80.05
52,Carlos Hank Gonzalez,H5 Call ME,12,80.99
53,Charlotte Berghmans,Bach des Coeuries Z,20,74.73
54,Eliah Pieters,Cornel Ws Z,20,91.50
,Chanel de Roeck,Elite van de Kasteeldreef Z,EL,
,Chanel de Roeck,Showoff af Z,EL,
