Posición,Jinete,Caballo,Puntos,Tiempo
1,Lauranne Spits,Unanyme Dwerse Hagen,0,67.63
2,Oscar van den Berghe,Emericella Dw Z,0,68.40
3,Ali Al Khorafi,Pericles P&A Z,0,68.46
4,Oleksandr Prodan,Montepulciano Di Fer Z,0,69.33
5,Emily Turkington,Dasco 12,0,70.63
6,Fanny Rivon,Kassia Tontenant,0,71.08
7,Thibeau Spits,Ustino Vd Bisschop,0,71.92
8,Joe Clee,Doha Z,0,73.47
9,Frederic Vernaet,Colvis de Muze,0,73.58
10,Roberto Mendonça Dias,Chilli Pepper Aeg Z,0,74.05
11,Daniel Deusser,Devil 2000 Z,0,74.58
12,Harry Allen,Kaolak de La Cense,0,74.84
13,Bethanie Knight,Colini 3,0,75.49
14,Mike van Haudt,Ultima Van T'Tkeikelhof,0,76.40
15,Dennis van den Brink,Happy Calmia,0,76.44
16,Odile Gierech,Undercover Van'T Paradijs,0,77.81
17,Niels Bruynseels,Celangelo Z,0,79.61
18,Stefanie Carroll,Coshyra Hero Broekkant Z,0,79.79
19,Jonna Ekberg,Scout Z,0,80.13
20,Ivan Dalton,Emoji Sk Stables Z,0,80.68
21,Jos Verlooy,Divinus van de Kapel Z,0,80.74
22,Rebecca Lindeblad,U-Special Van HD,3,83.53
23,Mauro Stas,Casta Diva des Premices Z,4,71.59
24,Vic de Plecker,Une Belle Van Stestavi,4,74.21
25,Antoine Ermann,Porsche BH,4,76.00
26,Rik Nauta,U2 Van Strijtem,4,76.54
27,Jeroen de Winter,Leontien Dh Z,4,77.28
28,Aurelia Guisson,Une Beauty Belle JW,4,78.85
29,Romain Dreyfus,Amstrong Z,4,79.62
30,Koen Vereecke,Ultra Flip de Muze,4,79.65
31,Victor de Boitselier,Togo de Liebri Z,7,83.10
32,Paulien Schepers,Dolce Vita Exclusive Z,8,71.41
33,Sierra Wilson,Viva La Vida,8,79.57
34,Stéphanie Saverys,Unlimited Edition Jw de Muze,21,93.41
35,Christian Ahlmann,Ambassador Z,23,95.68
36,Neri Pieraccini,Orion van den Aard Z,33,105.41
