Posición,Jinete,Caballo,Puntos,Tiempo
1,Marthe Heudens,Silver Van'T Keikelhof,0,57.72
2,Margarita D´Agostino Vargas,Magic Girl,0,59.11
3,Lieselot Kooremans,Eden Jeleena Dr Z,0,59.27
4,Daan Bernaerts,Chilli Pepper Z,0,59.38
5,Rik Nauta,Noisette van de Ceulshaegen,0,60.00
6,Thomas Leemans,Lou Van O.L.V. Hove,0,61.34
7,Emily Turkington,Rockefeller,0,61.38
8,Logan Fiechter,Talent Z,0,61.54
9,Joker A. Arroyo,Evita du Soleil,0,62.72
10,Chanel de Roeck,Elite van de Kasteeldreef Z,0,63.66
11,Alexandra Paillot,M.Adermie RJ,0,65.14
12,Lara Eggermont,Exan van de Kattevennen Z,0,65.92
13,Stefanie Carroll,Take Off de Muze,0,65.93
14,Nadège Janssen,Devotion vh Beeckhof Z,0,66.57
15,Marie Eder Ferrero,Quesera de Muze,0,66.70
16,Johnatan Tassignon,Sirius Van'T Wimpelhof,0,66.74
17,Felipe Coutinho Mendonca Nagata,Krysia Sitte,0,66.89
18,Anique Selten,Pozzovivo Van 'T Verahof,0,66.92
19,Ivana Zálešák Hron,Quino RC,0,67.50
20,Louise Losfeld,To The Moon du Grand Bray Z,0,68.19
21,Jorik Vervoort,Tornado Sh Old,0,68.46
22,Mathias Hazebroek,El Pachat 111 Z,0,69.84
23,Mathilda Hansson,Qurina van het Leliehof,0,72.57
24,Antoine Deprez,Kinga de Himbe,0,73.44
25,Sarah Lynch,Kilnamac Cody,0,74.46
26,Oscar van den Berghe,Top Secret de Muze Z,0,74.65
27,Mariana Frauches Chaves,Charming Coco Z,3,78.46
28,Jonathan Hansson,Obelix Vd Berghoeve,4,59.37
29,Thibaud Ebinger,Amazing Smile Bs Z,4,59.93
30,Cyril Cools,Kacharel DB,4,60.55
31,Vanessa Ingrid Pecina,Diamantico L,4,61.85
32,Dennis van den Brink,Nanjing HW,4,62.47
33,Eliah Pieters,Cornel Ws Z,4,63.18
34,Alice Wachman,Thijssen Sr Z,4,64.83
35,Charlotte Berghmans,Bach des Coeuries Z,4,64.93
36,Maxime Boutron,Hook de Favi,4,65.08
37,Oona-Julia Roto,Ahg Whiterock de Muse Of Cruise,4,65.53
38,Lynn Eggermont,Lachlan,4,66.02
39,Jules Denutte,Natan,4,68.27
40,Aimee van Gerwen,Udarena Wd Z,4,68.50
41,Sophie Maher,Nice Star B,4,68.73
42,Claire Putters,Sjaakie Van d'Abelendreef,4,68.90
43,Victoria Vargas,Action With Me Dv Z,4,71.05
44,Bethanie Knight,Nacho Chavannais,4,71.52
45,Claire Mckean,Delcon,4,71.75
46,Ibrahim Yousuf Al Mahmoud,Vito Blue PS,4,74.18
47,Juliette Berghmans,Artichaut de Lolif,8,54.08
48,Ina Kai Barila-Laliberte,Miss Montreal Vdp,8,62.29
49,Amira Kettaneh,California Rlcd Z,8,65.01
50,Léa de Coulon,Jumbo des Flagues,8,73.20
51,Stijn Timmerman,Little Fellow Z,8,73.33
52,Carlos Hank Gonzalez,H5 Call ME,8,75.35
53,Joe Clee,Allroad 2000 Z,11,86.72
54,Christophe Boden,O-Mero Van'T Streyehof,12,65.57
55,Maria Privitera,Kriskras,12,65.65
56,Valentine Raulier,Helix Quality,12,68.36
57,Leonardo Basola,Ladok,16,65.68
58,Salome Jobert,Eau de Vie Jeleena Dr Z,17,88.83
59,Paulien Schepers,Say Yes Ckl,20,87.76
,Niharika Singhania,Mr Thunder,EL,
,Jérôme Denutte,Umour Noir de Crann,EL,
