Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II,Total
1,Mauro Stas,Casta Diva des Premices Z,0,33.74,0,34.19,0
2,Paulien Schepers,Dolce Vita Exclusive Z,0,34.31,0,35.72,0
3,Aurelia Guisson,Une Beauty Belle JW,0,34.94,0,35.85,0
4,Frederic Vernaet,Colvis de Muze,0,35.36,0,36.97,0
5,Ali Al Khorafi,Pericles P&A Z,0,34.40,0,37.18,0
6,Joe Clee,Doha Z,0,35.53,0,38.23,0
7,Emily Turkington,Dasco 12,0,36.34,0,38.24,0
8,Koen Vereecke,Ultra Flip de Muze,0,35.23,0,38.94,0
9,Fanny Rivon,Kassia Tontenant,0,36.75,0,41.15,0
10,Vic de Plecker,Une Belle Van Stestavi,0,34.96,0,41.28,0
11,Dennis van den Brink,Happy Calmia,0,34.54,0,41.81,0
12,Daniel Deusser,Devil 2000 Z,0,35.00,0,41.99,0
13,Alexis Lheureux,Ogusson du Seigneur,0,36.05,0,42.58,0
14,Stefanie Carroll,Coshyra Hero Broekkant Z,0,35.06,0,43.30,0
15,Ivan Dalton,Emoji Sk Stables Z,0,36.43,0,43.59,0
16,Rebecca Lindeblad,U-Special Van HD,0,35.19,0,43.85,0
17,Victor de Boitselier,Togo de Liebri Z,0,37.76,0,43.89,0
18,Thibeau Spits,Ustino Vd Bisschop,0,36.85,0,44.16,0
19,Odile Gierech,Undercover Van'T Paradijs,0,35.55,0,44.24,0
20,Jos Verlooy,Divinus van de Kapel Z,0,36.26,0,44.31,0
21,Niels Bruynseels,Celangelo Z,0,36.16,0,44.35,0
22,Harry Allen,Kaolak de La Cense,0,34.82,0,44.61,0
23,Bethanie Knight,Colini 3,0,36.44,0,44.80,0
24,Lauranne Spits,Unanyme Dwerse Hagen,0,33.29,4,33.41,4
25,Oscar van den Berghe,Emericella Dw Z,0,34.24,4,35.54,4
26,Mike van Haudt,Ultima Van T'Tkeikelhof,0,35.68,4,40.66,4
27,Jonna Ekberg,Scout Z,4,34.20,0,41.19,4
28,Romain Dreyfus,Amstrong Z,0,34.40,4,42.99,4
29,Roberto Mendonça Dias,Chilli Pepper Aeg Z,0,33.70,4,43.08,4
30,Antoine Ermann,Porsche BH,0,35.17,4,43.27,4
31,Neri Pieraccini,Orion van den Aard Z,0,35.34,4,43.98,4
32,Christian Ahlmann,Ambassador Z,0,35.01,4,44.15,4
33,Oleksandr Prodan,Montepulciano Di Fer Z,0,37.36,6,46.30,6
34,Rik Nauta,U2 Van Strijtem,4,34.99,4,41.84,8
35,Stéphanie Saverys,Unlimited Edition Jw de Muze,8,33.72,4,44.17,12
36,Sierra Wilson,Viva La Vida,4,34.88,8,44.84,12
37,Jeroen de Winter,Leontien Dh Z,21,58.75,0,40.19,21
