Posición,Jinete,Caballo,Puntos,Tiempo
1,Martin Fuchs,Love de Vie,0,122.08
2,Alix Ragot,Serafina Dbh Z,4,139.64
3,Lorenzo Privitera,Pimpelmees van de Lentamel,8,144.65
4,Kasper de Boeck,Entertainer 111 Z,20,147.60
5,Neri Pieraccini,Newton Van'T Zorgvliet,16,147.99
6,Emma Sophia Spanko,Black Jack Ixe,8,151.52
7,Jan Vermeiren,Roxy van de Paardenhoeven,16,152.74
8,Alberto Zorzi,Camilla Bb88,12,156.79
9,Yves Vanderhasselt,Rhiana Van 'T Zand,16,160.97
,Elize van de Mheen,Fides du Mas Garnier,RET,
,Anthony Philippaerts,Spirit du Coeur des Collines,EL,
