Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate,Total
1,Denis Lynch,Brooklyn Heights,0,72.69,0,39.32,0
2,Simon Delestre,Golden Boy DK,0,72.82,4,36.93,4
3,Lillie Keenan,Highway TN,0,73.42,4,37.48,4
4,Ben Maher,Ginger-Blue,0,75.26,8,39.47,8
5,Jérôme Guery,Kiliman Sitte,1,76.01,,,1
6,Pieter Devos,Rainbow Van'T Zorgvliet,1,76.03,,,1
7,Stephanie Macieira,Hfb Swarovski,1,76.84,,,1
8,Jeanne Sadran,Cepano Baloubet,4,71.81,,,4
9,Richard Vogel,Phenyo van het Keysersbos,4,71.97,,,4
10,Christian Ahlmann,Vivario Jl Z,4,72.91,,,4
11,Olivier Philippaerts,Miro,4,73.49,,,4
12,Nadja Peter Steiner,Clearround IL Mondo,4,73.80,,,4
13,Gilles Thomas,Luna van het Dennehof,4,74.16,,,4
14,Abdel Saïd,Wathnan Max,4,74.26,,,4
15,Steve Guerdat,Venard de Cerisy,4,74.34,,,4
16,Martin Fuchs,Falcon du Toultia Z,4,74.60,,,4
17,Kristen Vanderveen,Starbucks 27,4,75.15,,,4
18,Lara Tryba,Chageorge,4,75.45,,,4
18,Michael Duffy,Camina Z,4,75.45,,,4
20,Marilyn Little,Narado,4,75.50,,,4
21,Rodrigo Pessoa,Hard'Rock af,4,75.59,,,4
22,Hilary Scott,Oaks Milky Way,4,75.84,,,4
23,Jorge Matte Capdevila,Ccs Uriko,4,79.02,,,4
24,Maikel van der Vleuten,Jesther,6,77.57,,,6
25,Billy Twomey,Jumping Jack van de Kalevallei,7,78.23,,,7
26,Max Kühner,Eic Quantum Robin V,8,74.78,,,8
27,Jos Verlooy,Parise van den Dael,8,75.33,,,8
28,Gabriel de Matos Machado,Nyles van de Mottelhoeve,8,75.45,,,8
29,Daniel Deusser,Inoui du Seigneur,8,75.82,,,8
30,Petronella Andersson,Imperia,8,75.85,,,8
31,Kevin Staut,Ever de Turan,12,74.10,,,12
32,Abdulrahman Alrajhi,Kiss-Me V/H Bhh,12,74.57,,,12
33,Harrie Smolders,Estrello Eh Z,15,78.36,,,15
34,Marco Antonio Peixoto Ferreira Filho,Stagoldesso PS,15,78.38,,,15
35,Kendra Claricia Brinkop,Gatsby Le Magnific,16,79.26,,,16
36,Andres Azcarraga,Yax Vd Berghoeve,20,74.60,,,20
,Giampiero Garofalo,A Moonlight Speciale Z,RET,,,,RET
,Gregory Wathelet,Double Jeu d'Honvault,RET,,,,RET
,Frederic Vernaet,Quatre Mai-L,RET,,,,RET
,Nicolas Pizarro,Pia Contra,RET,,,,RET
,Kim Emmen,Hellix du Seigneur,RET,,,,RET
,Sean Monaghan,Roger de Mariposa,RET,,,,RET
