Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Younes Mohamed Yakoub Ferradj,Bambou de l'Yserand,0,70.28,0,37.40
2,Thomás de Castro Gouvêa,Cressida II van de Lentakker Z,0,71.41,0,40.93
3,Hanne Muyldermans,Gentleman,0,72.44,0,43.23
4,Sierra Wilson,Obaniki,0,73.15,0,43.75
5,Martina Franco Stephan,Douce Emeraude d'OR,0,74.12,0,45.26
6,Luciana de Almeida Camargo,Jasmine des Epinettes,0,73.50,0,45.61
7,Caroline de Laet,Diacartho Blue PS,0,73.69,0,45.88
8,Sehaj Singh Virk,Untouched de Luna,0,79.69,0,49.51
9,Lara Ganoza Guerrero,Berlouke Al Z,0,71.85,4,41.62
10,Marie-Alix Vandenbroeck,Layla -P,0,73.79,4,43.80
11,Jorge Ganoza Durant,Gentle van de Kattevennen Z,0,75.69,4,44.25
12,Carla Illiano,How Are You,0,71.32,4,44.65
13,Fien Massagé,Early Star d'Alfa,0,74.46,4,45.82
14,Georgina Round,Layla van het Bildeken Z,0,75.27,4,47.14
15,Isabelle Hanssens,Showtime de Rie Z,0,72.49,8,45.03
16,Alisa Romanova,Roosje van de Moorskeshoeve,0,73.17,8,48.41
17,Holly Smith,Louisana van de Moortelshoeve,0,72.16,25,72.95
18,Alex Atherton,Ralf,0,73.64,EL,
19,Patricia Guery,Exco van de Kattevennen Z,0,75.22,,
20,Zelie Delestrez,Fairplais des Moulins,4,68.57,,
21,Lily Bouvard,Heroce des Bargues,4,69.68,,
22,Maxime Boelaert,Onyx de Royal Horse,4,70.05,,
23,Camille Mestdagh,Hottonie de Kreisker,4,70.22,,
24,Monique Becker,Cocorine Z,4,71.35,,
25,Jeanne Bernard,Extreme du Gue,4,71.69,,
26,Younes Mohamed Yakoub Ferradj,Instinct d'Argouges,4,72.43,,
27,Yannan Dai,Hera Fbh,4,72.56,,
28,Yannan Dai,Lover Boy Svo,4,72.79,,
29,Caroline de Laet,Januzaj,4,76.35,,
30,Peter Mattos Botelho Greenlees,Ino Uno d'OR,4,76.75,,
31,Maya Ganoza Guerrero,Okidoki,4,78.10,,
32,Victor de Boitselier,Uganda de Liebri Z,4,78.20,,
33,Victor de Boitselier,Calais de Liebri Z,4,80.45,,
34,Valerie Blommaert,Gina Z,6,82.66,,
35,Fleur Beyne,Caja,8,72.42,,
36,Fleur Goorden,T - Le Blue Tassini,8,74.86,,
37,Nakshath Venkatesh,Get Lucky Wallie,8,77.83,,
38,Sebastien Kapel,Vanda Oyster,8,79.77,,
39,Jana Deneyer,M&M van het Drijneerveld Z,12,71.45,,
40,Pierre Wigny,Guanaco,12,72.50,,
41,Noor Rawji,Tequilano vh Maarlo,12,80.02,,
42,Rodolphe Bernard,Taliman VJ,20,73.99,,
43,Tian Xia,Continezzo PS,21,97.50,,
44,Wanda Poschwatta,La Belle C Roman,23,91.11,,
45,Louise Sadran,Fleur Charboniere,31,95.11,,
46,Noor Rawji,Mieke Van Spieveld,34,98.79,,
,Bathilde Lorenzetti,Karioka de L Herse,RET,,,
,Devon Esrick,Glamour Di Alma Terra,RET,,,
