Posición,Jinete,Caballo,Puntos,Tiempo
1,Fleur Beyne,Caja,0,62.77
2,Carla Illiano,How Are You,0,63.36
3,Younes Mohamed Yakoub Ferradj,Bambou de l'Yserand,0,63.84
4,Ines van den Bosch,Paris van de Berghoeve,0,65.04
5,Thomás de Castro Gouvêa,Cressida II van de Lentakker Z,0,65.20
6,Maxime Boelaert,Onyx de Royal Horse,0,65.27
7,Jeanne Bernard,Extreme du Gue,0,65.30
8,Valentine Auguin,Enjoy de Malotithe,0,66.15
9,Alex Atherton,Killer du Grand Moustier,0,66.71
10,Devon Esrick,Glamour Di Alma Terra,0,67.19
11,Fien Massagé,Early Star d'Alfa,0,68.41
12,Monique Becker,Cocorine Z,0,68.46
13,Bade Duru Atesçiçegi,True Blue de La Liniere,0,70.10
14,Sierra Wilson,Obaniki,0,70.71
15,Yannan Dai,Hera Fbh,0,70.77
16,Holly Smith,Louisana van de Moortelshoeve,0,72.09
17,Nele Kortsch,Big Solution,0,72.93
18,Isabelle Hanssens,Showtime de Rie Z,0,74.12
19,Julie Pascale Ruant,Dolphin Of Picobello Z,0,74.24
20,Martina Franco Stephan,Douce Emeraude d'OR,0,74.46
21,Georgina Round,Layla van het Bildeken Z,0,75.31
22,Maya Ganoza Guerrero,Okidoki,0,76.00
23,Noor Rawji,Tequilano vh Maarlo,0,76.77
24,Fleur Goorden,T - Le Blue Tassini,0,77.50
25,Marie-Alix Vandenbroeck,Layla -P,0,80.27
26,Victor de Boitselier,Calais de Liebri Z,0,83.66
27,Hanne Muyldermans,Gentleman,4,66.54
28,Ali Hussain Alnowais,One Lewis,4,69.55
29,Ana Eliza Aguiar Ramos,Diamant Haylla Imperio Egipcio,4,76.44
30,Nakshath Venkatesh,Get Lucky Wallie,4,78.00
31,Kirstin Robbins,Davinci Vd Bosrand Z,4,78.89
32,Tian Xia,Continezzo PS,4,79.29
33,Alisa Romanova,Roosje van de Moorskeshoeve,4,79.35
34,Luciana de Almeida Camargo,Jasmine des Epinettes,4,80.40
35,Bathilde Lorenzetti,Vangelis Pommex Z,4,81.66
36,Louise Sadran,Fleur Charboniere,8,69.72
37,Valerie Blommaert,Gina Z,8,75.02
38,Karlien Fannes,Theodora van het Molenhof,8,79.50
39,Sebastien Kapel,Vanda Oyster,8,84.29
40,Sehaj Singh Virk,Untouched de Luna,8,88.92
41,Morgane Claeys,Gominka L,12,69.12
42,Rodolphe Bernard,Taliman VJ,12,78.09
43,Kristina Zubac,Contuto PS,45,126.00
,Peter Mattos Botelho Greenlees,Ino Uno d'OR,EL,
,Shouq Yousif Al Nowais,Conchita,RET,
