Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II
1,Monique Becker,Laville Topfok,0,43.52,0,28.30
2,Fleur Beyne,Caja,0,47.26,0,28.74
3,Ali Hussain Alnowais,Etoile de La Roche,0,49.23,0,29.11
4,Astrid de Pauw,Etoile de Laubry Z,0,48.37,0,29.23
5,Stephanie de Corte,Memphis van de Neerheide,0,49.85,0,29.91
6,Thibault Ternon,Estoy du Plessis,0,46.41,0,29.98
7,Sebastien Kapel,Amiable Girl,0,47.04,0,30.44
8,Kirstin Robbins,Nova Aeg,0,44.32,0,30.64
9,Stéphanie Saverys,Kigara d'Elnoa Z,0,47.89,0,31.07
10,Maxime Boelaert,Capri Sun 5,0,46.38,0,31.10
11,Carla Illiano,Goldikova de Kreisker,0,45.52,0,31.21
12,Sierra Wilson,Quanta de l'Isle,0,47.91,0,31.27
13,Nele Kortsch,Go Classico,0,47.04,0,31.44
14,Ines van den Bosch,Scalibur,0,48.11,0,31.56
15,Devon Esrick,Ona van de Helle,0,45.96,0,31.62
16,Georgina Round,Billy Hustle,0,48.96,0,31.94
17,Louise Sadran,Je T'Adore,0,49.35,0,32.14
18,Aisling Byrne,Real Ohlala,0,48.42,0,32.16
19,Holly Smith,Conrad Quality Z,0,49.02,0,32.42
20,Alisa Romanova,Kyamara,0,48.62,0,32.50
21,Lara Ganoza Guerrero,Berlouke Al Z,0,45.88,0,33.04
22,Yannan Dai,Toscane Z,0,49.70,0,34.00
23,Margot Devisscher,Parel Van'T Farsenhoven,0,48.81,0,34.36
24,Patricia Guery,Damoiselle Froufrou,0,47.58,0,34.67
25,Lynn D'Have,Chique Z,0,47.95,0,34.85
26,Luciana de Almeida Camargo,Touch Of Easy Van'T Paradijs,0,49.06,0,35.66
27,Maxime Hazebroek,Nashville Dh Z,0,49.35,0,36.10
28,Karlien Fannes,Theodora van het Molenhof,0,48.88,0,36.87
29,Martina Franco Stephan,Ecuador de Beaufour,0,45.68,4,28.95
30,Valerie Blommaert,In Style Hst,0,47.12,4,29.29
31,M Krishna Sahithi,Capri Sun 3,0,47.18,4,31.93
32,Amer Hamad Al Mansoori,Normamorka,0,49.71,4,38.79
33,Angela Gonzalez Muñoz,Piper Vd Heffinck,0,49.73,8,38.50
34,Victor de Boitselier,Looks Good de Liebri Z,0,47.76,9,44.71
35,Sam Maelfait,Neptune Z,0,49.24,13,44.52
36,Charlotte Maccagnani,Hatzidee PR,0,49.18,16,47.84
37,Valentine Auguin,Dandy de La Rose,1,50.02,,
38,Rebecca Lindeblad,Con Dio,1,50.42,,
39,Tian Xia,Quatta DK,2,51.09,,
40,Caroline de Laet,Januzaj,2,51.28,,
41,Alex Atherton,Killer du Grand Moustier,4,43.17,,
42,Younes Mohamed Yakoub Ferradj,Bambou de l'Yserand,4,43.89,,
43,Thomás de Castro Gouvêa,Cressida II van de Lentakker Z,4,45.52,,
44,Bade Duru Atesçiçegi,Coulibaly LV Diepenbroeck Z,4,46.65,,
45,Lente Dierickx,Utopia Van'T Keikelhof,4,46.90,,
46,Peter Mattos Botelho Greenlees,Lavanti V,4,48.13,,
47,Lizanna Kiss,Million Rose,4,49.49,,
48,Noor Rawji,Mieke Van Spieveld,8,43.41,,
49,Sehaj Singh Virk,Ucarena Wd Z,8,48.00,,
50,Fleur Goorden,T - Le Blue Tassini,13,50.56,,
51,Rodolphe Bernard,Maserati Quality,25,62.41,,
,Shouq Yousif Al Nowais,Conchita,EL,,,
,Ibrahim Khalid Al Kuwari,Mabelle de Villee,RET,,,
