Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II,Total
1,Valerie Blommaert,Gina Z,0,34.95,0,26.25,0
2,Carla Illiano,How Are You,0,34.62,0,26.37,0
3,Thomás de Castro Gouvêa,Ciarah Van'T Welthof,0,35.06,0,26.93,0
4,Ines van den Bosch,Paris van de Berghoeve,0,36.80,0,27.01,0
5,Jeanne Bernard,Extreme du Gue,0,32.47,0,27.04,0
6,Kirstin Robbins,Davinci Vd Bosrand Z,0,35.15,0,27.05,0
7,Ali Hussain Alnowais,One Lewis,0,36.24,0,27.20,0
8,Valentine Auguin,Enjoy de Malotithe,0,34.14,0,27.61,0
9,Alex Atherton,Ralf,0,37.34,0,27.77,0
10,Hanne Muyldermans,Gentleman,0,35.57,0,27.89,0
11,Maxime Boelaert,Onyx de Royal Horse,0,34.19,0,28.00,0
12,Thomas Hermann,Popayan de l'Heribus,0,34.86,0,28.85,0
13,Nele Kortsch,Big Solution,0,35.40,0,29.00,0
14,Sierra Wilson,Obaniki,0,36.79,0,29.16,0
15,Camille Mestdagh,Hottonie de Kreisker,0,33.32,0,29.21,0
16,Fleur Beyne,Cipollini Second Life Z,0,38.72,0,29.25,0
17,Peter Mattos Botelho Greenlees,Ino Uno d'OR,0,36.41,0,29.43,0
18,Yannan Dai,Lover Boy Svo,0,34.60,0,29.44,0
19,Fleur Goorden,Maban II Van Beek Z,0,36.14,0,29.98,0
20,Patricia Guery,Exco van de Kattevennen Z,0,34.77,0,30.34,0
21,Karlien Fannes,Ti Amo DR,0,38.08,0,30.41,0
22,Monique Becker,Cocorine Z,0,36.60,0,30.54,0
23,Luciana de Almeida Camargo,Jasmine des Epinettes,0,36.09,0,30.89,0
24,Jorge Ganoza Durant,Gentle van de Kattevennen Z,0,36.45,0,31.10,0
25,Fien Massagé,Early Star d'Alfa,0,37.17,0,31.32,0
26,Sofia Francois,Kaffino By Boris,0,36.38,0,31.88,0
27,Tian Xia,Continezzo PS,0,38.43,0,31.95,0
28,Holly Smith,Louisana van de Moortelshoeve,0,35.91,0,32.32,0
29,Lara Ganoza Guerrero,Quintessential WF,0,35.99,0,32.84,0
30,Julie Thiry,Chilli Willi EW,0,37.85,0,33.43,0
31,Marielle Pauwels,O'Malley Mousse,0,40.00,0,34.18,0
32,Devon Esrick,Glamour Di Alma Terra,0,34.87,4,27.08,4
33,Louise Sadran,Fleur Charboniere,4,36.34,0,27.51,4
34,Younes Mohamed Yakoub Ferradj,Tinkas Chaccoblue Van Essene,0,36.68,4,29.17,4
35,Wanda Poschwatta,La Belle C Roman,0,34.76,4,29.18,4
36,Klara Robbins,Caluna Z,0,34.73,4,29.62,4
37,Caroline de Laet,Diacartho Blue PS,4,36.98,0,29.91,4
38,Xiang Shi,Qurado van het Molenhof,4,35.49,0,31.06,4
39,Ana Eliza Aguiar Ramos,Diamant Haylla Imperio Egipcio,4,36.11,0,32.31,4
40,Ignace Dierickx,Romeo van het Heidehof,0,39.33,4,32.97,4
41,Maya Ganoza Guerrero,Okidoki,4,39.21,0,34.01,4
42,Nakshath Venkatesh,Get Lucky Wallie,4,37.45,0,34.86,4
43,Joris Lecoque,Apereau van de Broy Z,0,36.46,8,28.26,8
44,Louna Delestre,Callinda Denfer,4,38.09,4,30.08,8
45,Julie Pascale Ruant,Dolphin Of Picobello Z,4,37.87,4,31.73,8
46,Sebastien Kapel,Vanda Oyster,8,38.94,0,33.03,8
47,Angela Gonzalez Muñoz,Sma Diarona,8,38.95,0,33.80,8
48,Victor de Boitselier,Uganda de Liebri Z,2,43.20,8,31.52,10
49,Noor Rawji,Tequilano vh Maarlo,0,36.86,10,41.37,10
50,Rodolphe Bernard,Taliman VJ,8,33.53,4,28.33,12
51,Bathilde Lorenzetti,Karioka de L Herse,13,50.59,0,33.49,13
52,Jana Deneyer,M&M van het Drijneerveld Z,8,33.99,8,27.60,16
,M Krishna Sahithi,Darido,EL,,,,
,Sam Maelfait,My Girl Jt Z,EL,,,,
,Morgane Claeys,Gominka L,EL,,,,
