Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Kristen Vanderveen,Bull Run's Jireh,0,73.56,0,35.02
2,Cian O'Connor,Kentucky TN,0,71.30,0,37.33
3,Richard Vogel,Gangster Montdesir,0,69.49,0,37.83
4,Petronella Andersson,Odina Van Klapscheut,0,73.89,0,38.60
5,Frederic Vernaet,Orak d'Hamwyck T&L,0,73.82,0,40.17
6,Harrie Smolders,Monaco,0,73.27,0,43.17
7,Daniel Deusser,Pepita Van T Meulenhof BR,0,70.71,4,37.04
8,Giampiero Garofalo,Querido Van'T Ruytershof,0,73.50,4,40.99
9,Pieter Devos,Rainbow Van'T Zorgvliet,0,71.92,4,42.01
10,Ben Maher,Maddox vh Haringvliet Z,2,75.18,,
11,Piergiorgio Bucci,Pallieter Vd N.Ranch,4,69.96,,
12,Denis Lynch,Vistogrand,4,71.09,,
13,Zoe Hank Conter,H5 Chaccophanie,4,71.43,,
14,Annelies Vorsselmans,Trezeguet,4,71.65,,
15,Maikel van der Vleuten,Quastor Vd Heffinck,4,71.69,,
16,Henrik Von Eckermann,Qasirah van de Reistenhoek,4,71.82,,
17,Jeanne Sadran,Dexter de Kerglenn,4,72.00,,
18,Martin Fuchs,Lorde,4,72.13,,
19,Olivier Philippaerts,Hipster SV,4,72.37,,
20,Jérôme Guery,Quito de Mariposa,4,72.48,,
21,Abdulrahman Alrajhi,Lorenzo ES,4,73.31,,
22,Gilles Thomas,Riesling Van T Roosakker,4,73.50,,
23,Eduardo Pereira De Menezes,H5 Londontime,4,73.81,,
24,Hilary Scott,Lola,4,73.96,,
25,Niels Bruynseels,Oaky Flandria,4,77.01,,
26,Simon Delestre,Gatsby du Tillard,5,74.15,,
27,Max Kühner,Eic Quantum Robin V,5,74.56,,
28,Carlos Hank Guerreiro,H5 Ganesh Hero Z,6,75.41,,
29,Mike van Olst,Comme Elle Faut Odth Z,7,76.38,,
30,Julien Epaillard,Fringan de Vesquerie,8,69.49,,
31,Stephan de Freitas Barcha,Dinozo Imperio Egipcio,8,72.09,,
32,Kendra Claricia Brinkop,Replay Van 'T Paradijs,8,72.33,,
33,Kevin Staut,Exquis RB,8,72.97,,
34,Kim Emmen,Hellix du Seigneur,8,73.32,,
35,Roger Yves Bost,Go To Hickstead MF,8,73.68,,
36,Michael Duffy,Camina Z,9,74.25,,
37,Billy Twomey,Ace Of Hearts Z,9,74.82,,
38,Nicolas Pizarro,Chacalua Blue PS,9,75.00,,
39,Christian Ahlmann,Sheeran WL,9,78.13,,
40,Jos Verlooy,Nixon Van 'T Meulenhof,11,76.08,,
41,Marlon Modolo Zanotelli,Charly Heart,12,71.16,,
42,Marco Antonio Peixoto Ferreira Filho,Everest V'T Hof V Eversem Z,12,72.36,,
43,Abdel Saïd,Wathnan Bonne Amie,12,73.54,,
44,Sean Monaghan,Chef Of Flanders Fields Z,12,73.78,,
45,Gabriel de Matos Machado,Legaland Sandro,12,73.89,,
46,Thibeau Spits,Jazzy des Dames,13,74.31,,
47,Steve Guerdat,Lancelotta,13,74.59,,
48,Stephanie Macieira,Hfb Swarovski,14,75.40,,
49,Rodrigo Pessoa,Prins Van 'T Eigenlo,17,74.74,,
50,Nadja Peter Steiner,Quarantinette Vt Hazelarenhoekje,20,71.61,,
51,Nina Mallevaey,Destine To BE,22,87.38,,
,Emma Bodier,Medoc de Muze,EL,,,
,Andres Azcarraga,Yax Vd Berghoeve,RET,,,
,Marilyn Little,Heidi Von Imhoff,RET,,,
,Jorge Matte Capdevila,Ccs Uriko,RET,,,
,Lillie Keenan,Highway TN,RET,,,
