Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II,Total
1,Felipe Coutinho Mendonca Nagata,Krysia Sitte,0,40.82,0,31.75,0
2,Cyril Cools,Kannet V.D. Rikse,0,39.76,0,32.05,0
3,Dennis van den Brink,Chardonnay Sv Z,0,40.33,0,32.68,0
4,Lucie Saliba,Something Special TK,0,38.10,0,33.27,0
5,Faris Saad A H Al Qahtani,Gaya des Cours,0,40.10,0,33.28,0
6,Marthe Heudens,Riviera van het Dennehof,0,40.96,0,33.92,0
7,Marie Eder Ferrero,Quesera de Muze,0,41.68,0,34.25,0
8,Daan Bernaerts,Rosa KC,0,41.30,0,34.76,0
9,Sultan Salem Al Naemi,Cavallina 13,0,38.09,0,34.77,0
10,Jonathan Hansson,Mash Ipei,0,39.85,0,35.45,0
11,Stephanie Janssens,Clo-Clo Z,0,38.97,0,35.52,0
12,Sara Maria Hank Guerreiro,H5 Nashville,0,40.12,0,35.72,0
13,Alexandra Paillot,Ilena du Maragnac,0,36.60,0,35.75,0
14,Thomas Leemans,Petrouska Dm Z,0,41.07,0,35.80,0
15,Joe Clee,Allroad 2000 Z,0,40.37,0,36.11,0
16,Jonna Ekberg,Sma Duke,0,40.80,0,36.17,0
17,Aurelia Guisson,Tequila vh Legitahof Z,0,39.39,0,36.58,0
18,Dennis Johansson,Spirit de Muze,0,42.40,0,36.68,0
19,Oscar van den Berghe,Tintin Vd Bisschop,0,40.16,0,37.01,0
20,Stefanie Carroll,Idem des Forets,0,40.61,0,37.08,0
21,Camille Biebuyck,Joline de Fremis,0,38.40,0,37.31,0
22,Oona-Julia Roto,Peter Pan van de Berghoeve,0,42.55,0,37.41,0
23,Stijn Timmerman,Rakker Van St Anneke,0,39.67,0,37.45,0
24,Elona Rousselle,Ibiscus de Samadal,0,39.86,0,38.22,0
25,Maxime Boutron,Hunter de Talma,0,41.04,0,38.32,0
26,Jade Laderach,Mezoetje,0,39.19,0,38.83,0
27,Logan Fiechter,Livano,0,40.85,0,39.10,0
28,Olivia Broder,Landru,0,41.97,0,39.19,0
29,Claire Putters,High Fly Special,0,40.78,0,39.55,0
30,Bethanie Knight,Etiuda,0,42.53,0,40.10,0
31,Jules Denutte,Sir Minka Z,0,40.56,0,40.15,0
32,Elke Appeltans,Ialou Manciaise,0,39.92,0,40.48,0
33,Genene Burnett,Vanda Phantom,0,43.01,0,41.07,0
34,Alice Wachman,Banksy,0,43.37,0,41.20,0
35,Alexandra Crown,Vincenzo vh Legitahof Z,0,40.67,0,41.33,0
36,Nadège Janssen,Jaures de La Besace,0,40.30,0,42.09,0
37,Sarah Lynch,Cordial,0,45.83,0,44.42,0
38,Mohamed Mounir Mehenni,Harald de Belheme,0,38.43,4,30.95,4
39,Margarita D´Agostino Vargas,Henriette,0,40.66,4,34.81,4
40,Vanessa Ingrid Pecina,Surprising Dream S.H.O. Z,0,42.24,4,35.69,4
41,Saad Ahmed S A Al Saad,Craquante de Mazin,4,42.50,0,36.41,4
42,Florence Schwizer-Seydoux,Maeva Sitte,4,37.96,0,36.58,4
43,Claire Mckean,Kolinda SL,4,38.89,0,36.93,4
44,Ludovica Camerlengo,Kikidola,4,43.10,0,37.79,4
45,Lauranne Spits,Quick Step VV Champblanc,4,40.53,0,38.13,4
46,Robin Vermeir,Beyonce Van'T Hulgenrode Z,4,39.08,0,38.41,4
47,Lieselot Kooremans,Nini Van HD,4,39.96,0,38.90,4
48,Manon de Corte,Muscato de Laubry,4,39.52,0,39.14,4
49,Léa de Coulon,Varane de La Pomme Z,0,42.47,4,39.74,4
50,Ivana Zálešák Hron,Cia Z,4,40.52,0,39.93,4
51,Mathilda Hansson,Pia - Lotta Van'T Roosakker,4,39.42,0,40.41,4
52,Marta Elander Wisten,d'Orient Batilly,4,40.67,0,40.46,4
53,Tallulah Mackenzie Smith,Coyotte Pommex Z,4,43.22,0,40.54,4
54,Diego Ramos Maneiro,Encantado C'SG,4,39.32,0,40.79,4
55,Chanel de Roeck,Showoff af Z,0,42.31,4,40.81,4
56,Victoria Vargas,Coeur d'Amour 8,4,41.35,0,41.11,4
57,Stephanie D'Andrimont,Fantaisie de Montigny,4,40.91,0,41.29,4
58,Louise Losfeld,Soprano Vd Donkhoeve,4,41.59,0,41.78,4
59,Morten Dahl,Mylord Forever,4,43.09,0,42.19,4
60,Rik Nauta,Diva Vd Withoeve Z,4,41.06,0,43.62,4
61,Alexandra Afzal,Swing On A Star,4,44.03,0,44.80,4
62,Joker A. Arroyo,Conny-Blue,6,47.14,0,44.24,6
63,Juliette Berghmans,Artichaut de Lolif,8,38.05,0,36.23,8
64,Christophe Boden,Omanka-A,4,39.33,4,36.83,8
65,Ina Kai Barila-Laliberte,Chicane V Z,0,39.33,8,38.71,8
66,Mauro Stas,Ti Amo Di Magico de Res Nova Z,4,41.62,4,40.16,8
67,Aimee van Gerwen,Ami Hero Z,8,42.60,0,40.50,8
68,Jorik Vervoort,Tiramisu SH,8,40.42,0,40.54,8
69,Mariana Frauches Chaves,Enzo By Fape Z,0,41.84,8,41.05,8
70,Antoine Deprez,Iggy Pop d'Utah,4,44.87,4,43.26,8
71,Meimei Zhu,V Dynamite Z,4,41.49,4,44.79,8
72,Ibrahim Yousuf Al Mahmoud,Perle Van Dorperheide,4,40.05,5,49.12,9
73,Paula de Boer-Schwarz,Zandona,0,39.19,12,36.05,12
74,Charlotte Berghmans,Bach des Coeuries Z,4,39.53,8,40.78,12
75,Lynn Eggermont,Davinci Ap Z,8,43.33,4,42.41,12
76,Sophie Maher,Nice Star B,8,41.62,4,43.19,12
77,Valentine Raulier,Nikkei d'O,12,42.54,2,46.08,14
78,Anique Selten,En Vogue Z,16,42.74,6,46.01,22
79,Amira Kettaneh,California Rlcd Z,8,38.57,22,62.88,30
,Salome Jobert,Eau de Vie Jeleena Dr Z,RET,,,,
,Niharika Singhania,Hambourg MF,RET,,,,
