Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II,Total
1,Saad Ahmed S A Al Saad,Fashion des Douits,0,39.64,0,25.98,0
2,Felipe Coutinho Mendonca Nagata,Ambassador Z,0,42.06,0,28.26,0
3,Dennis Johansson,Maya - S,0,39.72,0,29.25,0
4,Oscar van den Berghe,Brexit,0,39.68,0,29.88,0
5,Daan Bernaerts,Chilli Pepper Z,0,42.28,0,29.92,0
6,Marie Eder Ferrero,Mette VDL,0,41.02,0,30.12,0
7,Marthe Heudens,Silver Van'T Keikelhof,0,42.97,0,30.22,0
8,Dennis van den Brink,Nanjing HW,0,42.93,0,30.33,0
9,Alice Wachman,Thijssen Sr Z,0,40.18,0,30.77,0
10,Florence Schwizer-Seydoux,Mirage Vls,0,36.72,0,31.02,0
11,Lieselot Kooremans,Eden Jeleena Dr Z,0,39.18,0,31.13,0
12,Léa de Coulon,Jumbo des Flagues,0,41.31,0,31.34,0
13,Ivana Zálešák Hron,Quino RC,0,40.25,0,31.72,0
14,Eliah Pieters,Cornel Ws Z,0,40.97,0,31.77,0
15,Thomas Leemans,Lou Van O.L.V. Hove,0,42.34,0,31.86,0
16,Cyril Cools,Kacharel DB,0,42.85,0,32.00,0
17,Thibaud Ebinger,Amazing Smile Bs Z,0,40.88,0,32.06,0
18,Maxime Boutron,Hook de Favi,0,40.65,0,32.20,0
19,Oona-Julia Roto,Ahg Whiterock de Muse Of Cruise,0,40.26,0,32.23,0
20,Victoria Vargas,Booble Maps,0,40.30,0,32.49,0
21,Lauranne Spits,Sjefke Van d'Abelendreef,0,42.12,0,32.82,0
22,Charlotte Berghmans,Cornetto 60,0,41.90,0,33.05,0
23,Christophe Boden,O-Mero Van'T Streyehof,0,43.48,0,33.62,0
24,Aimee van Gerwen,Udarena Wd Z,0,42.83,0,33.88,0
25,Jade Laderach,Ines de Kreisker,0,41.99,0,34.03,0
26,Claire Putters,Sjaakie Van d'Abelendreef,0,41.81,0,34.04,0
27,Emily Turkington,Rockefeller,0,44.38,0,34.08,0
28,Nadège Janssen,Devotion vh Beeckhof Z,0,40.43,0,34.30,0
29,Stijn Timmerman,Little Fellow Z,0,43.25,0,34.69,0
30,Johnatan Tassignon,Sirius Van'T Wimpelhof,0,42.40,0,35.06,0
31,Elke Appeltans,Rob Roy Vd Bisschop,0,45.19,0,35.37,0
32,Valentine Raulier,Helix Quality,0,40.95,0,35.54,0
33,Paulien Schepers,Say Yes Ckl,0,40.83,0,35.84,0
34,Anna Sushcheva,Dixie Moon,0,42.08,0,37.29,0
35,Sarah Lynch,Kilnamac Cody,0,43.27,0,37.61,0
36,Diego Ramos Maneiro,Deauville Van'T Zorgvliet,0,42.00,4,29.79,4
37,Sultan Salem Al Naemi,Energika des Neyes,0,41.94,4,31.49,4
38,Rik Nauta,Noisette van de Ceulshaegen,0,42.49,4,32.14,4
39,Margarita D´Agostino Vargas,Magic Girl,4,41.40,0,32.29,4
40,Ina Kai Barila-Laliberte,Miss Montreal Vdp,4,41.86,0,32.30,4
41,Stefanie Carroll,Take Off de Muze,0,40.12,4,33.12,4
42,Maria Privitera,Kriskras,4,40.44,0,33.43,4
43,Juliette Berghmans,Falcao de Beaufour,4,41.94,0,33.70,4
44,Logan Fiechter,Talent Z,0,41.70,4,34.06,4
45,Claire Mckean,Delcon,4,42.29,0,35.08,4
46,Jorik Vervoort,Tornado Sh Old,4,43.58,0,35.15,4
47,Vanessa Ingrid Pecina,Diamantico L,0,40.84,4,36.15,4
48,Anique Selten,Pozzovivo Van 'T Verahof,4,42.48,0,36.16,4
49,Mariana Frauches Chaves,Charming Coco Z,0,42.00,4,40.52,4
50,Antoine Deprez,Kinga de Himbe,5,47.65,0,37.27,5
51,Amira Kettaneh,Izzy du Thot,4,36.73,4,30.46,8
52,Lynn Eggermont,Lachlan,4,41.38,4,31.76,8
53,Paula de Boer-Schwarz,Castanie K,8,39.62,0,32.52,8
54,Niharika Singhania,Mr Thunder,4,40.50,4,32.89,8
55,Louise Losfeld,To The Moon du Grand Bray Z,4,41.05,4,33.83,8
56,Lara Eggermont,Exan van de Kattevennen Z,8,41.87,0,35.95,8
57,Mohamed Mounir Mehenni,Jet Lag des M,0,39.45,12,31.40,12
58,Joker A. Arroyo,Evita du Soleil,4,37.79,8,32.87,12
59,Jules Denutte,Natan,12,42.97,0,34.96,12
60,Chanel de Roeck,Elite van de Kasteeldreef Z,16,58.11,0,33.26,16
61,Leonardo Basola,Ladok,8,42.41,27,56.09,35
,Alexandra Afzal,Ogue Ardkyle,RET,,,,
,Salome Jobert,Cucinelli Pommex Z,EL,,,,
,Bethanie Knight,Nacho Chavannais,EL,,,,
,Jérôme Denutte,Umour Noir de Crann,EL,,,,
