Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate
1,Jörne Sprehe,GER,Solero 79,2475,0,67.14,0,35.45
2,Ivan Serrano Saez,ESP,Polyhorn Del Salz,1500,0,67.99,0,38.40
3,Paola Amilibia,ESP,V.I.P.,1125,0,62.96,0,38.72
4,Alvaro Diaz Garcia,ESP,Visama Parsifal,750,0,65.80,0,38.86
5,Riccardo Pisani,ITA,Jincerot,450,0,70.08,0,39.03
6,Julio Alvarez Moya,ESP,Prince de La Mare,337.5,0,65.13,4,35.93
7,Pierre Alain Mortier,FRA,Antilope de Lara,225,0,65.04,4,36.84
8,Gerardo Menendez Mieres,ESP,Lordana DC,187.5,0,65.64,4,39.01
9,Harm Lahde,GER,Oak Grove's Flickering Star,150,0,65.19,4,39.24
10,Helen Tredwell,GBR,Sebastian VII,150,0,69.18,4,39.39
11,Anthony Condon,IRL,Friso,75,0,66.52,4,40.69
12,Duarte Seabra,POR,Vanille Fraise HA,75,0,67.83,4,42.14
13,Paul Kennedy,IRL,Datero H,,0,66.07,4,42.65
14,Michael Duffy,IRL,Quintano 35,,0,75.84,,
14,Kevin Staut,FRA,Viking d'La Rousserie,,0,67.71,,
16,Richard Howley,IRL,Electra B,,2,83.85,,
17,Victor Bettendorf,LUX,Colchique du Gibet,,4,65.61,,
18,Marcus Westergren,SWE,Astree de Burgo,,4,66.55,,
19,Marcel Marschall,GER,Crystal 17,,4,68.69,,
20,Michael Kölz,GER,Dubai Blh,,4,69.93,,
21,Marta Bottanelli,ITA,Finca S,,5,77.20,,
22,Thomas Kleis,GER,Ugaulin du Bosquetiau,,7,86.83,,
23,Bruno Garez,FRA,Reve de Nabab,,8,68.16,,
24,Miguel Honrubia Alvariño,ESP,Uranus d'La Rousserie,,11,86.95,,
25,Diego Perez Bilbao,ESP,Istar van de Meerdijk,,12,68.83,,
26,Luis Fernandez Gil Fournier,ESP,Espinosa,,12,69.25,,
27,Virginie Thonon,BEL,Falbert SB,,16,68.33,,
