Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Paul Kennedy,IRL,Cartown Danger Mouse,16335,0,66.49
2,Sergio Alvarez Moya,ESP,Carlo 273,9900,0,67.27
3,Harry Charles,GBR,Victor,7425,0,67.31
4,Gonzalo Busca Roca,ESP,Usika,4950,0,68.09
5,Victor Bettendorf,LUX,Sorbier Blanc,2970,0,69.24
6,Sanne Thijssen,NED,Carinja 18,2227.5,0,69.36
7,Anthony Condon,IRL,Sfs Aristio,1485,0,69.59
8,Michael Duffy,IRL,Casis,1237.5,0,69.82
9,Eduardo Alvarez Aznar,ESP,Uqualin du Saulcy,990,0,69.89
10,Angelie Von Essen,SWE,Cochella,990,0,70.31
11,Lisa Nooren,NED,Hocus Pocus de Muze,495,0,70.52
12,Diego Perez Bilbao,ESP,Helios,495,0,71.35
13,Pierre Alain Mortier,FRA,Just Do It R,150,0,71.52
14,Julie Andrews,GBR,Wilando B,150,0,72.61
15,Trevor Breen,IRL,Noble Warrior,150,0,73.01
16,Federico Fernandez,MEX,Grand Slam,150,0,75.16
17,Ivan Serrano Saez,ESP,Ecoloco,150,0,75.55
18,Emanuele Camilli,ITA,Enasco Fortuna,150,0,76.27
19,Manuel Fernandez Saro,ESP,Vodka Star,,0,78.25
20,André Reichmann,BRA,Juan Van'T Arkelhof,,0,79.34
21,Annelies Vorsselmans,BEL,Olimpo LS,,0,80.07
22,Marta Bottanelli,ITA,Ra de Prin,,0,80.83
23,Mikel Aizpurua Quiroga,ESP,Cartanya,,1,85.03
24,Billy Twomey,IRL,Kimba Flamenco,,4,66.69
25,Richard Howley,IRL,Cruising Star,,4,67.70
26,Gonzalo Añon Suarez,ESP,Qlamp d'Ivraie,,4,69.84
27,Michael Kölz,GER,Double Black,,4,70.33
28,Marcel Marschall,GER,Fenia Van Klapscheut,,4,70.71
29,Jörne Sprehe,GER,Solero 79,,4,71.52
30,Stephan de Freitas Barcha,BRA,Artois d'Avillon,,4,71.60
31,Antonio Alfonso,ITA,Dream Van Generhese,,4,72.32
32,António Matos Almeida,POR,Irene van de Kwachthoeve,,4,72.45
33,Irma Karlsson,SWE,Chacco Stara,,4,72.57
34,Jacob Hellström,SWE,Caliban H,,4,72.74
35,Ellen Whitaker,GBR,Jack Van'T Kattenheye,,4,73.01
36,Alberto Marquez Galobardes,ESP,Coralie,,4,73.06
37,Alison Barton,GBR,Roma IV,,4,74.15
38,Armando Trapote,ESP,Freak Out,,4,74.17
39,Gilles Dunon,BEL,Fou de Toi Vd Keihoeve,,4,74.32
40,Gerardo Menendez Mieres,ESP,Costello DC,,4,75.95
41,Adir Abreu Júnior,BRA,Cachaca,,4,76.01
42,Thomas Kleis,GER,Silberpfeil M,,4,76.17
43,Philippe Le Jeune,BEL,Inshallah de Muze,,4,76.43
44,Luis Sabino Gonçalves,POR,Dominka van de Lucashoeve,,4,76.87
45,Cristina Toda,ESP,Suredelle de Chenee,,4,77.61
46,Alvaro Diaz Garcia,ESP,Ut de Menjo,,4,78.10
47,Saul Gutierrez Oti,ESP,Utwo de La Thiaunais,,5,85.66
48,Emeric George,FRA,Rocker d'Ysieux,,8,68.73
49,Jacques Helmlinger,FRA,Origan de Vains,,8,69.55
50,Graham Babes,GBR,Boucheron,,8,70.91
51,Riccardo Pisani,ITA,Cristo 28,,8,72.01
52,Derin Demirsoy,TUR,Dadjak Ter Puttenen,,8,72.12
53,Helen Tredwell,GBR,Larksong,,8,74.04
54,Duarte Seabra,POR,Fernhill Curra Quinn,,8,74.75
55,Harm Lahde,GER,Oak Grove's Celebrity,,8,74.88
56,Marcus Westergren,SWE,Astree de Burgo,,8,74.91
57,Vincent Voorn,NED,Dante,,8,76.37
58,Jamie Gornall,GBR,Christian 25,,8,81.08
59,Santiago Nuñez Riva,ESP,Luanco,,8,84.23
60,Roi Calviño Rabon,ESP,Enjoy,,12,99.52
61,Miguel Honrubia Alvariño,ESP,Valmont de Vizy,,12,100.28
62,Leon Thijssen,NED,Diablo Z,,13,88.34
63,Hugo Tavares,POR,Vamos du Grand Chemin,,16,81.75
64,Virginie Thonon,BEL,Falbert SB,,16,83.77
65,Carolina Aresu Garcia Obregon,ESP,Volt de Kergane,,16,99.56
66,Kevin Staut,FRA,For Joy Van'T Zorgvliet Hdc,,EL,
67,Felicie Bertrand,FRA,Nice Stephanie,,EL,
68,Paola Amilibia,ESP,Prunella d'Ariel,,RET,
69,Luis Fernandez Gil Fournier,ESP,Ibon,,RET,
