Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate
1,Dermott Lennon,IRL,Fl IV,8118,0,,0,43.04
2,Eric Van der Vleuten,NED,Quivive S Z,4920,0,,0,43.64
3,Marc Bettinger,GER,Incroyable de Muze,3690,0,,0,44.15
4,Federico Fernandez Senderos,MEX,Gitano,2460,0,,0,44.57
5,Reed Kessler,USA,Cos I Can,1476,0,,0,45.09
6,Louise Saywell,GBR,Tin Tin,1107,0,,0,45.21
7,Ernesto Cano,MEX,Celebrity VDL,738,0,,0,45.36
8,Shane Breen,IRL,Hallowberry Cruz,615,0,,0,45.89
9,Grégory Cottard,FRA,Urhelia Lutterbach,492,0,,0,46.63
10,Dayro Arroyave,COL,Uppercut Libellule,492,0,,0,47.05
11,Manuel Fernandez Saro,ESP,Dodger of the Lowlands,246,0,,4,49.05
12,Keith Shore,GBR,Mystic Hurricane,246,0,,RET,
13,Julia Dallamano,FRA,Hoepala vh Daalhof,,1,87.27,,
14,Francois Jr Mathy,BEL,Casanova de l' Herse,,4,74.49,,
15,Edward Levy,FRA,Rafale d'Hyverniere,,4,77.62,,
16,Jur Vrieling,NED,Acascia,,4,81.14,,
17,Rolf Moormann,GER,Samba de Janeiro,,4,83.03,,
18,Paola Amilibia,ESP,Prunella d'Ariel,,4,83.51,,
19,Hugo Breul,FRA,Buzios d'Ecaussinnes,,4,84.14,,
20,Roelof Bril,NED,Dizzy Lizzy,,5,87.56,,
21,Andreas Knippling,GER,Hertoch van T Prinsenveld,,5,89.45,,
22,Alaa Mayssara,EGY,Dittorio S,,5,90.88,,
23,Ivan Serrano,ESP,Cinderella Man,,6,92.32,,
24,Cameron Hanley,IRL,Aiyetoro,,8,79.15,,
25,Rebecca McGoldrick,CAN,Horatio van Erpekom,,8,79.90,,
26,Maximilian Lill,GER,Capuccino,,8,80.39,,
27,Nigel Coupe,GBR,Jubilee III,,8,82.73,,
28,Jose Bono,ESP,Sligo Hard Times,,8,83.95,,
29,Piergiorgio Bucci,ITA,Driandria,,9,87.52,,
30,Laura Renwick,GBR,Dominant H,,9,89.36,,
31,Johnny Pals,NED,Chat Botte du Ruisseau Z,,10,91.38,,
32,Alberto Marquez Galobardes,ESP,Ineta del Maset,,10,92.38,,
33,Victor Bettendorf,LUX,Colchique du Gibet,,12,80.62,,
34,Patricio Pasquel,MEX,Careyes,,12,81.80,,
35,Rowan Willis,AUS,The Flying Fox III,,12,83.68,,
36,José Alfredo Hernández,MEX,Grupo Prom Jack,,13,90.29,,
37,Tobias Meyer,GER,Cabaltica,,14,110.08,,
38,Luis Sabino Goncalves,POR,Hilde Imperio Egipcio,,16,86.70,,
39,Karim El Zoghby,EGY,Caveman DH Z,,22,92.79,,
40,Laura Roquet,ESP,Quilate del Duero,,EL,,,
41,Yann Candele,CAN,Quidams Quit,,EL,,,
42,Alison Barton,GBR,Roma IV,,RET,,,
43,David Simpson,IRL,Starfighter,,RET,,,
44,Sanne Thijssen,NED,No Fear vd Tichelrij Z,,RET,,,
45,Santiago Nuñez,ESP,Luanco,,RET,,,
46,Marta Bottanelli,ITA,Clintissima,,RET,,,
47,Anthony Condon,IRL,Balzac,,RET,,,
