Posición,Jinete,Caballo,Puntos,Tiempo
1,Benjamin Wulschner,Kilcannon Emerald,0,61.47
2,Oleg Sokolenko,Cinderella,0,63.44
3,Felix Hassmann,Conthargo Ps,0,64.13
4,Jörg Oppermann,Olymp 58,0,64.24
5,Selina Höger,Flintstone V,0,67.46
6,Mikka Roth,Rossmount Flamenco B,0,68.91
7,Michael Eichler,Clooney 133,0,69.38
8,Mick Haunhorst,Indy,0,70.57
9,Helmut Schönstetter,De Luxe De Plaisir,0,72.61
10,Niklas Betz,Cascassaro,0,73.87
11,Paula Fischer,Centenario P,0,74.89
12,Thomas O'Brien,Eden Eve,0,76.22
13,Carola Wegener,Chadina Air Ps,0,76.91
14,Elisabeth Meyer,Joyce,4,61.85
15,Emma Bachl,Classic White 2,4,65.83
16,Felix Müller,Diarinue Ps,4,67.66
17,Jennifer Jaritz-Gnaser,Dom Perignon,4,68.21
18,Theresa Pachler,Kingston Vh Maarlohof Z,4,70.03
19,Michael Hornung,Caillou H,4,70.54
20,Tina Deuerer,Norton ML,4,72.46
21,Sven Sieger,Caselo,4,72.55
22,Simone Baur,Baghira 110,4,72.81
23,Ava Ferch,Tendresse De La Vie Z,4,73.20
24,Jenny Rankin,Calido's Santos Ps,4,74.02
25,Joana Schildknecht,Quatisse Van De Begijnenhoef,4,74.66
26,Vince Jarmy,Van Stien W Z,4,75.07
27,Maximilian Kögler,Chacforkee,4,75.13
28,Tom Sanders,Favorite D'amour,4,76.69
29,Tobias Bachl,Verdinand B,4,78.60
30,Franz Josef Steiner,Joly M,8,64.25
31,Bakhromjon Gaziev,Santos Hippica,8,64.81
32,Emely Karoline Paulsen,Lordy,8,69.70
33,Christian Svendgaard,Knoxville,8,71.79
34,Maximilian Ertz,Cavano Fly Ps,8,77.79
35,Patrik Eigenmann,Loreina,11,85.36
36,Carlotta Reisacher,Haribo Gem,12,70.73
37,Sven Ebert,Pauline,12,71.08
38,Felix Wassenberg,Coco Chanel 311,14,80.23
39,Anuschka Schauer,Fevrier De Hus,16,75.66
,Reinhard Sax,Chambery,RET,
,Ulrich Hensel,Europa H,RET,
,Marvin Jüngel,Lightness T,RET,
,Daniel Lahmann,Molleke,RET,
,Raissa Sokolenko,Uran - Nad Wigrami,RET,
