Posición,Jinete,Caballo,Puntos,Tiempo
1,Raissa Sokolenko,Chevalier,0,59.98
2,Oleg Sokolenko,Shenanigan,0,62.27
3,Malgorzata Koszucka,V-querida Of Vigo Z,0,65.57
4,Christian Rhomberg,Der Terminator Rr,0,65.59
5,Anna Klosowska,Eflim,0,66.35
6,Matthias Lucas,Octavia H 3,0,66.39
7,Anna Klosowska,Carbon,0,71.07
8,Zuzanna Michalska,Ciao Bella Z,4,66.22
9,Maria Ciszek,Casall Conti,4,66.23
10,Marie Flick,Dsp Charlott,4,69.18
11,Simon Heineke,Early Bird,4,72.18
12,Silvio Weiss,Stella B,4,74.14
13,Elina Schwarz,Luka Van De Eikhof,16,65.57
,Maria Ciszek,Dialog,EL,
,Urszula Pogodzinska,Prime Radius,RET,
