Posición,Jinete,Caballo,Puntos,Tiempo
1,Alexander Mclean,Gino F,0,71.93
2,Sally Goding,Spring Willow,0,70.12
3,Peter Moloney,Nielson,0,72.55
4,Anthony Condon,Oviedo 'S,0,71.59
5,Sian Edwards,Magnum Force,0,74.23
6,Trevor Breen,Konrad Obolensky,0,72.35
7,John Whitaker,Hamstramgram,0,73.30
8,Danielle Farnsworth,Hunter Apple,0,73.50
9,Adam Ellery,Mc Gregor TN,0,72.37
10,Jackson Reed Stephenson,Obelia Vd Bisschop,0,73.15
11,Christopher Smith,Messarado Blue,0,70.02
12,James Davenport,Top Gun OS,1,75.70
13,Carron Nicol,Rrh Out of the Blue,4,70.79
14,Ryan Page,Bp Skybound,4,71.95
15,Holly Smith,Market M'Dam,4,72.54
16,Anna Power,Calgary Ph Z,4,72.88
17,Lance Whitehouse,White Sparke Argo,4,73.67
18,Laura Renwick,Marseille,4,73.88
19,Tabitha Kyle,Loughton Diamond,4,73.91
20,Tim Gredley,Vuitton Of Picobello Z,4,74.45
21,Rebecca Marsh,Stevie G,4,74.94
22,Gregory Hill,Jackblack,4,74.95
23,Laura Mantel,Super Nova,5,75.71
24,Alex Barr,New Star Hbf,6,76.09
25,Nigel Coupe,Air Queen,7,77.54
26,Phillip Spivey,Nbe Jenny Don'Y Be Hasty,8,72.77
27,Emily Ward,Corlytender,8,73.31
28,Francesca Young,Shannondale Anzac,8,73.53
29,Harriette Rushton,Chacstar Z,8,73.56
30,William Fletcher,Shelton DD,8,73.62
31,Emma Stoker,Priskada,8,74.59
32,Ignacio Caba Guil,Secret Sunset,8,74.70
33,Charlotte Ash,Air Sandulay,9,75.30
34,Faye Sutton,Lift Off,10,80.85
35,Emily Rowe,Diamo,11,77.07
36,Keith Shore,Betty K,11,77.51
37,Mark Edwards,Dillinger NE,12,69.76
38,Oliver Tuff,Sacino,12,71.77
39,Leah Knowles,Dirk,12,72.87
40,Christopher Franks,Kannabalou,12,73.34
41,Jodie Hall Mcateer,Topaz Ice Z,12,73.40
42,Lottie Tutt,Billy Dynamite,12,74.42
43,Jonathon Buxton,Strides Josie,12,74.43
44,Joe Fernyhough,Calcourt Countdown,12,74.50
45,Jenna Palmer Evans,Ilord,13,75.02
46,Angelie Von Essen,One Oscar,13,79.68
47,Joe Davies,Lanos O.M.,14,77.00
48,Annabel Shields,Castlefield Ice,15,77.84
49,Daniel Moseley,Billy Rasputin,15,77.92
50,Poppy Stronge,Jersey S,16,72.23
51,Fergal Holohan,Karima,16,72.38
52,Sammie Jo Coffin,Cornet Of Follyfoot,16,73.10
53,Emma Crawford,King Louie,16,74.36
54,Francesca Corich Van Der Bas,Bannockburn Ecph,17,83.45
55,Alexander Bragg,Hegglelane Houston,18,80.23
56,Alfie Diaper,Labatt,18,80.96
57,Greg Le Gear,Be Aquila,18,80.97
58,Zak Beesley,Chaccomodo,23,77.70
59,Jake Andrew Elliott,Mervellieux,24,71.69
60,Leo Lamb,Chrysler Key SR,28,94.23
61,Joseph Stockdale,Nucarla,32,73.01
62,Faye Adams,Renkum Buster,32,78.02
63,Paul Crago,Compton Mills,33,91.41
64,Mostafa Abboud,Afterglow,37,83.70
65,Michael Tuff,Mozart van het Netehof,52,98.69
,Honor Dabbs,Loughnatousa Gilbert,EL,
,Cate Kerr,Kolwa,RET,
,Jack Stirling,Crunchie OS,RET,
,Elizabeth Forrester,Kensington,RET,
,Lily Attwood,Karibou Horta,RET,
,Nicole Pavitt,Casque d'OR,RET,
,Alexandra Somerville-Cotton,Amazing-K Van'T Kattenheye Z,RET,
,Guy Williams,Kermit Van Overis Z,RET,
,Iwan Carpenter,Starido,RET,
,Ben Wickens,Israel,RET,
