Posición,Jinete,Caballo,Puntos,Tiempo
1,Benjamin Wulschner,Wolf Of Wall Street 3,0,58.69
2,Felix Wassenberg,Coco Chanel 311,0,59.02
3,Felix Müller,Diarinue Ps,0,60.62
4,Felix Hassmann,Casablanca Awz,0,61.98
5,Tamara Schnyder,Oberstaig's Champs Elysees,0,63.38
5,Mikka Roth,Quendresa Pf,0,63.38
7,Michael Hornung,Caillou H,0,63.47
8,Anuschka Schauer,Fevrier De Hus,0,64.30
9,Selina Höger,Flintstone V,0,64.43
10,Hilke Wohlgemuth,Copy And Paste Gs,0,64.73
11,Marvin Jüngel,Kansall,0,65.08
12,Simone Blum,Caja 52,0,65.09
13,Elisabeth Meyer,Extra With Chilli Z,0,65.22
14,Elisabeth Meyer,Joyce,0,65.25
15,Selina Höger,Knight Rider,0,66.46
16,Mikka Roth,Fresno S.h,0,66.48
17,Tereza Praskova,Quinn De Semilly,0,66.91
18,Reinhard Sax,Dubai Van Het Beeckhof Z,0,67.13
19,Jenny Rankin,Cool Motion,0,67.83
20,Sophia Mitchell,Joker Ask,0,67.92
21,Tereza Praskova,Caivano,0,68.46
22,Michael Eichler,Cocolina 17,0,68.61
23,Ava Ferch,Vdl Helena Van Perbeemd,0,68.65
24,Wolfgang Puschak,Odense Z,0,68.71
25,Reinhard Sax,Zepter Z,0,68.81
26,Emely Karoline Paulsen,Lordy,0,68.89
27,Emely Karoline Paulsen,Gigant K.v.,0,69.15
28,Tina Deuerer,Dsp Emrado D,0,69.64
29,Tom Sanders,Favorite D'amour,0,69.97
30,Benjamin Wulschner,Kilcannon Emerald,0,70.44
31,Anna Duff,Mc Crosskeys,0,70.88
32,Carola Wegener,Chadina Air Ps,0,70.97
33,Vince Jarmy,Acira Blue Ps,0,71.10
34,Joana Schildknecht,Quatisse Van De Begijnenhoef,0,71.34
35,Maximilian Ertz,Cavano Fly Ps,0,71.55
36,Lea Kremer,Cardenta Du Rouet,0,71.74
37,Vince Jarmy,Van Stien W Z,0,72.06
38,Jennifer Jaritz-Gnaser,Dom Perignon,0,72.47
39,Helmut Schönstetter,Eic Arwen,0,72.76
40,Sven Sieger,Caselo,0,73.20
41,Paula Fischer,Siria's Bellina,0,73.80
42,Theresa Pachler,Kingston Vh Maarlohof Z,0,74.50
43,Thomas O'Brien,Scotch Blue S,0,76.93
44,Thomas O'Brien,Eden Eve,0,76.96
45,Basile Bettendorf,Poivre Bleu Du Gibet,0,77.54
46,Anna Duff,Chalonta Ps,0,77.80
47,Emma Bachl,Obora's Adrian,1,78.07
48,Clarissa Ingerl,Oakley,1,78.40
49,Bakhromjon Gaziev,Santos Hippica,4,61.48
50,Franz Josef Steiner,Irish Coffee De Pehou,4,61.54
51,Hilke Wohlgemuth,Eldorada's Passion Gs,4,62.11
52,Joana Schildknecht,Rossini Ter Spelonck,4,64.50
53,Felix Müller,Carl Otto 5,4,65.13
54,Tom Sanders,Bilbao S 3,4,66.54
55,Tamara Schnyder,Geronimo De Vains,4,67.02
56,Vivien Blandfort,Hickstead's Boy,4,67.20
57,Daniel Böttcher,Baloutino,4,68.02
58,Willi Fischer,Big Eddy,4,68.43
59,Hans-Günther Blum,Titanium Ps,4,68.90
60,Aidan Kennedy,Nagano De La Pomme,4,69.85
61,Christian Svendgaard,Knoxville,4,70.06
62,Eberhard Reininger,Karlotta 39,4,70.69
63,Simone Baur,Continental 14,4,70.75
64,Fritz Fervers,Nica-linn,4,71.05
65,Lea Kremer,Selma,4,71.33
66,Carlotta Reisacher,Babalou 4,4,71.90
67,Sophia Pilar Schäffer,Oh My Fina Hp,4,72.13
68,Emma Bachl,Castro B 3,4,72.21
69,Kei Okubo,Charlie Blue D'ive Z,4,72.59
70,Tobias Bachl,Verdinand B,4,76.12
71,Leo Renner,Duc De L'impermeable Z,4,77.70
72,Daniela Niederstrasser,Spitfire,5,82.50
73,Tina Deuerer,Norton ML,8,69.41
74,Marcel Schneider,Bruderherz Mey,8,70.42
75,Marie Flick,Didou Blofagnu Z,8,71.55
76,Aidan Kennedy,Balder Van T Breezerhof Z,8,73.82
77,Basile Bettendorf,Veyron Cs,8,75.59
78,Simone Baur,Baghira 110,8,81.60
79,Niklas Betz,Cascassaro,9,82.19
80,Sven Sieger,Iva De La Cor,12,74.50
81,Marvin Jüngel,Lightness T,12,75.56
82,Mick Haunhorst,Cascadeur 115,12,85.70
83,Carlotta Reisacher,Haribo Gem,13,78.04
84,Jörg Oppermann,Jonage Lvp,15,92.72
85,Sven Ebert,Pauline,16,64.39
86,Soenke Kohrock,Van Cordoba,17,90.07
,Sheikara Lalive D’epinay,Dakota,RET,
,Patrik Eigenmann,Loreina,EL,
,Leo Renner,Ludwig 267,RET,
