Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Eduardo Pereira De Menezes,Excellent Sunshine Z,0,71.30,0,38.30
2,Zoe Hank Conter,Sirius de W&S,0,76.20,0,40.51
3,Bruno Martins Costa,Jostakin'KA,0,72.79,0,41.23
4,Steve Guerdat,Indigene Litzelfeld,0,75.13,0,41.72
5,Oleksandr Prodan,Jailbreak d'Argance,0,77.28,0,41.85
6,Harry Allen,Marthe d'Ecaussinnes,0,75.58,0,41.94
7,Daniel Deusser,Silence Dwerse Hagen,0,76.41,0,42.66
8,Felipe Amaral,Ega van de Hoek Z,0,70.79,0,42.88
9,Jos Verlooy,Tinder Vd Withoeve,0,75.46,0,45.12
10,Anthony Philippaerts,Sire DC,0,76.10,4,42.16
11,Camila Mazza De Benedicto,Cailin vh Exelhof Z,0,71.90,4,42.44
12,Niels Bruynseels,Vintage,0,75.52,4,42.82
13,Marlon Modolo Zanotelli,Odinent,0,74.68,4,45.90
14,Jeroen de Winter,Jaika de Talma,0,76.03,4,47.87
15,Richard Vogel,Diatasio,4,70.93,,
16,Alix Ragot,June Dor,4,73.26,,
17,Emilie Conter,Domperignon Pommex Z,4,73.50,,
18,Yves Vanderhasselt,Madness Vitseroel Z,4,74.04,,
19,Angelica Augustsson Zanotelli,Snowball,4,74.08,,
20,Jenny Krogsaeter,Oakley DN,4,74.39,,
21,Pieter Devos,Alice de Poteau Z,4,74.58,,
22,Michael Duffy,Gallahad,4,75.40,,
23,Francis Derwin,Cool Jumper HB,4,75.45,,
24,Cian O'Connor,Karlswood,4,75.66,,
25,Gregory Wathelet,Justinien de Vains,4,75.96,,
26,Annelies Vorsselmans,Domichella Z,4,76.23,,
27,Kendra Claricia Brinkop,Abercrombie Pommex Z,4,76.46,,
28,Sofia Westborg,Siska van de Helle,4,76.77,,
29,Viktor Daem,Top Gun,4,76.87,,
30,Roberto Mendonça Dias,Jackpot du Rouet,4,77.58,,
31,Kim Emmen,No Limit,5,78.16,,
32,Gilles Thomas,The Lewis van het Heidehof,5,78.60,,
33,Frederic Vernaet,T' Sterre Vd Goevelhoeve Z,5,78.71,,
34,Mike van Olst,Emir Z,6,79.38,,
35,Emma Sophia Spanko,Nikita GB,7,80.12,,
36,Thibeau Spits,Sissi Star D' Augustijn,8,73.13,,
37,Seppe Wouters,Topgun-K Van Kattenheye,8,74.28,,
38,Caroline Devos-Poels,Chadli de Bo Z,8,74.56,,
39,Ivan Dalton,Odilon van den Hoogeweg,8,74.69,,
40,Petronella Andersson,Ayala de La Pomme Z,8,75.10,,
41,Sean Monaghan,Champagne BW,8,75.67,,
42,Mathieu Guery,I'M Special Van'T Beaukeshof Z,8,76.21,,
43,Alexis Lheureux,Mata Hari du Seigneur,8,77.14,,
44,Guilherme Mattar,Pocahontas,8,77.18,,
45,Maikel van der Vleuten,Santos de Walput,8,77.46,,
46,Olivier Philippaerts,Great Lady Rv Z,12,74.12,,
47,Janika Sprunger,Jeasy de La Mure,12,74.50,,
48,Koen Vereecke,Valentino Boy,12,75.12,,
49,Odile Gierech,Kiwi Colada Van Paemel Z,12,76.20,,
50,Evelyne Putters,Simply The Best X,16,73.61,,
51,Neri Pieraccini,Mr Elvis-K Van Kattenheye Z,16,75.22,,
52,Christian Ahlmann,Glaucus Z,34,91.83,,
,Emma Bodier,Jepsilon Mouche,EL,,,
,Lorenzo de Luca,Queelan,RET,,,
,Simon Delestre,Special Edition de Muze,RET,,,
