Posición,Jinete,Caballo,Puntos,Tiempo,Puntos Fase II,Tiempo Fase II
1,Kristaps Neretnieks,Valentino,0,53.50,0,22.78
2,Andrius Petrovas,Balou D'mour Tw,0,48.96,0,23.32
3,Simon Heineke,Sunny Boy 386,0,52.43,0,23.56
4,Christian Rhomberg,Touareg A Z,0,52.22,0,24.01
5,Jaroslaw Skrzyczynski,The One Van Heiste,0,51.78,0,24.07
6,Michal Kazmierczak,Aepril R&d Z,0,51.77,0,24.08
7,Michal Kazmierczak,Komme Hawajka Z,0,51.83,0,24.28
8,Nicole Holmén,Bollerup Big Bang,0,52.96,0,24.42
9,Evita Vismeryte,Oliander,0,50.26,0,24.73
10,Bart Bles,Wizard,0,50.63,0,24.93
11,Jesse Luther,H.s. Minnesota,0,52.71,0,24.94
12,Jakub Krzyzosiak,Birdie Waldstar Z,0,50.47,0,25.13
13,Michael Viehweg,Mona Bella,0,49.10,0,25.25
14,Anna Szary Ziebicka,Unique Hippica,0,52.27,0,25.28
15,Jakub Krzyzosiak,Prada,0,52.57,0,25.67
16,Jaroslaw Skrzyczynski,Clearthargo Ps,0,54.44,0,25.72
17,Andre Thieme,O Ranger,0,54.06,0,25.80
18,Gert Jan Bruggink,Payday Z,0,50.41,0,25.90
19,Nicole Holmén,Bollerup Big Bucks,0,53.11,0,25.92
20,Antoni Strzalkowski,Amazing Scarface S,0,51.57,0,26.15
21,Malgorzata Ciszek - Lewicka,Quailen,0,51.49,0,26.33
22,Nisse Lüneburg,Milly D,0,49.69,0,26.58
23,Holger Wulschner,Caramella 21,0,53.77,0,26.77
24,Krzysztof Tarasek,Blaskari Skb,0,49.54,0,27.85
25,Kristaps Neretnieks,Flipers,0,52.21,4,23.29
26,Malgorzata Koszucka,Tierlantijne De Haquet,0,49.24,4,24.48
27,Lukas Civinskas,Catchy Va,0,50.05,4,24.72
28,Nisse Lüneburg,Mister Cheeky 3,0,51.77,4,26.18
29,Lukasz Koza,Staco Boy Rk,0,52.90,4,26.94
30,Harm Lahde,Diva 648,0,52.00,4,27.39
31,Filip Skrzyczynski,Powerall Tn,0,54.86,4,27.76
32,Natalia Drag,M-cassiopaia Nm,4,48.36,,
33,Patryk Skrzyczynski,Pitch Hl,4,49.23,,
34,Bart Bles,Dancer Ep,4,49.95,,
35,Evita Vismeryte,Obbe Junior Van De Tjongershoeve,4,50.48,,
36,Tomasz Miskiewicz,Ukanda De Regor,4,50.57,,
37,Max Haunhorst,Contoki,4,51.00,,
38,Renee Ulvsbjerg,Kennedy,4,51.29,,
39,Enno Klaphake,Campi Ek,4,53.51,,
40,Tomasz Miskiewicz,Nuntalou Knt,4,54.80,,
41,Arkadiusz Fimmel,Lagen,6,56.12,,
