Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II,Total
1,Emily Ward,Invictrix Bois Chenu,0,28.95,0,35.29,0
2,Jessica Hewlett,Mosandro Van Perbeemd,0,28.22,0,35.78,0
3,Christopher Franks,Black Friday 3,0,30.49,0,35.79,0
4,Sammie Jo Coffin,Big Star Of Follyfoot Z,0,29.35,0,36.01,0
5,John Whitaker,Hamstramgram,0,30.68,0,36.28,0
6,Emma Stoker,Olivera Z,0,30.79,0,37.40,0
7,Joe Fernyhough,Calcourt Countdown,0,32.35,0,38.36,0
8,Laura Renwick,Nfs Taluga,0,29.40,0,39.84,0
9,Angela Thompson,Dawn Lancer,0,29.78,0,39.96,0
9,Ben Edwards,Catino Ask,0,29.62,0,39.96,0
11,Alex Barr,Athena A.D,0,30.23,0,40.11,0
12,Peter Moloney,Dynamo Van Broekhoven Wf Z,0,30.08,0,40.39,0
13,Holly Smith,Wellview Luxigraaf,0,29.74,0,41.29,0
14,Poppy Stronge,Lamshire.Ryal.K.,0,31.42,0,41.76,0
15,Jodie Hall Mcateer,Kingsborough Kasper,0,30.00,0,41.97,0
16,Ella Spencer,Billy Benvolio,0,30.29,0,42.24,0
17,Sally Goding,Red Head,0,28.93,0,42.44,0
18,Kate Ward,Geronimo TN,0,32.29,0,42.83,0
19,Faye Sutton,Lucka-Quick B,0,29.61,0,42.95,0
20,Lance Whitehouse,Whitesparke Big Heart,0,30.21,0,43.21,0
21,Jack Stirling,Rossini O.S,0,30.87,0,43.25,0
22,Joe Davies,Meesca,0,30.05,0,43.32,0
23,Sally Goding,Spring Willow,0,30.02,0,43.43,0
24,Ignacio Caba Guil,C-Let's Dance van de Beemd,0,31.40,0,43.51,0
25,Maisie Riley,Lorenzo,0,32.09,0,43.53,0
26,Tim Gredley,Romelus de Muze,0,32.00,0,43.67,0
27,Michael Tuff,Gio P Z,0,31.32,0,44.58,0
28,William Fletcher,Hector IX,0,30.92,0,44.67,0
29,Jackson Reed Stephenson,Domination F Z,0,30.70,0,45.89,0
30,Lily Attwood,Karibou Horta,0,32.26,1,47.02,1
31,Olivia Mae Davison,Radjamerci van de Vlasbloemhoeve,0,32.11,2,48.44,2
32,Cate Kerr,Petitfour Vd Wareslage,4,29.06,0,38.46,4
33,Jenna Palmer Evans,Ciasko Z,0,32.47,4,39.42,4
34,Francesca Young,Monthelie-O,0,29.06,4,39.68,4
35,Laura Renwick,Billy Tamrac,0,28.68,4,39.89,4
36,Guy Williams,Kermit Van Overis Z,0,29.71,4,40.39,4
37,Lottie Tutt,Billy Davos,0,30.59,4,41.57,4
38,Joseph Stockdale,Fmbs Therapy Systems Satisfaction,4,28.69,0,42.51,4
39,Holly Dunning,Harthill Mexico,4,29.53,0,42.82,4
40,Danielle Farnsworth,Lotus WL,4,28.81,0,43.22,4
41,Lottie Tutt,Billy Salut,0,31.32,4,43.97,4
42,Jonathon Buxton,Orlesh,4,31.03,0,45.43,4
43,William Fletcher,Qian Van Heiste,4,30.82,0,46.00,4
44,Dee Kennedy,Montgomery,4,32.49,0,46.94,4
45,Madison Heath,Ivory,4,31.82,1,47.27,5
46,Amy Leggett,Gherkin,4,31.58,1,47.56,5
47,Trevor Breen,Drewmain Meira,0,28.44,8,34.82,8
48,Daniel Moseley,Laros,0,30.57,8,39.91,8
49,J P Daker,Bazaar van het Bellehof Z,0,30.74,8,42.27,8
50,Leah Knowles,Scutchers,4,30.99,4,44.22,8
51,Nicole Pavitt,Domination Z,4,30.87,4,46.29,8
52,Oliver Tuff,Nebraska,4,32.01,5,47.40,9
53,Arthur Hobby,Mr Grand,8,31.92,1,47.51,9
54,Greg Le Gear,Diamond Warrior,0,32.26,12,45.47,12
55,Rebecca Marsh,Levi III,4,31.42,15,49.20,19
56,Tabitha Kyle,Jumanji,24,55.48,4,45.86,28
,Scarlett Tweedie,Fashion ES,EL,,,,
,Ryan Page,Kai Chic,EL,,,,
,Katie-Ellen Mellish,Renkum Keyman,EL,,,,
