Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II,Total
1,Jesse Luther,Millicent 6,0,34.10,0,24.70,0
2,Grzegorz Nowak,Night Lady K,0,33.11,0,25.66,0
3,Andres Vereecke,Ona Van De Begijnakker,0,33.65,0,25.67,0
3,Roberto Turchetto,Inostello M,0,35.88,0,25.67,0
5,Roberto Cristofoletti,Lumiere He.ro,0,35.41,0,25.70,0
6,Andrius Petrovas,Inteligent Boy - N,0,36.71,0,25.98,0
7,Tomma Thiesen,Django Riff,0,34.54,0,26.04,0
8,Bart Bles,Hot Stuff Ep,0,33.28,0,26.19,0
9,Daria Kobiernik,Sonet,0,32.76,0,26.83,0
10,Malgorzata Koszucka,Monarch Baraka,0,34.12,0,26.99,0
11,Patryk Skrzyczynski,Cube,0,36.11,0,27.19,0
12,Max Haunhorst,M.ovetus King Wp,0,35.62,0,27.35,0
13,Helena Lundbäck,Erbe's Liebling,0,36.24,0,27.93,0
14,Lukas Civinskas,Crystal Heart,0,36.52,0,28.14,0
15,Holger Wulschner,Vega De Laubry Z,0,36.12,0,28.37,0
16,Christian Hess,Quick Marie 2,0,34.88,0,28.42,0
17,Marie Flick,Didou Blofagnu Z,0,34.06,0,28.91,0
18,Judyta Perek,Cedynia,0,35.01,0,29.03,0
19,Grzegorz Nowak,Call Of Duty,0,36.22,0,29.58,0
20,Jaroslaw Skrzyczynski,Solaris Blue,0,34.66,0,29.61,0
21,Evita Vismeryte,Falcon,0,36.32,0,30.97,0
22,Judyta Perek,Quintus,0,33.61,0,31.70,0
23,Aleksandra Kierznowska,Corvetta,0,34.74,0,32.96,0
24,Msciwoj Kiecon,Idealisca,0,33.74,0,33.05,0
25,Mykola Pylypeiko,Clever,0,36.35,0,33.58,0
26,Matthias Lucas,Camaro Vd Leuba,0,36.04,0,33.68,0
27,Arkadiusz Fimmel,Dominate F,0,36.35,0,34.38,0
28,Nika Sundström,Mireille Mathieu,0,35.80,0,34.61,0
29,Antoni Strzalkowski,U 2,0,37.44,0,35.08,0
29,Hannes Ahlmann,Courchevel Jl,0,39.13,0,35.08,0
31,Hanna Osieka,Leroy P,0,37.97,0,36.20,0
32,Jacek Polikowski,Defender Z,0,37.86,0,36.29,0
33,Simon Heineke,Coco Chanel 296,0,36.86,0,37.06,0
34,Harm Lahde,Can Hope,0,37.51,0,37.97,0
35,Krzysztof Ludwiczak,Chalula-bette Ps,0,37.99,1,38.58,1
36,Zuzanna Januszewska,Rox Coriana-p,0,31.53,4,28.19,4
37,Matthias Lucas,Air-force One,0,36.06,4,29.07,4
38,Renee Ulvsbjerg,Chardonnay Z,0,34.91,4,30.68,4
39,Kristaps Neretnieks,Carten,0,33.69,4,30.71,4
40,Bekzod Kurbanov,Affir,4,35.24,0,32.66,4
41,Evita Vismeryte,Universe,4,34.91,0,34.13,4
42,Filip Skrzyczynski,Hard To Beat,4,36.66,0,34.29,4
43,Renee Ulvsbjerg,Horhiro Kdw Z,0,37.58,4,34.34,4
44,Linda Portychova,Black & White P.,0,35.61,4,34.67,4
45,Karmela Wolniewicz,Hoetzenhof Coco Jamboo,0,38.17,4,35.05,4
46,Nisse Lüneburg,I'm Agent Pwr,4,37.82,0,35.19,4
47,Patryk Skrzyczynski,DI Caprio Z,0,36.07,4,35.39,4
48,Brecht Goossens,Koosje,4,37.37,0,35.41,4
49,Anna Szary Ziebicka,Landreau,0,38.36,4,35.44,4
50,Julia Bluj,Corlantina Hippica,0,35.11,4,35.66,4
51,Aleksandra Kierznowska,Conlumino,0,37.66,4,35.87,4
52,Jacek Polikowski,Agandor Z,4,35.75,0,36.12,4
53,Jakub Krzyzosiak,Nottingham S,0,37.87,5,38.50,5
54,Enno Klaphake,Nozem,4,36.91,3,40.65,7
55,Josefina Goess-Horstmann,Marvantos,8,34.21,0,33.28,8
56,Hanna Osieka,Miss Piggy,0,35.27,8,35.15,8
57,Zuzanna Januszewska,Conterno,8,38.83,0,37.48,8
58,Feruz Abdullaev,Caliana 6,15,50.86,0,36.15,15
59,Saule Jocyte,Quintago Nso,16,51.97,0,32.79,16
