Posición,Jinete,Caballo,Puntos,Tiempo
1,Anthony Wellens,Cela Van Koekenhuyze,0,61.82
2,Caroline Devos-Poels,Ermitage d'Argouges,0,63.83
3,Jenny Krogsaeter,Sweet Niki,0,65.44
4,Seppe Wouters,Libelle Asborne Z,0,67.13
5,Odile Gierech,Addicted Z,0,67.18
6,Anthony Wellens,Quiona V/H Lemmenshof,0,67.20
7,Elize van de Mheen,Fides du Mas Garnier,0,67.23
8,Lars Kersten,Carmen H Z,0,68.75
9,Kamal Abdullah Bahamdan,Popeye Vd Bisschop,0,69.41
10,Alexis Lheureux,Ines de Prepinson,0,69.99
11,Elize van de Mheen,Eldorado 45,0,70.59
12,Claudia Michel,Cornet's Dream,0,70.71
13,Jan Vermeiren,Riesling Van 'T Eikhof,0,71.72
14,Suus Kuyten,No Surrender Skh,0,72.35
15,Wilm Vermeir,Jonkheer Van'T Veldhoven,0,72.87
16,Jeroen Appelen,Nech Z,0,73.01
17,Mathieu Guery,Horizon,0,73.28
18,Oleksandr Prodan,Diamond Quality Z,0,73.65
19,Jeroen de Winter,Nikita Ck Z,0,73.93
20,Sofia Westborg,Lorine,0,74.00
21,Wilm Vermeir,Top Invest 313 Z,0,75.99
22,Harry Allen,Huricane de Champloue,0,77.72
23,Felipe Amaral,Montissima PS,0,78.74
24,Angelica Augustsson Zanotelli,Iron Dames Calvino II de Nyze Z,2,82.88
25,Alix Ragot,If de Mars,4,62.37
26,Anthony Philippaerts,Spirit du Coeur des Collines,4,65.22
27,Yves Vanderhasselt,Merald Van 'T Zorgvliet,4,65.37
28,Caroline Devos-Poels,Dagrama Z,4,67.70
29,Noora Von Bülow,Interstar B,4,68.34
30,Alberto Zorzi,Camilla Bb88,4,69.38
31,Sofia Westborg,Lakoniek,4,70.89
32,Bruno Martins Costa,Vitus Vk Z,4,73.28
33,Francis Derwin,Zenith Vd Donkhoeve Z,4,76.00
34,Alise Oken Crooks,Christi,8,71.90
35,Kamal Abdullah Bahamdan,Lovely Stassi PS,8,72.29
36,Emma Sophia Spanko,Ivan,8,75.30
37,Sergio Alvarez Moya,Be Blue,8,78.59
38,Lorenzo de Luca,Quaresma Van 'T Paradijs,12,72.09
39,Emily Dehoff,Viper Z,20,72.28
,Noora Von Bülow,Balinsky,EL,
,Odile Gierech,Idyle Diamant Waloppe,EL,
