Posición,Jinete,Caballo,Puntos,Tiempo
1,Olivia Skinner,Pamplona Z OS,0,71.06
1,Tabitha Kyle,Panenka HX,0,83.51
1,Nicole Pavitt,Attendro NB,0,71.39
1,Emma Stoker,Call Me Annie ES,0,75.28
1,Kerry Harris,Paradiso,0,69.40
1,Emma Perrett,Passe-Partout,0,76.29
1,Sophie Bowen Howard,Perfect KC,0,72.76
1,Georgia Cooper-Hall,Paintball,0,71.98
1,Katie Bradburne,Pip,0,71.96
1,Ashley Ray,Maryland OS,0,68.87
1,Leah Knowles,Boxted Boris,0,71.52
1,Laura Ritchie-Bland,Its My Time,0,71.70
1,Daniel Moseley,Prince TN,0,76.81
1,Jessica Birkett,Golden Eyas OL,0,69.35
1,Joe Davies,Wf Astra,0,72.47
1,Peter Moloney,I Am Legend Q,0,76.56
1,Dani Cuomo,Repeat The Recipe,0,76.45
1,Michael Fursedonn,Harley de La Bouverie,0,70.66
1,Lance Whitehouse,Eclipse,0,71.44
1,Scarlett Tweedie,Texas OS,0,70.54
1,Sophie Bowen Howard,Margaery,0,74.56
1,Emma Slater,Ucs Skywalker,0,78.26
1,Annabel Shields,Perfectionist H,0,70.99
1,James Adams Riley,Enzo K,0,78.11
1,Robert Bevis,Cicerouna,0,73.72
1,Keith Shore,Riaux d'Emeraud,0,71.09
1,Iwan Carpenter,Jungle Juice,0,75.28
1,Carmel Turian,Uvita-P van de Melle,0,72.25
1,Christopher Smith,Emir Vinio Mb Z,0,71.75
1,Greg Le Gear,I-Touch,0,74.33
1,Nicole Pavitt,Umberto II van het Geninsteinde,0,69.25
32,Joe Fernyhough,Cool Cinsey PS,4,81.32
32,Millie Kold,Ultimus,4,73.54
32,Jack Stirling,P. Star Factor,4,73.56
32,Paul Crago,Kalinka d'OR,4,73.71
32,Keith Shore,Twice The Spice,4,70.98
32,Christopher Smith,Unbeatable Z,4,78.67
32,Tom Bucknall,Pesse,4,72.95
32,Kirsty Hogg,Emmie,4,73.81
32,Georgia Wells,Hurst Victor,4,70.74
32,Nicole Pavitt,Billy Matisse,4,69.78
32,Rosalyn Harper,Or de Fremis,4,72.14
32,Anthony Condon,Tababbe Jh Z,4,72.09
32,Ben Carus,Charlotte Z,4,74.26
32,Jenna Palmer Evans,Formula 1,4,73.47
32,Georgia Cooper-Hall,Ukira van de Helle,4,70.29
32,Yu Xuan Su,Tobarone HK,4,75.65
48,Charlotte Ash,Take Off Z,12,74.74
49,Elizabeth Rose Lutener,Ss Elle's Delight,16,73.06
50,Rosalyn Harper,Vigo du Petit-Hallet Z,20,77.88
,Georgia Cabb,Pop Star,EL,
