Posición,Jinete,Caballo,Puntos,Tiempo
1,Jeroen de Winter,Leontien Dh Z,0,68.58
2,Mauro Stas,Casta Diva des Premices Z,0,69.38
3,Dennis van den Brink,Happy Calmia,0,69.73
4,Paulien Schepers,Dolce Vita Exclusive Z,0,69.88
5,Lauranne Spits,Unanyme Dwerse Hagen,0,70.91
6,Frederic Vernaet,Colvis de Muze,0,71.96
7,Ivan Dalton,Emoji Sk Stables Z,0,73.43
8,Stefanie Carroll,Coshyra Hero Broekkant Z,0,73.64
9,Ali Al Khorafi,Pericles P&A Z,0,74.37
10,Joe Clee,Doha Z,0,75.42
11,Stéphanie Saverys,Unlimited Edition Jw de Muze,0,76.49
12,Emily Turkington,Dasco 12,0,76.55
13,Vic de Plecker,Une Belle Van Stestavi,0,76.57
14,Christian Ahlmann,Ambassador Z,0,76.94
15,Mike van Haudt,Ultima Van T'Tkeikelhof,0,77.16
16,Roberto Mendonça Dias,Chilli Pepper Aeg Z,0,77.63
17,Harry Allen,Kaolak de La Cense,0,78.93
18,Koen Vereecke,Ultra Flip de Muze,0,79.32
19,Antoine Ermann,Porsche BH,0,79.47
20,Daniel Deusser,Devil 2000 Z,0,79.83
21,Fanny Rivon,Kassia Tontenant,0,79.85
22,Victor de Boitselier,Togo de Liebri Z,0,80.35
23,Jos Verlooy,Divinus van de Kapel Z,0,80.75
24,Bethanie Knight,Colini 3,0,80.78
25,Romain Dreyfus,Amstrong Z,0,81.34
26,Odile Gierech,Undercover Van'T Paradijs,0,81.77
27,Neri Pieraccini,Orion van den Aard Z,0,81.80
28,Oleksandr Prodan,Montepulciano Di Fer Z,0,81.89
29,Rebecca Lindeblad,U-Special Van HD,0,82.13
30,Niels Bruynseels,Celangelo Z,0,82.67
31,Alexis Lheureux,Ogusson du Seigneur,0,82.96
32,Rik Nauta,U2 Van Strijtem,4,69.73
33,Aurelia Guisson,Une Beauty Belle JW,4,73.51
34,Oscar van den Berghe,Emericella Dw Z,4,75.66
35,Thibeau Spits,Ustino Vd Bisschop,4,75.99
36,Sierra Wilson,Viva La Vida,4,80.45
37,Jonna Ekberg,Scout Z,6,84.57
