Posición,Jinete,Caballo,Puntos,Tiempo
1,Lorenzo Argentano,Dakota Blue Girl (OLDBG),0,63.18
2,Tomma Thiesen,Bert 74 (HOLST),0,65.22
3,Michael Viehweg,Cartal (WESTF),0,65.26
4,Simon Heineke,Call Me Pretty (HOLST),0,65.77
5,Jesse Luther,Millicent 6 (HOLST),0,66.11
6,Mykola Pylypeiko,Clever,0,66.31
7,Andrius Petrovas,Inteligent Boy - N (LWB),0,67.72
8,Saule Jocyte,Panama,0,68.57
9,Roberto Cristofoletti,Lumiere He.ro (AES),0,69.03
10,Nicole Holmén,H&m Bahia (DWB),0,70.59
11,Christian Hess,Quick Marie 2 (HOLST),0,71.31
12,Aleksandra Kierznowska,Corvetta (PZHK (SP)),0,72.46
13,Harm Lahde,Can Hope (HOLST),0,73.49
14,Renee Ulvsbjerg,Chardonnay Z (ZANG),0,74.95
15,Lukasz Koza,Soricco Van't Slot (BWP),0,75.47
16,Antoni Strzalkowski,U 2 (HOLST),0,78.57
17,Andre Thieme,Dsp Chakaria (DSP (BRAND)),1,79.49
18,Michal Kazmierczak,Roi Van't Hoog Hemelrijk (BWP),2,80.46
19,Anna Szary Ziebicka,Landreau (KWPN),3,81.30
20,Max Haunhorst,M.ovetus King Wp (KWPN),4,65.29
21,Matthias Lucas,Gin Mare (HANN),4,66.79
22,Roberto Turchetto,Inostello M (KWPN),4,67.91
23,Saad Alajmi,Dictator D'aubry (AES),4,68.82
24,Msciwoj Kiecon,Shade Of Gold Nve Z (ZANG),4,68.93
25,Brecht Goossens,Koosje (KWPN),4,70.66
26,Malgorzata Koszucka,Monarch Baraka (KWPN),4,72.91
27,Nika Sundström,Mireille Mathieu (HOLST),4,73.92
28,Marie Flick,Da Vinci Sr Z (ZANG),4,75.84
29,Grzegorz Nowak,Call Of Duty (HANN),4,77.50
30,Christian Rhomberg,Incredible De Marny (SF),4,77.83
31,Hanna Osieka,Leroy P (BWP),4,77.92
32,Evita Vismeryte,Universe (HOLST),4,78.10
33,Abdurakhmon Abdullaev,Comme Quattro (WESTF),5,79.02
34,Jakub Krzyzosiak,Nottingham S (PZHK (SP)),5,79.29
35,Linda Portychova,Vivano Blue (OS),5,79.55
36,Matilde Bono,Oo Seven Vd Molendreef (BWP),8,65.59
37,Lukas Civinskas,Crystal Heart (HOLST),8,70.99
38,Burak Uluçay,Holivia H (KWPN),8,72.04
39,Nisse Lüneburg,I'm Agent Pwr (SWB),8,76.70
40,Andres Vereecke,Halima Van Het Bonte Hof Z (ZANG),8,78.83
41,Hannes Ahlmann,Cimarosa 4 (HOLST),9,87.56
42,Deirdre Reilly,Odiamant Van 't Laar (BWP),9,87.83
43,Helena Lundbäck,Erbe's Liebling (AES),12,74.35
44,Bart Bles,Hot Stuff Ep (ZANG),12,86.31
45,Kristaps Neretnieks,Carten (LWB),16,86.99
46,Arkadiusz Fimmel,Dominate F (WESTF),21,91.69
47,Feruz Abdullaev,Caliana 6 (HANN),34,104.37
,Daria Kobiernik,Verbora D'athena Z (ZANG),RET,
