Posición,Jinete,Caballo,Puntos,Tiempo
1,Constant van Paesschen,Diaz du Thot,0,54.30
2,Pedro Veniss,Gershwin Dromelle,0,56.25
3,Alexa Ferrer,Vitalhorse Fleur d'OZ,0,56.73
4,Sanne Thijssen,Farah Z,0,56.93
5,Finn Boerekamp,Danny Boy 111 Z,0,57.47
6,Armando Trapote,Karl P,0,57.50
7,Gudrun Patteet,Sea Coast Chica V.V. Z,0,57.62
8,Barbara Schnieper,Toronto Raptor,0,57.76
9,Kevin Gonzalez De Zarate Fernandez,Cornet Crimoso,0,60.09
10,Alberto Marquez Galobardes,Coolboy,0,60.41
11,Jules Orsolini,Ibrahim,0,60.55
12,Riccardo Pisani,Scooby-Lou,0,60.61
13,Luciana Diniz,Full Passion Hh Z,0,61.60
14,Eduardo Alvarez Aznar,Idefix de Mapie,0,62.44
15,Iván Serrano Sáez,Corvara Blue PS,0,63.48
16,Pieter Clemens,Garfield,0,68.28
17,Yuri Mansur,My Lady Lavista,4,56.50
18,Jesus Garmendia Echevarria,Mycox,4,57.41
19,Julio Arias Cueva,Sienna de Brandegem,4,57.57
20,Sira Martinez Cullell,Texas,4,58.54
21,Olivier Perreau,In Love With You,4,60.67
22,David Simpson,Csf Thomascourt Zena,4,60.88
23,José María (jr) Larocca,Rr Brutus,4,62.61
24,Luis Ortiz Agüera,Iolarzel Duverie Coco,4,63.22
25,Jack Whitaker,Nimaran,4,67.52
26,Emanuele Gaudiano,Vasco 118,8,57.10
27,Robert Whitaker,Strike A Pose,8,61.76
28,Simone Coata,Metoon PS,8,64.43
29,Emanuele Camilli,Charlie La Loi Z,8,64.95
30,Luis Fernandez Gil Fournier,Prio YM,8,65.79
31,Stefan Weemaes,Risque Tout,12,65.06
32,Penelope Leprevost,Hileklaire Un Prince,16,72.35
33,João Victor Castro Aguiar Gomes de Lima,Giulia Hoy,16,76.28
,Dalma Malhas,Jandino,EL,
,Rodrigo Giesteira Almeida,Comme Le Coeur,DQ,
,Millie Allen,Quick Diamant HR,RET,
