Posición,Jinete,Caballo,Puntos,Tiempo
1,Fleur Beyne,Joske de Saar,0,49.14
2,Maxime Boelaert,Nazaire Vd Watermolen,0,49.61
3,Devon Esrick,Adele Z,0,50.26
4,Marie-Sophie Theurer,Cumberland AS,0,51.78
5,Younes Mohamed Yakoub Ferradj,Tinkas Chaccoblue Van Essene,0,52.58
6,Julie Pascale Ruant,Cleopatra Of Picobello Z,0,52.76
7,Aisling Byrne,Supreme Action,0,54.29
8,Sierra Wilson,San Spot,0,55.28
9,Alex Atherton,Qilano van de Helle,0,55.78
10,Isabelle Hanssens,Showtime de Rie Z,0,57.15
11,Marie-Alix Vandenbroeck,Layla -P,0,57.77
12,Lily Bouvard,Heroce des Bargues,0,57.94
13,Bathilde Lorenzetti,Vangelis Pommex Z,0,58.40
14,Pierre Wigny,Guanaco,0,58.58
15,Monique Becker,Lust For Life van het Beeckhof,0,59.42
16,Jeanne Bernard,Udo van de Beemden,0,61.06
17,Maya Ganoza Guerrero,Divent Andour de Hus,0,61.13
18,Leon Ahlmann,Rl Al The Blue,0,61.59
19,Nakshath Venkatesh,Daredevil Z,0,61.64
20,Yannan Dai,Hera Fbh,0,61.74
21,Angela Gonzalez Muñoz,Judine van de Kapel,0,62.11
22,Laura Saelens,This Is A Beauty van de Smeets,0,63.30
23,Charlotte Maccagnani,Eic Lloyd,0,63.45
24,Patricia Guery,Exco van de Kattevennen Z,0,64.71
25,Jorge Ganoza Durant,Isadora St Georges,0,65.35
26,Alisa Romanova,Roosje van de Moorskeshoeve,0,66.09
27,Valerie Blommaert,Tinkerbelle Vd Heffinck,0,66.25
28,Wanda Poschwatta,La Belle C Roman,0,67.02
29,Sebastien Kapel,Kaolin de Beauvoir,0,67.21
30,Tara Dow-Rein,Groovy des Brimbelles,0,68.11
31,Victor de Boitselier,Calais de Liebri Z,0,68.35
32,Martina Franco Stephan,Douce Emeraude d'OR,0,70.07
33,Kristina Zubac,Contuto PS,0,71.52
34,Ali Hussain Alnowais,King Leon Z,4,51.59
35,Bade Duru Atesçiçegi,True Blue de La Liniere,4,54.19
36,Fleur Goorden,Babyspice,4,54.31
37,Giulia Schulze Blanck Fiorentino,Genasis,4,56.09
38,Zelie Delestrez,Elegance de Chauny,4,57.14
39,Margot Devisscher,Cornada Avo's Z,4,58.12
40,Laura Larock,Fiesta,4,58.33
41,Mariela D´Agostino Vargas,Ehllo d'Argouges,4,58.44
42,Sehaj Singh Virk,Untouched de Luna,4,62.17
43,Rodolphe Bernard,Chyva de Bois Mesange Z,4,63.25
44,Thomas Hermann,Pascall,4,63.67
45,Noor Rawji,Dhengis d'Amour Z,4,70.00
46,Siao Wang,Ivette du Terroir,8,50.34
47,Morgane Claeys,Everybody's Queen P,8,69.25
48,Sam Maelfait,My Girl Jt Z,24,95.66
,Jana Deneyer,Julea,EL,
