Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II,Total
1,Keith Shore,Fabuleux de Riverland,0,34.67,0,27.30,0
2,Jessica Hewlett,Ilmar Hbc,0,33.89,0,27.97,0
3,Sammie Jo Coffin,Cosacara Mia F,0,35.48,0,29.11,0
4,Abbie Summers,Galway du Lys,0,39.14,0,31.67,0
5,Corey Jarman,Ilana Z,0,35.30,0,31.85,0
6,Harriette Rushton,Noble Orange,0,36.17,0,32.19,0
7,William Fletcher,Nashville,0,35.90,0,32.31,0
8,Alex Barr,Hello Northern Star,0,33.59,0,33.48,0
9,Emily Fisher,Iline,0,34.35,4,28.63,4
10,Isabelle Mcclelland,Mcllroy 19,4,36.67,0,31.75,4
11,Emily Seal,Conradoc II Proosthof Z,4,35.24,0,32.33,4
12,Abbie Summers,If Evers Girl,4,33.03,0,33.05,4
13,Holly Smith,Orovito,0,34.32,4,33.29,4
14,Nicole Pavitt,Landorado A J,4,34.40,0,33.34,4
15,Laura Mantel,Car-A-Lago Z,4,37.16,0,33.55,4
16,Charlotte Ash,Obolensky Boy,4,37.49,0,37.02,4
17,Jessie Irwin,Jds Capone,4,37.81,0,39.51,4
18,Alex Barr,Stakkonthara PS,7,44.83,0,35.02,7
,Lyndsay Harrison,Keiralanda Vdm,RET,,,,
,Millie Kold,Lcm Goldento,RET,,,,
