Posición,Jinete,Caballo,Puntos,Tiempo
1,Jaroslaw Skrzyczynski,Solaris Blue (PZHK (SP)),0,61.71
2,Harm Lahde,Oak Grove's Commander Bond (OS),0,62.29
3,Tomma Thiesen,Big Lady Ze (HANN),0,62.95
4,Marek Lewicki,Quadis II (HANN),0,63.52
5,Enno Klaphake,Chacvarlon Ps (MECKL),0,65.31
6,Mykola Pylypeiko,Money Time (HOLST),0,65.50
7,Roberto Cristofoletti,Kitel Della Tenuta Montemagno (MASAF),0,66.04
8,Linda Portychova,Lara (CZEWB),0,67.27
9,Marie Flick,Ciro 7 (HOLST),0,68.97
10,Lorenzo Argentano,Corna Boy (WESTF),0,69.14
11,Nisse Lüneburg,Chill Out Rl (HOLST),0,70.71
12,Andre Thieme,Castanova H (HANN),0,71.93
13,Lukasz Koza,Leopold Van Het Meesenhof Z (ZANG),0,74.16
14,Deirdre Reilly,Derryglen Othello (BWP),0,75.90
15,Hannes Ahlmann,Flaubert Du Busson (SF),4,62.81
16,Brecht Goossens,Alaska Z (ZANG),4,62.98
17,Msciwoj Kiecon,Idealisca (WESTF),4,64.95
18,Arkadiusz Fimmel,Elastiqua (HOLST),4,65.93
19,Jesse Luther,Kiara 138 (HOLST),4,66.76
20,Peter Englbrecht,Paulinjo Blue (AWÖ),4,67.44
21,Abdurakhmon Abdullaev,Caballone (WESTF),4,67.67
22,Renee Ulvsbjerg,Celeste Balslev (DWB),4,68.42
23,Christian Rhomberg,Durantos (KWPN),4,68.81
24,Krzysztof Ludwiczak,Chalula-bette Ps (OS),4,69.59
25,Christian Hess,Zafir 13 (WESTF),4,70.08
26,Antoni Strzalkowski,Amazing Lucy (PZHK (SP)),4,70.62
27,Nicole Holmén,Carmega (SWB),4,71.32
28,Grzegorz Nowak,Kaskada (HOLST),4,72.60
29,Daria Kobiernik,Chamans Pepino Ll (OS),4,74.09
30,Feruz Abdullaev,Conlouba (HANN),4,74.42
31,Jacek Polikowski,Lector (MECKL),4,74.48
32,Andrius Petrovas,Rowin Van De Brouwershoeve (BWP),6,77.25
33,Simon Heineke,Dinesso (HOLST),6,77.26
34,Michael Viehweg,Contario (AWÖ),8,64.29
35,Gert Jan Bruggink,Fellow De Will (HOLST),8,66.67
36,Andres Vereecke,Konita Hx (KWPN),8,68.78
37,Joel Torstenson,Qwerty Z (ZANG),8,68.98
38,Max Haunhorst,Cera Blue B (HANN),8,69.10
39,Matthias Lucas,Camaro Vd Leuba (OS),8,70.13
40,Holger Wulschner,Kanthago (HOLST),8,72.91
41,Aleksandrs Sakurovs,Fillmore Db (KWPN),8,73.62
42,Tomasz Miskiewicz,Kaszmir (WESTF),8,73.67
43,Aleksandra Kierznowska,Conlumino (PZHK (SP)),8,73.95
44,Neal Fearon,Derryglen Quatar (BWBS),8,74.76
45,Kristaps Neretnieks,Quintair (HOLST),12,61.32
46,Michal Kazmierczak,Nigiri (HANN),12,66.44
47,Grzegorz Faber,Stacorrado (HOLST),16,68.81
48,Saad Alajmi,Hi There (KWPN),16,71.09
49,Slawomir Uchwat,Miss-marvelous B (KWPN),16,72.07
50,Matilde Bono,Cardozo Z (ZANG),16,74.79
,Roberto Turchetto,Diabolo D'encre (SF),EL,
,Bart Bles,Jancoulavsco Fortuna (KWPN),EL,
,Josefina Goess-Horstmann,Ja Belle Stability (KWPN),RET,
,Bekzod Kurbanov,Affir,DSQ,
