Posición,Jinete,Caballo,Puntos,Tiempo
1,Robin Vermeir,Sisley van de Hazenhoek,0,61.99
2,Eliah Pieters,Owen van het Lindehof,0,63.91
3,Daan Bernaerts,Rosa KC,0,64.78
4,Lieselot Kooremans,Lola-Jay ES,0,65.16
5,Yashaan Zubin Khambatta,Inca's Big Think,0,66.74
6,Lara Eggermont,Born To Win Ap Z,0,66.89
7,Mathilda Hansson,Pia - Lotta Van'T Roosakker,0,67.06
8,Dennis van den Brink,Night Star,0,67.65
9,Leonardo Basola,Pomme Castanoo,0,67.72
10,Cyril Cools,Jamaique DB,0,69.16
11,Alexandra Paillot,Ilena du Maragnac,0,69.19
12,Mohammad Saeed Al Ghurair,Ikaros,0,69.63
13,Jorik Vervoort,Tiramisu SH,0,70.08
14,Florence Schwizer-Seydoux,Real Star de Lorette,0,70.09
15,Nadège Janssen,Marchella TW,0,70.28
16,Sara Maria Hank Guerreiro,H5 Nashville,0,70.77
17,Logan Fiechter,Livano,0,70.87
18,Jules Denutte,Vanquish Z,0,71.14
19,Niharika Singhania,First To Cash Out,0,71.93
20,Ali Al Khorafi,I,0,72.11
21,Ibrahim Yousuf Al Mahmoud,Qataro van het Texelhof,0,72.21
22,Paula de Boer-Schwarz,Zandona,0,72.38
23,Stephanie D'Andrimont,Dardare Brimbelles Z,0,72.54
24,Tallulah Mackenzie Smith,Domsturmer,0,72.59
25,Ivana Zálešák Hron,Levista Dbh Z,0,72.78
26,Elke Appeltans,Karamba Z de Poteau Z,0,72.83
27,Saad Ahmed S A Al Saad,Craquante de Mazin,0,73.16
28,Stefanie Carroll,Idem des Forets,0,73.46
29,Ludovica Camerlengo,Orlando LV,0,73.57
30,Louise Losfeld,Soprano Vd Donkhoeve,0,74.37
31,Stijn Timmerman,Clarisse T Z,0,74.84
32,Alice Wachman,Banksy,1,77.51
33,Aimee van Gerwen,Most Wanted,2,78.62
34,Olivia Broder,Landru,2,78.64
35,Mauro Stas,Spiderman D' Asbo,4,65.39
36,Thibaud Ebinger,Calua Vd Withoeve Z,4,65.66
37,Vic de Plecker,Ilypsho,4,68.03
38,Kristina Klebanova,Nuraya 3,4,68.69
39,Diego Ramos Maneiro,Grabuge,4,69.49
40,Aurelia Guisson,Tequila vh Legitahof Z,4,69.57
41,Marie Eder Ferrero,Duc de Cavilly,4,69.62
42,Lucie Saliba,Quacino van de Diepebeek,4,70.19
42,Amira Kettaneh,Clarige DC,4,70.19
44,Marta Elander Wisten,d'Orient Batilly,4,70.32
45,Bethanie Knight,Etiuda,4,70.35
46,Charlotte Berghmans,Blackonda,4,70.68
47,Jérôme Denutte,Hector,4,71.06
48,Morten Dahl,Csf Olympic Jewel,4,71.24
49,Jade Laderach,Mezoetje,4,71.26
50,Kiara Leroy - Homann,L-Ratallion My Z,4,71.62
51,Lauranne Spits,Quick Step VV Champblanc,4,72.08
52,Dennis Johansson,Spirit de Muze,4,73.08
53,Oscar van den Berghe,Tintin Vd Bisschop,4,73.33
54,Marthe Heudens,Super Star Van 'T Keikelhof,4,76.74
55,Valentine Raulier,Nikkei d'O,5,77.57
56,Genene Burnett,Vanda Phantom,5,77.77
57,Léa de Coulon,Goldfinger Z,8,64.10
58,Mohamed Mounir Mehenni,Harald de Belheme,8,64.88
59,Faris Saad A H Al Qahtani,Com du Rouet Z,8,67.65
60,Vanessa Ingrid Pecina,Granada Lvp,8,69.93
61,Thibault Vermeulen,Porsche V,8,70.30
62,Maxime Boutron,Hunter de Talma,8,70.90
63,Sophie Maher,Amorinas Booomerang,10,82.28
64,Carlos Hank Gonzalez,H5 Origi,10,82.80
65,Felipe Coutinho Mendonca Nagata,Ambassador Z,12,68.54
66,Elona Rousselle,Ilahtop du Thalie,12,70.18
67,Oona-Julia Roto,Parinoor vh Eegdeken,12,73.38
68,Camille Biebuyck,Joline de Fremis,12,73.64
69,Vincent Bartin,Twitter Van'T Prinsenveld Z,12,74.15
70,Anna Sushcheva,Dixie Moon,12,75.75
71,Anique Selten,En Vogue Z,12,76.50
72,Alexandra Afzal,Swing On A Star,13,81.79
73,Meimei Zhu,V Dynamite Z,16,80.17
74,Sultan Salem Al Naemi,Cavallina 13,16,80.30
75,Claire Putters,High Fly Special,16,84.14
76,Stephanie Janssens,Diam's de Sologne Z,18,86.57
77,Joe Clee,Astronomic vh Legita Hof Z,21,85.13
78,Claire Mckean,Kolinda SL,21,89.21
79,Jonathan Hansson,Mash Ipei,25,93.77
,Alexandra Crown,Quick Nek EH,RET,
,Lynn Eggermont,Davinci Ap Z,RET,
