Posición,Jinete,Caballo,Puntos,Tiempo
1,Eduardo Pereira De Menezes,H5 Knockando,0,71.03
2,Kendra Claricia Brinkop,Gatsby Le Magnific,0,71.30
3,Christian Ahlmann,Vivario Jl Z,0,72.18
4,Abdel Saïd,Wathnan Max,0,72.55
5,Antoine Ermann,Jiamo Vds,0,72.83
6,Marlon Modolo Zanotelli,Dorette Old,0,73.33
7,Niels Bruynseels,Devidanga Sw Z,0,74.40
8,Emilie Conter,Portobella van de Fruitkorf,0,75.42
9,Carlos Hank Guerreiro,H5 Origi Horta,0,75.59
10,Petronella Andersson,Imperia,0,75.88
11,Pieter Devos,Primo DV,0,76.84
12,Martin Fuchs,Falcon du Toultia Z,0,77.07
13,Andres Azcarraga,Contendros 2,0,77.52
14,Lara Tryba,Chageorge,0,77.57
15,Cian O'Connor,Kentucky TN,0,77.89
15,Nicolas Pizarro,Pia Contra,0,77.89
17,Frederic Vernaet,Quatre Mai-L,0,78.31
18,Giampiero Garofalo,A Moonlight Speciale Z,0,78.57
19,Stephanie Macieira,Novak de Kalvarie,0,79.56
20,Maikel van der Vleuten,Jesther,0,80.76
21,Simon Delestre,Golden Boy DK,4,69.55
22,Jérôme Guery,Kiliman Sitte,4,73.06
23,Billy Twomey,Ace Of Hearts Z,4,76.20
24,Rodrigo Pessoa,Hard'Rock af,4,76.51
25,Jorge Matte Capdevila,Kinmar Bespoke,4,76.77
26,Sean Monaghan,Chef Of Flanders Fields Z,4,76.93
27,Annelies Vorsselmans,Trezeguet,4,78.07
28,Daniel Deusser,Pepita Van T Meulenhof BR,4,78.31
29,Max Kühner,Eic Quantum Robin V,4,78.41
30,Gabriel de Matos Machado,Nyles van de Mottelhoeve,4,80.24
31,Nina Mallevaey,Destine To BE,4,82.25
32,Richard Vogel,Phenyo van het Keysersbos,4,82.60
33,Harrie Smolders,Estrello Eh Z,5,83.25
34,Steve Guerdat,Lancelotta,8,72.71
35,Jeanne Sadran,Cepano Baloubet,8,73.19
36,Thibeau Spits,Gin Flip de Muze Z,8,73.48
37,Lillie Keenan,Emerlon,8,73.63
38,Piergiorgio Bucci,Pallieter Vd N.Ranch,8,74.74
39,Denis Lynch,Vistogrand,8,75.53
40,Olivier Philippaerts,Miro,8,76.51
41,Zoe Hank Conter,La Una,8,76.61
42,Marco Antonio Peixoto Ferreira Filho,Everest V'T Hof V Eversem Z,8,76.81
43,Hilary Scott,Oaks Milky Way,8,77.18
44,Gregory Wathelet,Double Jeu d'Honvault,8,80.83
45,Ben Maher,Maddox vh Haringvliet Z,8,81.33
46,Abdulrahman Alrajhi,Kiss-Me V/H Bhh,8,81.58
47,Jos Verlooy,Parise van den Dael,12,75.76
48,Roger Yves Bost,Equine America Ballerine du Vilpion,12,78.92
49,Nadja Peter Steiner,Quarantinette Vt Hazelarenhoekje,12,82.73
50,Mike van Olst,Comme Elle Faut Odth Z,13,83.47
51,Kevin Staut,Ever de Turan,24,86.91
,Emma Bodier,Medoc de Muze,RET,
,Henrik Von Eckermann,Glamour Girl,RET,
,Kristen Vanderveen,Bull Run's Jireh,RET,
