Posición,Jinete,Caballo,Puntos,Tiempo
1,Kate Ward,Ahg Whiterock Abbey,0,58.44
2,Vicky Connor,Lissyegan Rory,0,58.98
3,Shamma Rashed Saeed Almheiri,Stakkira 6,0,59.63
4,Olivia Mae Davison,Nice Girl,0,60.13
5,Iwan Carpenter,Casella Nova,0,60.62
6,George Kenyon O'Laney,Carnone Coevers Quality,0,61.08
7,Alfie Diaper,Last One Standing,0,61.36
8,Claudia Hegarty,Billy Bordeaux,0,62.22
9,Brynn Jennings,Odin SH,0,62.34
10,Phillip Spivey,Paddington 192,0,64.70
11,Megan Illingworth,Merllyns Tiger Lilly,0,64.79
12,Georgia Cooper-Hall,Chivas Ap Z,0,65.40
13,Robert Skyrme,Zambian Rambo,0,66.66
14,Saffron Whatley,Vistoroos,0,66.83
15,Sian Edwards,One Secret,0,67.43
16,Christopher Smith,North Cape Z,0,68.51
17,Chloe Lemieux,Barika van de Helle,0,69.00
18,Jessica Baugh,Sir Splash Master,0,69.14
19,Paul Crago,Nivara,0,69.32
20,Leo Lorimer,Lk Johnnie Boy,0,71.64
21,Lowan Cruise Mills,Atlantic Star M,0,71.99
22,Jessie Fern Cormack,Myron Hbf,0,75.98
23,Elizabeth Rose Lutener,Nikita,0,76.04
24,Zoe Smith,Lupistar EA,4,57.41
25,Iwan Carpenter,Impro Diamond Star,4,59.44
26,Samantha Anne Oliver,First Coryphee,4,60.39
27,Saffron Whatley,Caramac OS,4,66.32
28,Laura Ritchie-Bland,Lady Cobra Cruise,4,67.48
29,Nora Williams,Nfs Tiloubet,4,69.24
30,Peggy Baker,Whitechurch Blue Colada,4,72.32
31,Tia Jayne Posner,Minted,4,73.02
32,Maisie Riley,One Super Sonic,4,74.26
33,Phoebe Keogh,Sveva Della Caccia,4,74.88
34,Katharina Adelheid Hilger,Karlijn,8,71.84
35,Georgina Ellis,Peppa,8,73.57
36,Katie Mooney,Charmeur Z,8,76.45
37,Richard Seals,My Sweet Heart CL,12,67.30
38,Charlotte Tyson,Imperial d'Hyrencourt,16,72.73
39,Georgina Ellis,Contello-D Z,25,94.50
,Lyndsay Harrison,Keiralanda Vdm,RET,
,Millie Kold,Lcm Goldento,RET,
