Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Eliah Pieters,Owen van het Lindehof,0,77.10,0,41.19
2,Dennis van den Brink,Night Star,0,78.18,0,41.85
3,Stijn Timmerman,Rakker Van St Anneke,0,76.08,0,42.50
4,Kristina Klebanova,Diamanda 4,0,78.01,0,44.35
5,Thibaud Ebinger,Calua Vd Withoeve Z,0,74.42,4,47.86
6,Niharika Singhania,First To Cash Out,0,77.48,8,43.65
7,Nadège Janssen,Marchella TW,2,81.64,,
8,Kiara Leroy - Homann,L-Ratallion My Z,3,82.07,,
9,Daan Bernaerts,l'Esmeralda Van 'T Meulenhof,4,73.92,,
10,Paula de Boer-Schwarz,My Miss Marpel Old,4,74.18,,
11,Jules Denutte,Sir Minka Z,4,75.52,,
12,Alexandra Paillot,Ilena du Maragnac,4,76.76,,
13,Vic de Plecker,Ilypsho,4,76.83,,
14,Jorik Vervoort,Tiramisu SH,4,77.16,,
15,Logan Fiechter,Apphire H Z,4,77.80,,
16,Joe Clee,Allroad 2000 Z,4,78.45,,
17,Robin Vermeir,Beyonce Van'T Hulgenrode Z,4,78.70,,
18,Ibrahim Yousuf Al Mahmoud,Qataro van het Texelhof,4,78.75,,
19,Ludovica Camerlengo,Orlando LV,4,79.06,,
19,Mohammad Saeed Al Ghurair,Ikaros,4,79.06,,
21,Marie Eder Ferrero,Quesera de Muze,4,79.23,,
22,Oscar van den Berghe,Top Secret de Muze Z,4,79.32,,
23,Faris Saad A H Al Qahtani,Com du Rouet Z,4,79.81,,
24,Marthe Heudens,Super Star Van 'T Keikelhof,6,81.34,,
25,Mathilda Hansson,Qurina van het Leliehof,7,82.49,,
26,Jérôme Denutte,Hector,8,76.12,,
27,Stefanie Carroll,Idem des Forets,8,78.07,,
28,Lauranne Spits,Quick Step VV Champblanc,8,78.58,,
29,Alice Wachman,Killarney,8,79.94,,
30,Elke Appeltans,Karamba Z de Poteau Z,9,80.13,,
31,Saad Ahmed S A Al Saad,Costa Gavras,9,80.40,,
32,Sara Maria Hank Guerreiro,H5 Lacalito 2,9,80.51,,
33,Lucie Saliba,Quacino van de Diepebeek,9,80.54,,
34,Vincent Bartin,Twitter Van'T Prinsenveld Z,9,80.67,,
34,Tallulah Mackenzie Smith,Domsturmer,9,80.67,,
36,Leonardo Basola,Pomme Castanoo,12,75.58,,
37,Diego Ramos Maneiro,Grabuge,12,75.88,,
38,Yashaan Zubin Khambatta,Inca's Big Think,12,77.92,,
39,Dennis Johansson,Spirit de Muze,12,78.41,,
40,Jade Laderach,Mezoetje,14,81.06,,
41,Genene Burnett,Vanda Phantom,14,85.60,,
42,Jonna Ekberg,Gracefield Apollo,15,86.42,,
43,Camille Biebuyck,Joline de Fremis,16,73.48,,
44,Aurelia Guisson,Tequila vh Legitahof Z,16,77.42,,
45,Aimee van Gerwen,Most Wanted,18,85.28,,
46,Ali Al Khorafi,I,21,80.07,,
47,Mohamed Mounir Mehenni,Harald de Belheme,21,80.20,,
48,Olivia Broder,Landru,24,87.78,,
49,Margarita D´Agostino Vargas,Cadira PS,28,95.20,,
,Ivana Zálešák Hron,Levista Dbh Z,EL,,,
,Stephanie D'Andrimont,Dardare Brimbelles Z,RET,,,
,Louise Losfeld,Soprano Vd Donkhoeve,RET,,,
,Stephanie Janssens,Diam's de Sologne Z,RET,,,
,Marta Elander Wisten,d'Orient Batilly,RET,,,
,Cyril Cools,Jamaique DB,RET,,,
,Elona Rousselle,Ibiscus de Samadal,RET,,,
,Mathias Hazebroek,El Pachat 111 Z,RET,,,
,Florence Schwizer-Seydoux,Real Star de Lorette,RET,,,
,Lara Eggermont,Born To Win Ap Z,RET,,,
