Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II
1,Nicole Pavitt,Casque d'OR,0,42.78,0,25.39
2,Laura Renwick,Marseille,0,46.60,0,26.18
3,Christopher Franks,Kannabalou,0,44.73,0,26.63
4,Ryan Page,Bp Ko Jax,0,42.69,0,26.74
5,Mark Edwards,Tinkers Touch,0,45.67,0,26.96
6,Iwan Carpenter,Starido,0,45.37,0,27.04
7,Charlotte Ash,Air Sandulay,0,46.34,0,27.05
8,Sammie Jo Coffin,Chaccomo Blue,0,46.48,0,27.99
9,Tabitha Kyle,Loughton Diamond,0,45.56,0,29.18
10,Phillip Spivey,Billy Disco,0,46.86,0,29.35
11,Emma Stoker,Priskada,0,46.76,0,29.52
12,Poppy Stronge,Jersey S,0,46.82,0,29.61
13,Alexander Bragg,Hegglelane Houston,0,47.22,0,29.67
14,Phillip Spivey,Nbe Jenny Don'Y Be Hasty,0,46.18,0,30.55
15,Ryan Page,Bp Skybound,0,47.94,0,30.90
16,Joe Fernyhough,Calcourt Trilby,0,47.31,0,30.92
17,Danielle Farnsworth,Hunter Apple,0,46.09,0,31.23
18,Harriette Rushton,Chacstar Z,0,44.64,0,31.38
19,Guy Williams,Kazandor Hero Z,0,49.43,0,31.66
20,Peter Moloney,Nielson,0,44.03,0,31.83
21,Jenna Palmer Evans,Ilord,0,48.29,0,32.19
22,Alexandra Somerville-Cotton,Amazing-K Van'T Kattenheye Z,0,46.16,0,32.56
23,Jackson Reed Stephenson,Obelia Vd Bisschop,0,45.14,0,32.73
24,Ben Wickens,Israel,0,47.78,0,33.49
25,Joe Davies,Lanos O.M.,0,46.31,0,34.08
26,Nigel Coupe,Air Queen,0,48.93,0,34.10
27,Honor Dabbs,Loughnatousa Gilbert,0,46.40,0,34.28
28,Emily Rowe,Diamo,0,47.22,0,34.60
28,William Fletcher,Kannan's Star L.H,0,46.30,0,34.60
30,Daniel Moseley,Billy Rasputin,0,48.52,0,35.01
31,Emily Ward,Corlytender,0,48.26,0,35.13
32,Tim Gredley,Don Royale,0,46.80,0,35.14
33,Tim Gredley,Vuitton Of Picobello Z,0,48.28,0,35.57
34,James Davenport,Top Gun OS,0,46.42,0,36.06
35,Faye Sutton,Lift Off,0,46.77,0,36.07
36,Rebecca Marsh,Stevie G,0,48.61,0,36.51
37,Jake Andrew Elliott,Mervellieux,0,43.51,4,26.90
38,Anthony Condon,Oviedo 'S,0,45.82,4,28.23
39,Anna Power,Calgary Ph Z,0,45.18,4,29.23
40,Guy Williams,Saulire Z,0,46.08,4,29.31
41,Faye Adams,Renkum Buster,0,45.03,4,29.84
42,Francesca Young,Shannondale Anzac,0,46.31,4,30.58
43,Sian Edwards,Magnum Force,0,46.82,4,31.38
44,Zak Beesley,Chaccomodo,0,46.94,4,31.49
45,Trevor Breen,Konrad Obolensky,0,45.73,4,32.60
46,Oliver Tuff,Sacino,0,46.65,4,32.76
47,William Fletcher,Shelton DD,0,46.29,4,33.43
48,Elizabeth Forrester,Kensington,0,46.36,4,33.66
49,Adam Ellery,Mc Gregor TN,0,46.56,4,35.05
