Posición,Jinete,Caballo,Puntos,Tiempo
1,Alexander Mclean,Corneliuss,0,54.28
2,Laura Renwick,Nfs Taluga,0,55.89
3,Mark Edwards,Tinkers Touch,0,56.97
4,William Fletcher,Qian Van Heiste,0,58.60
5,Guy Williams,Saulire Z,0,58.73
6,Emily Fisher,Ivanta,0,58.96
7,Faye Sutton,Lucka-Quick B,0,59.02
8,Ryan Page,Kai Chic,0,60.00
9,Elizabeth Forrester,Kensington,0,60.01
10,Paul Crago,Compton Mills,0,60.06
11,Charlotte Ash,Cali Star,0,60.24
12,Keith Shore,Betty K,0,60.59
13,Cate Kerr,Kolwa,0,61.09
14,Lottie Tutt,Billy Davos,0,62.12
15,Joe Fernyhough,Calcourt Trilby,0,63.19
16,Alex Barr,New Star Hbf,0,63.68
17,Lance Whitehouse,Kluidini,0,64.40
18,Tim Gredley,Vuitton Of Picobello Z,0,65.45
19,Ella Spencer,Billy Benvolio,0,65.46
20,William Fletcher,Hector IX,0,65.60
21,Maisie Riley,Lorenzo,0,66.26
22,Guy Williams,Kazandor Hero Z,0,66.60
23,Lance Whitehouse,Whitesparke Big Heart,0,68.10
24,Amy Leggett,Gherkin,0,68.15
25,Sammie Jo Coffin,Cornet Of Follyfoot,4,55.56
26,Nicole Pavitt,Casque d'OR,4,55.87
27,Sammie Jo Coffin,Chaccomo Blue,4,57.26
28,Miles Jon O'Donnell,Jackpot D.S.,4,59.04
29,Alex Barr,Athena A.D,4,60.02
30,Georgina Ellis,Fireball,4,61.81
31,Ignacio Caba Guil,C-Let's Dance van de Beemd,4,64.79
32,Michael Tuff,Gio P Z,4,65.88
33,Arthur Hobby,Mr Grand,4,67.50
34,Ben Wickens,Israel,4,67.66
35,Ella Spencer,Cold Play S Z,4,68.23
36,Peter Moloney,Osaka Q,4,71.80
37,Fergal Holohan,Ces Celtic Son,8,56.37
38,J P Daker,Cortez Van'T Amaryllishof Z,8,65.82
39,Lowan Cruise Mills,Billy Can Can,8,68.64
40,Dee Kennedy,Montgomery,12,68.00
41,Tabitha Kyle,Jumanji,12,69.65
42,Rebecca Marsh,N My Lady EX,29,90.04
,Christopher Smith,North Cape Z,EL,
,Saffron Whatley,Vistoroos,EL,
,Emily Seal,Conradoc II Proosthof Z,RET,
,Lyndsay Harrison,Gelesta,RET,
