Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Georgina Ellis,Croisiere,0,70.07,0,38.19
2,Olivia Skinner,C-Mikado Wapiti Mp Z,0,71.01,0,40.09
3,Daniel Moseley,Billy Be Magical,0,72.72,0,40.99
4,Harriette Rushton,C.Lest Best VDL Z,0,71.67,0,42.15
5,Nikki Curtis,Destination,0,71.65,4,38.72
6,Ria Ward,Mark,1,75.65,,
7,Emma Perrett,Jackson Vive,2,76.89,,
8,Jack Stirling,Os Vino,4,70.16,,
9,Rosie Smith,Honorine AS,4,70.83,,
10,Alicia Falla,Lightning W,4,71.39,,
11,Annabel Shields,Ses Denmark,4,71.93,,
12,Madison Heath,Ti Amore van de Doornhaag,4,72.17,,
13,Gregory Hill,Strawberry Urs,4,72.46,,
14,Leo Lamb,Next Pinacolada,4,73.11,,
15,Trevor Breen,Mgh Prima Ballerina,4,73.25,,
16,Ella Spencer,Billy Outspoken,4,73.80,,
17,Maisie Riley,Hk Dominatara,4,73.82,,
18,Holly Smith,Flying Saucer O.S,4,74.67,,
19,J P Daker,Rozy vh Gebergte,5,75.91,,
20,Nicole Pavitt,Rhodos van de Kiekenboer,8,71.04,,
21,Danielle Farnsworth,Hazelberg's Mercury,8,71.78,,
22,Angela Thompson,Dawn Lancer,8,72.02,,
23,Greg Le Gear,O Halifax Boy DL,8,74.10,,
24,Samantha Anne Oliver,Gluk,8,74.61,,
25,Kirsty Hogg,Nitaine,8,78.04,,
26,Mark Bunting,Outlander HX,9,75.40,,
27,Tabby Morgan-Evans,Zilveren's Swizzle Time Bda,9,75.66,,
28,Elizabeth Rose Lutener,Emeril,9,75.96,,
29,Lowan Cruise Mills,Quando Z,10,76.06,,
30,Ryan Page,Zlatan Z,12,69.50,,
31,Leah Knowles,True Form,12,74.22,,
32,Lily Attwood,Waddesdon's Rock,12,78.12,,
33,Poppy Stronge,Kadermie van de Crumelhaeve,16,73.29,,
34,Francesca Young,Monthelie-O,16,74.18,,
35,Laura Ritchie-Bland,Katoulon JL,16,78.21,,
36,Jessica Birkett,Ballyquirke Paddy,20,74.86,,
,Chloe Gunning,Ron Weasley,RET,,,
,Katie-Ellen Mellish,Renkum Keyman,EL,,,
,Rebecca Lithgow,Raimy van de Noordheuvel,EL,,,
,Kirsty Pearce,Hadrianus WB,RET,,,
,Alexandra Somerville-Cotton,Amazing-K Van'T Kattenheye Z,RET,,,
