Posición,Jinete,Caballo,Puntos,Tiempo
1,Keith Shore,Fabuleux de Riverland,0,58.99
2,Emily Fisher,Iline,0,60.43
3,Phillip Spivey,Kimba du Soleil,0,61.74
4,Alexandra Somerville-Cotton,Heartbreakers Escape,0,63.95
5,Charlotte Ash,Obolensky Boy,0,70.10
6,Peter Moloney,Jak,0,73.60
7,Cate Kerr,Ballypatrick Zambra,4,58.42
8,Sammie Jo Coffin,Cosacara Mia F,4,61.41
9,Emma Slater,Hullabalou's Darco,4,62.34
10,Isabelle Mcclelland,Mcllroy 19,4,64.52
11,Laura Ritchie-Bland,Legacy,4,65.01
12,Abbie Summers,Galway du Lys,4,65.14
13,William Fletcher,Nashville,4,66.13
14,Alex Barr,Stakkonthara PS,4,67.70
15,Nicole Pavitt,Landorado A J,4,68.38
16,Harriette Rushton,Noble Orange,4,69.86
17,Laura Mantel,Car-A-Lago Z,8,64.97
18,Alex Barr,Hello Northern Star,8,67.04
19,Lyndsay Harrison,Keiralanda Vdm,8,68.26
20,Jessie Irwin,Jds Capone,12,70.54
21,Millie Kold,Lcm Goldento,28,94.57
,Christopher Smith,North Cape Z,EL,
,Saffron Whatley,Vistoroos,EL,
,Emily Seal,Conradoc II Proosthof Z,RET,
,Lyndsay Harrison,Gelesta,RET,
