Posición,Jinete,Caballo,Puntos,Tiempo
1,Selina Höger,Flintstone V,0,71.99
2,Bekzod Kurbanov,Matts V.g.,0,77.42
3,Hilke Wohlgemuth,Eldorada's Passion Gs,0,75.97
4,Ulrich Hensel,Deauville Z,0,75.81
5,Wolfgang Puschak,Mr. Monty Van De Helsthoeve,0,77.50
6,Benjamin Wulschner,Wolf Of Wall Street 3,0,70.50
7,Anna Duff,Chalonta Ps,0,75.40
8,Maximilian Kögler,Chacforkee,0,74.19
9,Lea Kremer,Cardenta Du Rouet,0,75.07
10,Basile Bettendorf,Chakpori Du Gibet,0,72.10
11,Max Schmidt,Coeur De Lion,0,77.18
12,Daniel Lahmann,Good Morning D'ivraie,0,76.13
13,Lea Fries,Pliszka,1,79.40
14,Vivien Blandfort,Via Blue,3,81.21
15,Carl Maria Forstpointner,Focus On Pleasure,3,81.95
16,Raissa Sokolenko,Uran - Nad Wigrami,4,71.44
17,Felix Hassmann,Conthargo Ps,4,71.61
18,Tamara Schnyder,Oberstaig's Champs Elysees,4,72.64
19,Franz Josef Steiner,Irish Coffee De Pehou,4,72.87
20,Sophia Mitchell,Hakkato Du Prieure,4,73.83
21,Vince Jarmy,Acira Blue Ps,4,74.88
22,Mikka Roth,Rossmount Flamenco B,4,75.21
23,Emely Karoline Paulsen,Lordy,4,75.74
24,Michael Hornung,Caillou H,4,75.75
25,Hans-Günther Blum,Titanium Ps,4,75.91
26,Felix Müller,Diarinue Ps,4,76.39
27,Denis Nielsen,Kobus,4,77.35
28,Niklas Betz,Cascassaro,4,77.77
29,Emma Bachl,Classic White 2,8,72.94
30,Jennifer Jaritz-Gnaser,Dom Perignon,8,73.54
31,Elisabeth Meyer,Joyce,8,73.76
32,Marvin Jüngel,Kansall,8,76.15
33,Thomas O'Brien,Eden Eve,8,76.34
34,Jenny Rankin,Calido's Santos Ps,8,77.44
35,Axel Fromm,Casa De Cooper Fh,10,80.91
36,Joana Schildknecht,Quatisse Van De Begijnenhoef,12,78.60
37,Michael Eichler,Clooney 133,16,77.07
38,Sven Ebert,Pauline,20,71.12
39,Ava Ferch,Elvic V/h Hoeve-terras Z,20,72.10
40,Soenke Kohrock,Van Cordoba,23,93.31
41,Carola Wegener,Chadina Air Ps,31,101.99
,Carlotta Reisacher,Babalou 4,EL,
,Maximilian Ertz,Cavano Fly Ps,RET,
,Tom Sanders,Favorite D'amour,RET,
,Theresa Pachler,Kingston Vh Maarlohof Z,RET,
,Patrik Eigenmann,Loreina,RET,
,Jörg Oppermann,Olymp 58,RET,
,Bakhromjon Gaziev,Santos Hippica,RET,
