Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II
1,Michal Kazmierczak,Roi Van't Hoog Hemelrijk (BWP),0,52.20,0,26.84
2,Bart Bles,Jancoulavsco Fortuna (KWPN),0,51.49,0,27.37
3,Marek Lewicki,Quadis II (HANN),0,51.42,0,27.91
4,Brecht Goossens,Maserati (KWPN),0,53.37,0,28.86
5,Enno Klaphake,Oki Doki 15 (HANN),0,54.18,0,28.94
6,Jesse Luther,Moon Boy,0,51.04,0,30.23
7,Max Haunhorst,Jack V't Plutoniahof (SBS),0,54.31,0,31.88
8,Helena Lundbäck,Whalborg,0,53.36,0,32.01
9,Daria Kobiernik,Chamans Pepino Ll (OS),0,56.30,0,32.43
10,Krzysztof Ludwiczak,Uriel Du Sartiau Z (ZANG),0,58.92,0,32.79
11,Nisse Lüneburg,Chill Out Rl (HOLST),0,53.45,0,33.40
12,Christian Hess,Dia Quicka W (HOLST),0,53.53,0,33.69
13,Lukasz Koza,Leopold Van Het Meesenhof Z (ZANG),0,53.42,0,34.30
14,Mykola Pylypeiko,Carbaron (OS),0,53.69,0,35.91
15,Holger Wulschner,Comme Un Reve (HOLST),0,54.88,0,37.70
16,Roberto Turchetto,Kuriosity De Vy Z (ZANG),0,52.01,4,26.67
17,Andres Vereecke,Konita Hx (KWPN),0,51.19,4,27.66
18,Gert Jan Bruggink,Fellow De Will (HOLST),0,49.19,4,29.95
19,Antoni Strzalkowski,Amazing Lucy (PZHK (SP)),0,53.98,4,32.41
20,Simon Heineke,Call Me Pretty (HOLST),0,51.25,4,32.59
21,Christian Rhomberg,Durantos (KWPN),0,54.58,4,34.53
22,Aleksandrs Sakurovs,Fillmore Db (KWPN),0,53.70,4,34.79
23,Peter Englbrecht,Paulinjo Blue (AWÖ),4,48.40,,
24,Arkadiusz Fimmel,Elastiqua (HOLST),4,50.92,,
25,Marie Flick,Ciro 7 (HOLST),4,52.28,,
26,Saad Alajmi,Hi There (KWPN),4,53.56,,
27,Andre Thieme,Castanova H (HANN),4,54.22,,
28,Linda Portychova,Lara (CZEWB),4,54.24,,
29,Andrius Petrovas,Just Cornet R.t. (KWPN),4,54.63,,
30,Hannes Ahlmann,Flaubert Du Busson (SF),4,54.83,,
31,Abdurakhmon Abdullaev,Comme Quattro (WESTF),4,55.64,,
32,Tomma Thiesen,Big Lady Ze (HANN),8,49.00,,
33,Matilde Bono,Cardozo Z (ZANG),8,53.31,,
34,Msciwoj Kiecon,Shade Of Gold Nve Z (ZANG),8,53.44,,
35,Lorenzo Argentano,Corna Boy (WESTF),8,54.14,,
36,Kristaps Neretnieks,Chicarito (HOLST),8,54.25,,
37,Roberto Cristofoletti,Kitel Della Tenuta Montemagno (MASAF),8,57.56,,
38,Nicole Holmén,H&m Bahia (DWB),17,67.55,,
