Posición,Jinete,Caballo,Puntos,Tiempo
1,Robin Vermeir,Sisley van de Hazenhoek,0,64.67
2,Saad Ahmed S A Al Saad,Craquante de Mazin,0,64.89
3,Marthe Heudens,Riviera van het Dennehof,0,67.39
3,Faris Saad A H Al Qahtani,Gaya des Cours,0,67.39
5,Jonathan Hansson,Mash Ipei,0,68.23
6,Jonathan Hansson,Obelix Vd Berghoeve,0,68.29
7,Dennis Johansson,Maya - S,0,69.28
8,Camille Biebuyck,Ladana vh Venushof Z,0,69.36
9,Mathilda Hansson,Pia - Lotta Van'T Roosakker,0,70.12
10,Lieselot Kooremans,Nini Van HD,0,70.60
11,Oona-Julia Roto,Parinoor vh Eegdeken,0,71.78
12,Stephanie D'Andrimont,Fantaisie de Montigny,0,73.89
13,Tallulah Mackenzie Smith,Coyotte Pommex Z,0,74.70
14,Jorik Vervoort,Brilliant Touch Z,0,74.71
15,Ivana Zálešák Hron,Cia Z,0,75.52
16,Bethanie Knight,Coralldi Z,0,77.33
17,Oona-Julia Roto,Peter Pan van de Berghoeve,0,77.58
18,Stijn Timmerman,Clarisse T Z,0,78.27
19,Florence Schwizer-Seydoux,Maeva Sitte,0,78.53
20,Johnatan Tassignon,Sirius Van'T Wimpelhof,0,78.82
21,Paula de Boer-Schwarz,Zandona,0,79.05
22,Antoine Deprez,Iggy Pop d'Utah,0,80.82
23,Alexandra Crown,Vincenzo vh Legitahof Z,1,81.49
24,Maxime Boutron,Hunter de Talma,4,68.53
25,Felipe Coutinho Mendonca Nagata,Krysia Sitte,4,69.29
26,Stephanie Janssens,Clo-Clo Z,4,69.85
27,Lucie Saliba,Something Special TK,4,69.88
28,Mauro Stas,Ti Amo Di Magico de Res Nova Z,4,70.17
29,Mauro Stas,Spiderman D' Asbo,4,70.93
30,Lauranne Spits,Sjefke Van d'Abelendreef,4,71.60
31,Vanessa Ingrid Pecina,Granada Lvp,4,72.07
32,Morten Dahl,Csf Olympic Jewel,4,74.10
33,Jules Denutte,Vanquish Z,4,74.19
34,Jade Laderach,Naf Naf Dmc,4,74.36
35,Dennis van den Brink,Chardonnay Sv Z,4,75.24
36,Dennis van den Brink,Nanjing HW,4,75.84
37,Valentine Raulier,Nikkei d'O,4,76.14
38,Bethanie Knight,Etiuda,4,77.03
39,Marthe Heudens,Silver Van'T Keikelhof,4,77.98
40,Claire Putters,High Fly Special,4,78.59
41,Jade Laderach,Ines de Kreisker,4,78.88
42,Léa de Coulon,Varane de La Pomme Z,4,78.96
43,Logan Fiechter,Talent Z,4,79.33
44,Sophie Maher,Nice Star B,4,80.82
45,Joker A. Arroyo,Conny-Blue,6,82.90
46,Margarita D´Agostino Vargas,Henriette,8,73.83
47,Kristina Klebanova,Ironie des Pres Sauvages,8,74.42
48,Sultan Salem Al Naemi,Energika des Neyes,8,75.23
49,Lynn Eggermont,Davinci Ap Z,8,75.74
50,Paula de Boer-Schwarz,Castanie K,8,75.93
51,Marta Elander Wisten,Declic de Fond de Ville Z,8,79.11
52,Cyril Cools,Kannet V.D. Rikse,8,79.36
53,Morten Dahl,Mylord Forever,8,79.66
54,Ina Kai Barila-Laliberte,Chicane V Z,8,80.36
55,Meimei Zhu,V Dynamite Z,8,80.56
56,Rik Nauta,Diva Vd Withoeve Z,8,80.60
57,Antoine Deprez,Kinga de Himbe,8,84.10
58,Elke Appeltans,Ialou Manciaise,10,82.06
59,Oscar van den Berghe,Brexit,12,68.93
60,Charlotte Berghmans,Blackonda,12,69.63
61,Christophe Boden,Omanka-A,12,73.49
62,Carlos Hank Gonzalez,H5 Origi,13,89.52
63,Oscar van den Berghe,Tintin Vd Bisschop,16,78.31
64,Anna Sushcheva,Dixie Moon,18,86.04
65,Valentine Raulier,Turin Z,20,77.87
66,Léa de Coulon,Goldfinger Z,26,98.22
67,Alexandra Crown,Quick Nek EH,31,99.90
68,Aimee van Gerwen,Ami Hero Z,37,113.41
,Alexandra Afzal,Swing On A Star,RET,
,Claire Mckean,Kolinda SL,EL,
,Anique Selten,En Vogue Z,RET,
,Felipe Coutinho Mendonca Nagata,Ambassador Z,EL,
