Posición,Jinete,Caballo,Puntos,Tiempo
1,Zelie Delestrez,Fairplais des Moulins,0,55.91
2,Martina Franco Stephan,Ecuador de Beaufour,0,56.57
3,Thomás de Castro Gouvêa,Ciarah Van'T Welthof,0,58.10
4,Monique Becker,Laville Topfok,0,58.23
5,Victor de Boitselier,Looks Good de Liebri Z,0,58.31
6,Carla Illiano,Goldikova de Kreisker,0,59.04
7,Georgina Round,Billy Hustle,0,59.63
8,Astrid de Pauw,Etoile de Laubry Z,0,59.70
9,Thibault Ternon,Estoy du Plessis,0,61.72
10,Ines van den Bosch,Scalibur,0,62.58
11,Sierra Wilson,Quanta de l'Isle,0,63.11
12,Alex Atherton,Ralf,0,63.23
13,Maxime Boelaert,Capri Sun 5,0,64.15
14,Younes Mohamed Yakoub Ferradj,Instinct d'Argouges,0,64.80
15,Ali Hussain Alnowais,Etoile de La Roche,0,65.24
16,Fleur Beyne,Cipollini Second Life Z,0,65.37
17,Thomas Hermann,Popayan de l'Heribus,0,66.16
18,Lizanna Kiss,Million Rose,0,66.34
19,Lara Ganoza Guerrero,Quintessential WF,0,66.35
20,Yannan Dai,Toscane Z,0,67.00
21,Caroline de Laet,Januzaj,0,67.31
22,Alisa Romanova,Kyamara,0,68.36
23,Sofia Francois,Kaffino By Boris,0,68.54
24,Valentine Auguin,Dandy de La Rose,0,68.57
25,Holly Smith,Conrad Quality Z,0,70.08
26,Lynn D'Have,Chique Z,0,70.26
27,Karlien Fannes,Ti Amo DR,0,70.40
28,Julie Thiry,Chilli Willi EW,0,72.08
29,Amer Hamad Al Mansoori,Normamorka,0,72.14
30,Aisling Byrne,Real Ohlala,0,72.76
31,Charlotte Maccagnani,Hatzidee PR,0,73.21
32,Sebastien Kapel,Amiable Girl,0,73.97
33,Luciana de Almeida Camargo,Touch Of Easy Van'T Paradijs,0,74.06
34,Rebecca Lindeblad,Con Dio,0,74.19
35,Bathilde Lorenzetti,Karioka de L Herse,0,75.94
36,Ignace Dierickx,Romeo van het Heidehof,0,77.45
37,Kristina Zubac,Tuttifrutti Pommex Z,1,78.77
38,Kirstin Robbins,Nova Aeg,4,56.83
39,Stéphanie Saverys,Kigara d'Elnoa Z,4,58.54
40,Sehaj Singh Virk,Ucarena Wd Z,4,61.99
41,Stephanie de Corte,Memphis van de Neerheide,4,62.63
42,Peter Mattos Botelho Greenlees,Lavanti V,4,62.69
43,Valerie Blommaert,In Style Hst,4,63.89
44,Patricia Guery,Damoiselle Froufrou,4,64.58
45,Ibrahim Khalid Al Kuwari,Mabelle de Villee,4,64.98
46,Lente Dierickx,Utopia Van'T Keikelhof,4,65.52
47,M Krishna Sahithi,Capri Sun 3,4,66.14
48,Xiang Shi,Qurado van het Molenhof,4,67.42
49,Maxime Hazebroek,Nashville Dh Z,4,68.29
50,Margot Devisscher,Parel Van'T Farsenhoven,4,68.36
51,Louna Delestre,Callinda Denfer,4,69.25
52,Angela Gonzalez Muñoz,Piper Vd Heffinck,4,70.38
53,Noor Rawji,Mieke Van Spieveld,4,71.77
54,Tian Xia,Quatta DK,4,72.38
55,Julie Pascale Ruant,Dolphin Of Picobello Z,4,74.73
56,Fleur Goorden,Maban II Van Beek Z,4,75.30
57,Joris Lecoque,Apereau van de Broy Z,4,75.33
58,Louise Sadran,Je T'Adore,4,76.89
59,Marielle Pauwels,O'Malley Mousse,5,82.01
60,Bade Duru Atesçiçegi,Coulibaly LV Diepenbroeck Z,8,56.96
61,Nele Kortsch,Go Classico,8,64.48
62,Jorge Ganoza Durant,Gentle van de Kattevennen Z,8,66.85
63,Rodolphe Bernard,Maserati Quality,19,80.17
,Camille Mestdagh,Hottonie de Kreisker,EL,
,Klara Robbins,Caluna Z,EL,
,Sam Maelfait,Neptune Z,RET,
