Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Sanne Thijssen,Cupcake Z,0,73.67,0,37.66
2,Iván Serrano Sáez,E Pleasure Beaufour,0,77.26,0,40.03
3,Janne Friederike Meyer-Zimmermann,Sauvageonne des Pouplis,0,74.26,0,40.08
4,Alexa Ferrer,Ingelo d'af,0,75.86,0,41.57
5,João Victor Castro Aguiar Gomes de Lima,Spice Girl-K Van Kattenheye,0,75.19,4,37.69
6,Yuri Mansur,Blitz van de Molenbrug Z,0,75.07,4,38.98
7,Olivier Perreau,Celeana des Joanins Z,0,73.91,4,39.35
8,Castora Ortiz Agüera,Robinson,0,75.70,12,56.10
9,José María (jr) Larocca,Chacca Khaan Z,1,78.06,,
10,Luis Mateos Bernaldez,Chamant de Biolley,4,73.30,,
11,Micaela Alvarez Gutierrez,Las Vegas Vd Padenborre,4,74.06,,
12,Luis Ortiz Agüera,A.N. Barney,4,74.17,,
13,Barbara Schnieper,Fancy Faye,4,75.30,,
14,Eduardo Alvarez Aznar,Qevita Vd Bisschop,4,76.20,,
15,Kevin Gonzalez De Zarate Fernandez,Le Chiffre,4,76.23,,
16,Leticia Riva Gil,Cadum de Champloue,5,78.76,,
17,Dalma Malhas,Django de Neveztell,5,82.71,,
18,Maria Gil Diaz,Explosion vh Legita Hof Z,6,79.35,,
19,Christian Marini,Mesbalou PS,6,79.81,,
20,Jesus Garmendia Echevarria,Nina Tilla,8,75.00,,
21,Julio Arias Cueva,Carlino de Beaufour,8,75.44,,
21,Simone Coata,Dart Z,8,75.44,,
23,Juan Riva Gil,Fernhill Balou Beau,8,75.47,,
24,Armando Trapote,Matilda,8,75.88,,
25,Jose Antonio Garcia Diana,Marola P&M,8,76.09,,
26,Robert Whitaker,Secret Touch Jw Van'T Meulenhof,8,76.23,,
27,Sloan Hopson,Billy Arctic,8,77.63,,
28,Rodrigo Giesteira Almeida,Gb Diamantina,9,78.52,,
29,Federica Fernandez,Cador Rubin,9,78.78,,
30,Pablo Valle Espinedo,Capucine du Marais,10,79.07,,
31,Carlos Gomez Sanchez,Sandaru,10,79.30,,
32,Carlos Lopez-Fanjul Tartiere,Intrepide de l'Etoile,11,80.16,,
33,Álvaro González De Zarate Fernandez,Pop UP,12,73.27,,
34,Constant van Paesschen,Mr Connery B,12,75.86,,
35,Saul Gutierrez Oti,Cadarco C,12,76.89,,
36,Chong-Hao Wang,Equine America Ivanhoe Gph,12,76.98,,
37,Olivia Alvarez García,Gibraltar Villa Rose,12,77.14,,
38,Miguel Honrubia Alvariño,Equistar de l'Abbaye,12,78.00,,
39,Santiago Nuñez Riva,Kilahuea de Capellan,14,79.89,,
40,Daniel Ocaña Sanchez,Dancing de l'Enclos,16,76.03,,
41,Jaime Silvela Castañon,Makuru MQ,16,76.12,,
42,Mafalda Costa Marques,Quiterio Z,17,78.20,,
43,Roi Calviño Rabon,Intouch Four Flags,28,85.65,,
44,Emanuele Gaudiano,Corlenthos PS,32,97.44,,
,Pieter Clemens,Leuke Vrouw,RET,,,
,Tom Schewe,Narina 1 W,RET,,,
,Mia Leal Treviño,Calvin de Beaufour,EL,,,
,Teresa Arias Cueva,Brunch Jolivet,EL,,,
,Miguel Alvarez -Buylla Rodriguez,Spirit van de Gaathoeve,RET,,,
,Nuno Tiago Gomes,Divya,RET,,,
,Gonzalo Menendez Menendez,Agr Divina,RET,,,
,Jules Orsolini,Kentucky 130,RET,,,
,Lucia Fernandez Hidalgo,Kings Queen Jt Z,RET,,,
,Otti Verdu Vidal,Gloria Casa Ballonga,RET,,,
,Javier Gonzalez Fraga,Queen Scs,RET,,,
