Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Scott Brash,Hello Folie,0,77.70,0,50.30
2,Yuri Mansur,Qh Alfons Santo Antonio,0,79.63,0,53.77
3,Millie Allen,Quickly D vh Ijzerenlindehof,0,79.50,0,56.50
4,Janne Friederike Meyer-Zimmermann,Van Tastic,0,81.66,0,57.82
5,Paola Amilibia,Quinley,4,77.61,0,56.85
6,Jack Whitaker,Jack JL,0,82.41,4,57.06
7,Emanuele Camilli,Chacco's Air PS,0,82.81,4,63.53
8,Luciana Diniz,Holly Rzh,4,77.76,4,53.47
9,Luis Jesus Escobar,Edesa's Jento de Belle Vue,0,81.37,8,60.26
10,Robert Whitaker,Equine America Vermento,0,78.81,RET,
10,Barbara Schnieper,Canice,4,76.75,EL,
12,Alexa Ferrer,Hastoria Bo Regard,4,78.20,,
13,Stanislas de Malet,Zambo M Z,4,78.35,,
14,Julio Arias Cueva,Filou du Manoir,4,78.47,,
15,Constant van Paesschen,Unaki de Bornival Z,4,78.67,,
16,Pedro Veniss,Duelante 3K,4,78.74,,
17,Iván Serrano Sáez,Rain Man,4,78.98,,
18,Luca Coata,Holly Del Rilate,4,79.46,,
19,Luisa Horta Osorio,Feeling de La Houssiere,4,80.00,,
20,João Victor Castro Aguiar Gomes de Lima,Cashpaid J&F,4,80.18,,
21,Armando Trapote,Caept'N Hook,4,80.46,,
22,Imma Roquet Autonell,Elba Del Maset,4,82.14,,
23,Riccardo Pisani,Chacco's Lawito PS,8,76.23,,
24,Olivier Perreau,Himalaya du Temple,8,76.77,,
25,Edouard Schmitz,Gamin Van'T Naastveldhof,8,76.82,,
26,Jules Orsolini,Charlotte 198,8,77.50,,
27,Gudrun Patteet,Baron - Rr Z,8,78.71,,
28,Jesus Garmendia Echevarria,Caramel Blue PS,8,79.81,,
29,Tom Schewe,Congress Blue PS,8,79.83,,
30,José María (jr) Larocca,Chris,8,81.45,,
31,Eduardo Alvarez Aznar,Harlequin des Flagues,8,81.86,,
32,Emanuele Gaudiano,Chalou's Love PS,9,83.88,,
33,Marc Dilasser,Arioto du Gevres,12,76.14,,
34,Christian Marini,Chalasanga PS,12,80.21,,
35,Kevin Gonzalez De Zarate Fernandez,Djoural de Lizet,15,85.14,,
36,Finn Boerekamp,Just Penelope Jw van de Moerhoeve,16,79.67,,
37,Javier Gonzalez Fraga,Sonic Jgf,16,80.42,,
38,David Simpson,Kolman Vdp,36,102.66,,
,Simone Coata,Tokio Vg Z,RET,,,
,Rodrigo Giesteira Almeida,Chicco van de Doornhaag Z,EL,,,
,Alberto Marquez Galobardes,For Jump des Horts,RET,,,
,Penelope Leprevost,Fair Play Margot,RET,,,
,Sanne Thijssen,King Blue,RET,,,
