Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Carron Nicol,Rrh Out of the Blue,0,70.93,0,37.70
2,Iwan Carpenter,Starido,0,68.13,4,35.70
3,John Whitaker,Hamstramgram,1,72.02,,
4,Alexander Bragg,Hegglelane Houston,1,72.68,,
5,Christopher Franks,Kannabalou,4,66.57,,
6,Laura Renwick,Marseille,4,68.14,,
7,Sammie Jo Coffin,Chaccomo Blue,4,68.39,,
8,Alexander Mclean,Gino F,4,68.68,,
9,Trevor Breen,Drewmain Musachino,4,69.17,,
10,Rebecca Marsh,Stevie G,4,69.69,,
11,Peter Moloney,Nielson,4,70.03,,
12,Holly Smith,Market M'Dam,4,70.05,,
13,Anna Power,Calgary Ph Z,4,70.09,,
14,William Fletcher,Shelton DD,4,71.70,,
15,Sally Goding,Vivalgot,4,71.76,,
16,Lance Whitehouse,White Sparke Argo,4,71.78,,
17,Gregory Hill,Jackblack,5,72.42,,
18,James Davenport,Top Gun OS,7,74.50,,
19,Mark Edwards,Tinkers Touch,8,66.75,,
20,Oliver Tuff,Sacino,8,67.72,,
21,Danielle Farnsworth,Hunter Apple,8,68.46,,
22,Joe Fernyhough,Calcourt Countdown,8,68.78,,
23,Joseph Stockdale,Do It Rollebeek Z,8,69.12,,
24,Fergal Holohan,Karima,8,69.58,,
25,Jodie Hall Mcateer,Kingsborough Kasper,8,69.77,,
26,Ryan Page,Bp Skybound,8,70.10,,
27,Lottie Tutt,Billy Dynamite,8,71.01,,
28,Adam Ellery,Mc Gregor TN,8,71.18,,
29,Jenna Palmer Evans,Ilord,8,71.95,,
30,Emily Ward,Corlytender,9,72.18,,
31,Francesca Young,Shannondale Anzac,9,72.57,,
32,Elizabeth Forrester,Kensington,9,72.80,,
33,Emily Rowe,Diamo,10,73.03,,
34,Paul Crago,Compton Mills,10,73.74,,
35,Sian Edwards,Magnum Force,12,70.56,,
36,Charlotte Ash,Air Sandulay,12,70.68,,
37,Leo Lamb,Chrysler Key SR,13,72.18,,
38,Faye Sutton,Lucka-Quick B,14,73.04,,
39,Nigel Coupe,Air Queen,14,73.05,,
40,Joe Davies,Meesca,14,73.22,,
41,Annabel Shields,Castlefield Ice,14,73.41,,
42,Ignacio Caba Guil,Secret Sunset,16,70.80,,
43,Emma Stoker,Priskada,18,73.67,,
44,Emma Crawford,King Louie,18,73.87,,
45,Tabitha Kyle,Loughton Diamond,19,74.96,,
46,Francesca Corich Van Der Bas,Bannockburn Ecph,21,80.40,,
47,Zak Beesley,Chaccomodo,23,74.77,,
48,Jack Stirling,Crunchie OS,26,73.05,,
49,Greg Le Gear,Be Aquila,30,77.60,,
50,Angelie Von Essen,One Oscar,35,90.15,,
51,Nicole Pavitt,Casque d'OR,36,79.84,,
,Lily Attwood,Apart Z,RET,,,
,Anthony Condon,Oviedo 'S,RET,,,
,Phillip Spivey,Nbe Jenny Don'Y Be Hasty,RET,,,
,Harriette Rushton,Chacstar Z,EL,,,
,Poppy Stronge,Jersey S,RET,,,
,Christopher Smith,Messarado Blue,EL,,,
,Guy Williams,Saulire Z,RET,,,
,Leah Knowles,Dirk,EL,,,
,Jake Andrew Elliott,Mervellieux,RET,,,
,Laura Mantel,Super Nova,RET,,,
,Keith Shore,Betty K,RET,,,
,Miles Jon O'Donnell,Jackpot D.S.,RET,,,
