Posición,Jinete,Caballo,Puntos,Tiempo
1,Stephan de Freitas Barcha,Chevaux Hex Lup Imperio Egipcio,0,57.42
2,Denis Lynch,Brooklyn Heights,0,58.53
3,Sean Monaghan,Roger de Mariposa,0,60.01
4,Marco Antonio Peixoto Ferreira Filho,Stagoldesso PS,0,64.76
5,Petronella Andersson,Odina Van Klapscheut,0,65.50
6,Annelies Vorsselmans,VDL Kelton,0,65.55
7,Simon Delestre,Gatsby du Tillard,0,65.70
8,Nadja Peter Steiner,Clearround IL Mondo,0,66.01
9,Jorge Matte Capdevila,Ccs Uriko,0,66.47
10,Thibeau Spits,Jazzy des Dames,0,66.50
11,Andres Azcarraga,Yax Vd Berghoeve,0,66.57
12,Jérôme Guery,Quito de Mariposa,0,66.65
13,Marlon Modolo Zanotelli,Charly Heart,0,66.87
14,Piergiorgio Bucci,Casalia DG,0,66.97
15,Daniel Deusser,Inoui du Seigneur,0,67.19
16,Frederic Vernaet,Orak d'Hamwyck T&L,0,67.31
17,Olivier Philippaerts,Hipster SV,0,68.35
18,Gilles Thomas,Riesling Van T Roosakker,0,68.46
19,Kristen Vanderveen,Starbucks 27,0,68.53
20,Richard Vogel,Gangster Montdesir,0,68.64
21,Carlos Hank Guerreiro,H5 Ganesh Hero Z,0,68.67
22,Marilyn Little,Narado,0,68.78
23,Zoe Hank Conter,H5 Chaccophanie,0,68.93
23,Abdulrahman Alrajhi,Lorenzo ES,0,68.93
25,Gregory Wathelet,Bond Jamesbond de Hay,0,69.24
26,Eduardo Pereira De Menezes,H5 Londontime,0,69.30
27,Michael Duffy,Camina Z,0,70.03
28,Lara Tryba,Shot Gun,0,70.57
29,Rodrigo Pessoa,Prins Van 'T Eigenlo,0,71.09
30,Roger Yves Bost,Go To Hickstead MF,0,71.64
30,Martin Fuchs,Lorde,0,71.64
30,Billy Twomey,Jumping Jack van de Kalevallei,0,71.64
33,Kendra Claricia Brinkop,Replay Van 'T Paradijs,0,72.39
34,Giampiero Garofalo,Querido Van'T Ruytershof,0,72.72
35,Harrie Smolders,Monaco,1,74.46
36,Maikel van der Vleuten,Quastor Vd Heffinck,4,63.86
37,Mike van Olst,Cosi Von Hary Z,4,65.45
38,Stephanie Macieira,Hfb Swarovski,4,66.84
39,Jeanne Sadran,Dexter de Kerglenn,4,68.04
40,Nicolas Pizarro,Chacalua Blue PS,4,68.35
41,Emma Bodier,Alba,4,69.17
42,Kevin Staut,Exquis RB,4,69.46
43,Kim Emmen,Hellix du Seigneur,4,71.41
44,Pieter Devos,Rainbow Van'T Zorgvliet,4,77.24
45,Gabriel de Matos Machado,Legaland Sandro,5,74.04
46,Christian Ahlmann,Sheeran WL,6,79.94
47,Hilary Scott,Lola,8,67.35
48,Lillie Keenan,Highway TN,27,96.4
