Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II,Total
1,Georgina Ellis,Croisiere,0,34.67,0,27.27,0
2,Ryan Page,Zlatan Z,0,33.03,0,28.02,0
3,Olivia Skinner,C-Mikado Wapiti Mp Z,0,33.35,0,28.86,0
4,Nicole Pavitt,Rhodos van de Kiekenboer,0,31.53,0,28.95,0
5,Georgina Ellis,Fireball,0,36.47,0,29.15,0
6,Alicia Falla,Lightning W,0,32.89,0,29.60,0
7,Samantha Anne Oliver,Gluk,0,34.53,0,29.85,0
8,Emma Perrett,Jackson Vive,0,35.52,0,30.53,0
9,Nikki Curtis,Destination,0,36.06,0,30.74,0
10,Laura Ritchie-Bland,Katoulon JL,0,37.73,0,30.85,0
11,Mark Bunting,Outlander HX,0,36.09,0,31.05,0
12,Danielle Farnsworth,Hazelberg's Mercury,0,35.62,0,31.42,0
13,Ria Ward,Mark,0,35.10,0,31.64,0
14,Leo Lamb,Next Pinacolada,0,35.90,0,31.65,0
15,Harriette Rushton,C.Lest Best VDL Z,0,34.86,0,31.77,0
16,Holly Smith,Flying Saucer O.S,0,36.00,0,32.09,0
17,Harriette Rushton,Anytime Z,0,34.91,0,32.25,0
18,Gregory Hill,Strawberry Urs,0,36.04,0,32.87,0
19,Rosie Smith,Honorine AS,0,34.58,0,33.45,0
20,Poppy Dorise,Cicero's Boy HD,0,35.36,0,33.50,0
21,Daniel Moseley,Billy Be Magical,0,35.50,0,33.87,0
22,Ignacio Caba Guil,IV Willem,0,36.18,0,33.97,0
23,Elizabeth Rose Lutener,Emeril,0,36.57,0,34.25,0
24,Trevor Breen,Mgh Prima Ballerina,0,35.29,0,34.26,0
25,Ella Spencer,Billy Outspoken,0,35.13,0,34.41,0
26,Alfie Diaper,Ottawa,0,36.23,0,34.42,0
27,James Adams Riley,Floris,0,37.36,0,35.13,0
28,Kirsty Hogg,Nitaine,0,36.35,0,35.31,0
29,Lowan Cruise Mills,Quando Z,0,36.62,0,35.59,0
30,Kate Ward,Munro,0,40.13,0,35.69,0
31,Madison Heath,Ti Amore van de Doornhaag,0,36.88,0,35.88,0
32,Jodie Hall Mcateer,Hardessa,0,36.64,0,36.31,0
33,Mia Breen,Crack 41,0,35.82,0,36.59,0
34,Ella Spencer,Cold Play S Z,0,35.66,0,36.77,0
35,Poppy Stronge,Kadermie van de Crumelhaeve,0,37.86,0,37.09,0
36,Holly Smith,Dunard Air Tyson,0,37.34,0,37.22,0
37,Greg Le Gear,Gucci's Envoy,0,35.57,0,38.08,0
38,Faye Adams,Ideal Meniljean,0,35.26,0,38.34,0
39,Danielle Farnsworth,Kwis,0,36.53,0,39.11,0
40,Tabby Morgan-Evans,Zilveren's Swizzle Time Bda,0,35.82,0,39.99,0
41,Miles Jon O'Donnell,Always And Forever,0,38.14,0,40.37,0
42,Emma Stoker,Skylandria Z,0,34.40,4,30.60,4
43,Jack Stirling,Os Vino,0,32.69,4,30.62,4
44,Charlotte Ash,Cali Star,0,34.82,4,31.55,4
45,Kirsty Pearce,Hadrianus WB,0,35.71,4,33.48,4
46,Leah Knowles,True Form,4,34.02,0,34.83,4
47,Rebecca Mason,Festina-K Van Kattenheye Z,0,36.78,4,35.14,4
48,Francesca Young,Carrickview Libretto,0,34.98,4,35.48,4
49,Jackson Reed Stephenson,Cicero's Star,0,38.50,4,36.78,4
50,Leo Lorimer,Touareg T,0,36.52,4,36.93,4
51,Peter Moloney,Osaka Q,4,35.63,0,37.67,4
52,Lily Attwood,Waddesdon's Rock,0,38.88,4,37.89,4
53,Brendan Pennarun,Snowman 333,4,36.66,0,38.25,4
54,Maisie Riley,Hk Dominatara,4,33.95,0,38.36,4
55,Greg Le Gear,O Halifax Boy DL,4,36.77,0,38.74,4
56,Isabelle Doyle,Fss Sunlight,4,35.76,0,38.81,4
57,Jessica Birkett,Ballyquirke Paddy,4,36.64,0,39.55,4
58,Samantha Livesey Gaynon,Billy Worcester,0,38.03,4,39.64,4
59,Rebecca Lithgow,Raimy van de Noordheuvel,4,37.47,0,39.89,4
60,Angela Thompson,Ca Va Fazallco,0,34.48,5,42.35,5
61,Samantha Livesey Gaynon,Nureyev C,4,38.08,1,42.94,5
62,Iwan Carpenter,Ramiro Dollar,4,34.04,4,33.05,8
63,Lowan Cruise Mills,Billy Can Can,0,36.92,8,33.97,8
64,Rebecca Marsh,N My Lady EX,0,34.97,8,35.33,8
65,Annabel Shields,Ses Denmark,0,35.59,8,35.47,8
66,J P Daker,Rozy vh Gebergte,4,35.08,4,35.67,8
67,Alexandra Somerville-Cotton,Comvaro,0,37.04,8,38.87,8
68,Chloe Gunning,Ron Weasley,4,38.15,4,39.36,8
69,Brendan Pennarun,King's Guard,8,38.77,0,39.50,8
70,Dee Kennedy,Narla Emerald Blue,4,36.72,4,39.82,8
71,Abbie Summers,Liebherr,20,36.57,0,36.96,20
72,Kitty Underwood,K,20,54.29,4,38.80,24
73,Sophie Howell,Saphira Ballante,20,58.60,8,40.22,28
,Phillip Spivey,Billy Van Gogh,EL,,,,
,Elizabeth Forrester,Conrad Fs Z,RET,,,,
,Sophie Slater,Boudicca,RET,,,,
