Posición,Jinete,Caballo,Puntos,Tiempo
1,Leonardo Medal Rionda,Ecloma K.S.H.,0,63.18
2,Luis Jesus Escobar,Nuts de Liam,0,63.66
3,Álvaro González De Zarate Fernandez,Jaguar de Perhet,0,64.94
4,Iván Serrano Sáez,Adv Avenger,0,65.47
5,Olivier Perreau,Jolicoeur des Joanins,0,65.73
6,Millie Allen,Liyanna Ter Wijnen Z,0,66.07
7,Santiago Nuñez Riva,Valenza de Capellan,0,66.33
8,Olivier Robert,Julia Galante,0,66.47
9,Jose Antonio Garcia Diana,Caviar,0,67.35
10,Jairo Junquera Perera,Kepler de Maeza,0,68.06
11,Janne Friederike Meyer-Zimmermann,Tresor Jw van de Moerhoeve,0,69.85
12,Barbara Schnieper,Nicole V.D. Woestenheide,0,70.42
13,Stefan Weemaes,Uzuri,0,73.69
13,Sanne Thijssen,Awesome Van Www.Olland.Biz,0,73.69
15,Ismael Garcia Roque,Jasper de Mormoulins,0,74.29
16,Kevin Gonzalez De Zarate Fernandez,Jivago de Brekka,0,74.31
17,Jack Whitaker,Melodie I,0,75.19
18,Carlos Gomez Sanchez,Uganda de Sauco,0,76.41
19,Imma Roquet Autonell,Mi Alba Del Maset,0,77.48
20,Javier Gutiérrez Rilo,Darko de Roanne JR,0,78.86
21,Miguel Honrubia Alvariño,Penelope Jms,4,64.91
22,Simone Coata,Joliesse Del Colle,4,69.79
23,Ricardo Jurado,Louisa JR,4,71.53
24,Finn Boerekamp,Cita W,4,72.89
25,Roi Calviño Rabon,Balou de Lis,4,76.27
26,Alberto Marquez Galobardes,Ananda T,4,79.56
27,Luis Fernandez Gil Fournier,Titan YM,6,82.26
28,Elena Appendino,Wonder Obolensky de Lis Coco,8,71.20
29,Otti Verdu Vidal,Diana Hero des Desig Z,16,78.42
30,Marcos Diaz Rodriguez,Dicarema PS,33,101.28
,Mafalda Costa Marques,Update Vd Berghoeve,RET,
