Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II,Total
1,Fleur Beyne,Joske de Saar,0,34.41,0,27.04,0
2,Lily Bouvard,Heroce des Bargues,0,33.08,0,27.05,0
3,Pierre Wigny,Guanaco,0,31.99,0,27.58,0
4,Nakshath Venkatesh,Daredevil Z,0,34.82,0,27.64,0
5,Ali Hussain Alnowais,King Leon Z,0,34.02,0,27.72,0
6,Yannan Dai,Lover Boy Svo,0,34.58,0,27.73,0
6,Sierra Wilson,San Spot,0,34.85,0,27.73,0
8,Fleur Goorden,Babyspice,0,33.73,0,28.35,0
9,Leon Ahlmann,Rl Al The Blue,0,36.75,0,28.79,0
10,Kirstin Robbins,Davinci Vd Bosrand Z,0,34.43,0,28.95,0
11,Aisling Byrne,Supreme Action,0,34.88,0,29.08,0
12,Alex Atherton,Qilano van de Helle,0,35.46,0,29.66,0
13,Younes Mohamed Yakoub Ferradj,Tinkas Chaccoblue Van Essene,0,35.38,0,29.95,0
14,Mariela D´Agostino Vargas,Ehllo d'Argouges,0,36.76,0,30.26,0
15,Nele Kortsch,Big Solution,0,35.65,0,30.60,0
16,Monique Becker,Lust For Life van het Beeckhof,0,37.58,0,31.91,0
17,Karlien Fannes,Theodora van het Molenhof,0,37.05,0,34.39,0
18,Jorge Ganoza Durant,Isadora St Georges,1,38.22,0,31.83,1
19,Angela Gonzalez Muñoz,Sma Diarona,0,36.84,1,36.64,1
20,Georgina Round,Layla van het Bildeken Z,2,39.67,0,30.44,2
21,Victor de Boitselier,Uganda de Liebri Z,2,39.49,0,35.88,2
22,Ines van den Bosch,Paris van de Berghoeve,0,35.48,4,26.61,4
22,Devon Esrick,Adele Z,0,32.02,4,26.61,4
24,Giulia Schulze Blanck Fiorentino,Genasis,0,35.58,4,27.88,4
25,Siao Wang,Ivette du Terroir,0,30.60,4,28.31,4
26,Laura Larock,Fiesta,0,36.27,4,28.48,4
27,Bade Duru Atesçiçegi,True Blue de La Liniere,0,33.29,4,28.81,4
28,Margot Devisscher,Cornada Avo's Z,4,35.66,0,31.23,4
29,Valerie Blommaert,Tinkerbelle Vd Heffinck,0,35.21,4,32.12,4
30,Klara Robbins,Caluna Z,0,34.50,5,40.17,5
31,Noor Rawji,Dhengis d'Amour Z,6,39.44,0,34.50,6
32,Tara Dow-Rein,Groovy des Brimbelles,0,36.47,6,41.62,6
33,Laura Saelens,This Is A Beauty van de Smeets,1,38.56,6,37.29,7
34,Maxime Boelaert,Nazaire Vd Watermolen,4,32.00,4,28.03,8
35,Sam Maelfait,Neptune Z,0,34.64,8,29.60,8
36,Rodolphe Bernard,Chyva de Bois Mesange Z,4,37.21,4,32.67,8
37,Kristina Zubac,Contuto PS,8,41.66,5,40.49,13
38,Jana Deneyer,M&M van het Drijneerveld Z,8,35.91,8,28.40,16
39,Charlotte Maccagnani,Eic Lloyd,2,39.66,14,49.28,16
40,Jeanne Bernard,Udo van de Beemden,8,34.71,13,44.92,21
41,Valentine Auguin,Enjoy de Malotithe,0,35.79,23,50.72,23
42,Julie Pascale Ruant,Cleopatra Of Picobello Z,0,32.57,24,55.17,24
43,Maya Ganoza Guerrero,Divent Andour de Hus,0,35.68,31,58.78,31
,Morgane Claeys,Gominka L,RET,,,,
,Bathilde Lorenzetti,Vangelis Pommex Z,EL,,,,
