Posición,Jinete,Caballo,Puntos,Tiempo
1,Felix Hassmann,Casablanca Awz,0,53.55
2,Marvin Jüngel,Lightness T,0,54.85
3,Basile Bettendorf,Veyron Cs,0,55.17
4,Magdalena Fischer,Sassou,0,56.08
5,Tina Deuerer,Dsp Emrado D,0,57.20
6,Joana Schildknecht,Rossini Ter Spelonck,0,59.08
7,Philip Houston,Chaccsky Ps,0,59.25
8,Christian Svendgaard,Knoxville,0,59.60
9,Emma Bachl,Castro B 3,0,59.76
10,Michael Eichler,Cocolina 17,0,60.14
11,Mick Haunhorst,Cascadeur 115,0,60.18
12,Klara Fischer,It's Me,0,60.93
13,Elisabeth Meyer,Extra With Chilli Z,0,60.97
14,Fritz Fervers,Nica-linn,0,61.05
15,Tobias Bachl,Verdinand B,0,61.50
16,Vince Jarmy,Van Stien W Z,0,62.23
17,Tereza Praskova,Caivano,0,62.48
18,Maximilian Ertz,Cavano Fly Ps,0,63.23
19,Hans-Günther Blum,Tip Top Van De Zuuthoeve Z,4,54.80
20,Felix Wassenberg,Coco Chanel 311,4,55.93
21,Sven Sieger,Iva De La Cor,4,56.46
22,Mikka Roth,Quendresa Pf,4,56.89
23,Thomas O'Brien,Scotch Blue S,4,58.06
24,Robert Conredel,Sixpack 11,4,58.47
25,Ulrich Hensel,Miss Million,4,58.89
26,Carlotta Reisacher,Haribo Gem,4,58.96
27,Tom Sanders,Bilbao S 3,4,59.94
28,Emely Karoline Paulsen,Gigant K.v.,4,60.18
29,Willi Fischer,Big Eddy,4,60.37
30,Ruven Simon,Gilles Vd Vosberg Z,4,60.91
31,Carola Wegener,Edgar Ps,4,61.06
32,Aidan Kennedy,Nagano De La Pomme,4,62.14
33,Clarissa Ingerl,Oakley,4,63.00
34,Marcel Schneider,Bruderherz Mey,4,63.39
35,Ava Ferch,Tendresse De La Vie Z,4,65.14
36,Daniel Böttcher,Baloutino,8,60.20
37,Marie Flick,Didou Blofagnu Z,8,61.35
38,Lea Kremer,Selma,8,61.45
39,Daniela Niederstrasser,Spitfire,8,62.06
40,Sven Ebert,Ilona II,8,62.35
41,Paula Fischer,Siria's Bellina,8,65.92
42,Simone Baur,Baghira 110,12,59.26
43,Tamara Schnyder,Geronimo De Vains,12,59.88
44,Patrik Eigenmann,Loreina,12,67.12
45,Felix Müller,Carl Otto 5,16,57.35
46,Anuschka Schauer,Fevrier De Hus,16,59.74
47,Bakhromjon Gaziev,Santos Hippica,18,73.49
48,Angelina Krausse-Herröder,Funky For Pleasure,20,79.88
