Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II,Total
1,Sean Monaghan,Champagne BW,0,49.13,0,26.09,0
2,Michael Duffy,Gallahad,0,47.18,0,26.82,0
3,Kendra Claricia Brinkop,Abercrombie Pommex Z,0,47.88,0,26.83,0
4,Simon Delestre,Special Edition de Muze,0,49.82,0,27.56,0
5,Daniel Deusser,Silence Dwerse Hagen,0,47.84,0,27.58,0
6,Koen Vereecke,Valentino Boy,0,47.79,0,28.18,0
7,Jenny Krogsaeter,Oakley DN,0,47.88,0,28.56,0
8,Petronella Andersson,Ayala de La Pomme Z,0,47.99,0,28.74,0
9,Anthony Philippaerts,Sire DC,0,47.95,0,28.81,0
10,Viktor Daem,Top Gun,0,48.84,0,29.00,0
11,Yves Vanderhasselt,Madness Vitseroel Z,0,44.52,0,29.05,0
12,Zoe Hank Conter,Sirius de W&S,0,48.89,0,29.38,0
13,Janika Sprunger,Jeasy de La Mure,0,43.44,0,29.46,0
14,Annelies Vorsselmans,Domichella Z,0,47.56,0,29.78,0
15,Thibeau Spits,Sissi Star D' Augustijn,0,48.10,0,29.98,0
16,Mike van Olst,Emir Z,0,48.61,0,30.26,0
17,Odile Gierech,Kiwi Colada Van Paemel Z,0,47.02,0,30.74,0
18,Alexis Lheureux,Mata Hari du Seigneur,0,48.05,0,30.82,0
19,Niels Bruynseels,Vintage,0,48.43,0,31.58,0
20,Frederic Vernaet,T' Sterre Vd Goevelhoeve Z,0,47.59,0,32.04,0
21,Neri Pieraccini,Mr Elvis-K Van Kattenheye Z,0,47.57,0,32.13,0
22,Jeanne Sadran,Hejunny Girl Van Beek Z,0,46.74,0,32.58,0
23,Roberto Mendonça Dias,Jackpot du Rouet,0,49.11,0,32.82,0
24,Jérôme Guery,Candy Prince de Leonte,0,48.62,0,32.85,0
25,Emma Sophia Spanko,Nikita GB,0,49.38,0,33.00,0
26,Lorenzo de Luca,Queelan,0,48.43,0,33.22,0
27,Jeroen de Winter,Jaika de Talma,0,48.80,0,33.25,0
28,Harry Allen,Marthe d'Ecaussinnes,0,49.13,0,34.61,0
29,Jos Verlooy,Tinder Vd Withoeve,0,49.60,0,34.68,0
30,Pieter Devos,Alice de Poteau Z,0,48.85,0,34.77,0
31,Maikel van der Vleuten,Santos de Walput,1,50.64,0,31.27,1
32,Evelyne Putters,Simply The Best X,1,50.26,0,31.53,1
33,Marlon Modolo Zanotelli,Odinent,1,50.27,0,32.33,1
34,Seppe Wouters,Topgun-K Van Kattenheye,1,50.03,0,32.41,1
35,Ivan Dalton,Odilon van den Hoogeweg,1,50.60,0,33.60,1
36,Christian Ahlmann,Glaucus Z,1,50.97,0,34.10,1
37,Sofia Westborg,Siska van de Helle,1,50.54,0,34.32,1
38,Guilherme Mattar,Pocahontas,3,52.44,0,32.34,3
39,Richard Vogel,Diatasio,0,43.36,4,27.72,4
40,Camila Mazza De Benedicto,Cailin vh Exelhof Z,0,47.43,4,29.98,4
41,Emilie Conter,Domperignon Pommex Z,0,46.62,4,31.11,4
42,Alix Ragot,June Dor,4,47.01,0,31.81,4
43,Bruno Martins Costa,Jostakin'KA,0,45.65,4,32.46,4
44,Hilary Scott,Oaks Evita,0,47.51,4,32.48,4
45,Mathieu Guery,I'M Special Van'T Beaukeshof Z,0,48.05,4,34.23,4
46,Caroline Devos-Poels,Chadli de Bo Z,4,49.11,0,34.40,4
47,Oleksandr Prodan,Jailbreak d'Argance,0,49.13,4,34.77,4
48,Francis Derwin,Cool Jumper HB,3,52.61,1,35.14,4
49,Gregory Wathelet,Justinien de Vains,5,50.73,0,33.42,5
50,Kim Emmen,No Limit,2,51.20,4,34.46,6
51,Angelica Augustsson Zanotelli,Snowball,2,51.35,4,34.58,6
52,Eduardo Pereira De Menezes,Excellent Sunshine Z,4,44.42,4,29.64,8
53,Olivier Philippaerts,Great Lady Rv Z,4,46.54,4,31.66,8
54,Alberto Zorzi,Emerald Blue R.S.,7,52.59,1,35.70,8
55,Gilles Thomas,The Lewis van het Heidehof,22,67.36,1,35.45,23
56,Felipe Amaral,Ega van de Hoek Z,0,46.08,23,53.85,23
57,Emma Bodier,Jepsilon Mouche,25,74.46,14,44.82,39
