Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Harry Charles,Ballypatrick Tiberius,0,71.55,0,39.19
2,Tom Schewe,Congress Blue PS,0,73.05,0,40.02
3,Luca Coata,Holly Del Rilate,0,72.08,0,41.04
4,Olivier Perreau,Leopard des Joanins Z,0,72.95,0,41.45
5,Paola Amilibia,I'M A Star,0,73.20,0,42.99
6,Christian Marini,Chalasanga PS,0,73.75,0,43.79
7,Scott Brash,Kohiba,0,70.55,4,36.30
8,Rodrigo Giesteira Almeida,Chicco van de Doornhaag Z,0,72.23,4,36.85
9,José María (jr) Larocca,Chris,0,70.42,4,38.60
10,Janne Friederike Meyer-Zimmermann,Cellagon Cascais,0,74.05,4,39.22
11,Sira Martinez Cullell,Texas,0,72.51,8,41.30
12,Robert Whitaker,Equine America Vermento,0,71.65,12,57.36
13,Pedro Veniss,Gershwin Dromelle,4,68.27,,
14,Stanislas de Malet,Zambo M Z,4,69.35,,
15,Julio Arias Cueva,Filou du Manoir,4,69.50,,
16,Gudrun Patteet,Baron - Rr Z,4,71.72,,
17,Yuri Mansur,Mister Jup,4,71.74,,
18,João Victor Castro Aguiar Gomes de Lima,Cashpaid J&F,4,72.07,,
19,Ismael Garcia Roque,Tirano,4,72.20,,
20,Emanuele Camilli,Chacco's Air PS,4,73.90,,
21,Edouard Schmitz,Agassi Z,4,73.91,,
22,Jack Whitaker,Jack JL,4,73.94,,
23,David Simpson,Kolman Vdp,4,73.96,,
24,Iván Serrano Sáez,Hora Ito Batilly,4,73.99,,
25,Simone Coata,Tokio Vg Z,4,74.03,,
26,Luciana Diniz,Holly Rzh,4,74.04,,
27,Barbara Schnieper,Canice,8,68.95,,
28,Penelope Leprevost,Fair Play Margot,8,70.11,,
29,Riccardo Pisani,Casacco PS,8,70.79,,
30,Constant van Paesschen,Unaki de Bornival Z,8,70.80,,
31,Javier Gonzalez Fraga,Sonic Jgf,8,71.75,,
32,Lucia Fernandez Hidalgo,Byblos d'Elle,8,71.77,,
33,Marc Dilasser,Kanelle d'Ecaussinnes,8,71.81,,
34,Alexa Ferrer,Hastoria Bo Regard,8,71.83,,
35,Millie Allen,Quickly D vh Ijzerenlindehof,8,72.31,,
36,Armando Trapote,Gin Tonic van het Gerendal Z,8,72.39,,
37,Eduardo Alvarez Aznar,Harlequin des Flagues,8,72.76,,
38,Finn Boerekamp,Cirondine Z,12,70.54,,
39,Jules Orsolini,Charlotte 198,12,71.99,,
40,Emanuele Gaudiano,Chalou's Love PS,12,74.69,,
41,Jesus Garmendia Echevarria,Caramel Blue PS,13,76.84,,
42,Sanne Thijssen,King Blue,16,71.84,,
43,Imma Roquet Autonell,Elba Del Maset,16,73.31,,
44,Luis Jesus Escobar,Edesa's Jento de Belle Vue,16,73.40,,
45,Luisa Horta Osorio,Feeling de La Houssiere,16,74.21,,
46,Kevin Gonzalez De Zarate Fernandez,Djoural de Lizet,16,74.78,,
47,Luis Fernandez Gil Fournier,Ibon,20,73.31,,
48,Dalma Malhas,Kinghill Koningshoeve,21,76.96,,
—,Alberto Marquez Galobardes,Coolboy,RET,,,
—,Olivier Robert,Iglesias D.V.,RET,,,
—,Stefan Weemaes,Gospel de Grandry,RET,,,
