Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II,Total
1,Marek Lewicki,La Pezi (OS),0,35.72,0,25.11,0
2,Andrius Petrovas,Rowin Van De Brouwershoeve (BWP),0,36.14,0,26.67,0
3,Roberto Cristofoletti,Jackpot Hero (AES),0,39.80,0,27.10,0
4,Michael Viehweg,Cartal (WESTF),0,35.63,0,27.28,0
5,Matthias Lucas,Gin Mare (HANN),0,33.72,0,27.31,0
6,Krzysztof Ludwiczak,Celtic (HOLST),0,38.03,0,27.47,0
7,Bart Bles,Supreme Ep (SF),0,35.98,0,27.58,0
8,Simon Heineke,Dinesso (HOLST),0,39.36,0,27.67,0
9,Burak Uluçay,Holivia H (KWPN),0,35.21,0,27.68,0
10,Harm Lahde,Holland V.d. Valckenborg (KWPN),0,37.43,0,27.79,0
11,Aleksandra Kierznowska,Miss Nevada (PZHK (WLKP)),0,37.89,0,28.15,0
12,Michal Kazmierczak,Nigiri (HANN),0,36.57,0,28.40,0
12,Lorenzo Argentano,Dakota Blue Girl (OLDBG),0,35.79,0,28.40,0
14,Gert Jan Bruggink,Vigalio Sho Z (ZANG),0,37.20,0,29.16,0
15,Antoni Strzalkowski,Clapton (OS),0,38.61,0,29.59,0
16,Daria Kobiernik,Verbora D'athena Z (ZANG),0,38.03,0,29.67,0
17,Saad Alajmi,Corisha Del Maset (CDE),0,38.76,0,29.89,0
18,Marie Flick,Da Vinci Sr Z (ZANG),0,37.91,0,30.45,0
19,Tomasz Miskiewicz,Kaszmir (WESTF),0,38.76,0,30.53,0
20,Grzegorz Nowak,Kaskada (HOLST),0,37.35,0,30.84,0
21,Christian Rhomberg,Incredible De Marny (SF),0,38.95,0,31.05,0
22,Saule Jocyte,Panama,0,38.43,0,31.54,0
23,Holger Wulschner,Kanthago (HOLST),0,36.19,0,31.63,0
24,Lukasz Koza,Soricco Van't Slot (BWP),0,39.60,0,32.70,0
25,Grzegorz Faber,Stacorrado (HOLST),0,37.89,0,32.76,0
26,Andre Thieme,Emmes 5 (OS),0,39.49,0,33.18,0
27,Feruz Abdullaev,Conlouba (HANN),0,40.42,0,33.53,0
28,Msciwoj Kiecon,Camillo (HOLST),0,38.59,0,33.65,0
29,Linda Portychova,Vivano Blue (OS),0,39.77,0,34.46,0
30,Jacek Polikowski,Lector (MECKL),0,38.09,0,35.58,0
31,Mykola Pylypeiko,Money Time (HOLST),0,38.87,0,35.62,0
32,Josefina Goess-Horstmann,Ja Belle Stability (KWPN),0,38.04,0,35.79,0
33,Nicole Holmén,Carmega (SWB),0,40.74,0,37.26,0
34,Christian Hess,Zafir 13 (WESTF),0,38.58,1,40.35,1
35,Matilde Bono,Oo Seven Vd Molendreef (BWP),0,36.38,4,27.39,4
36,Jesse Luther,Kiara 138 (HOLST),0,38.22,4,28.13,4
37,Max Haunhorst,Cera Blue B (HANN),0,38.01,4,29.84,4
38,Slawomir Uchwat,Miss-marvelous B (KWPN),0,38.33,4,32.38,4
39,Tomma Thiesen,Bert 74 (HOLST),0,34.86,4,33.13,4
40,Anna Szary Ziebicka,Bimber Boy (HOLST),0,36.62,4,33.45,4
41,Jakub Krzyzosiak,Noriane (KWPN),4,40.28,0,34.72,4
42,Abdurakhmon Abdullaev,Baloukato (HANN),4,37.36,0,35.58,4
43,Andres Vereecke,Halima Van Het Bonte Hof Z (ZANG),4,40.54,0,36.27,4
44,Hannes Ahlmann,Cimarosa 4 (HOLST),4,45.50,3,42.98,7
45,Enno Klaphake,Chacvarlon Ps (MECKL),6,43.59,8,43.13,14
