Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Madison Heath,Ivory,0,75.16,0,36.05
2,Ryan Page,Bp Ko Jax,0,73.90,0,36.36
3,Ignacio Caba Guil,Flying Star,0,78.69,0,36.95
4,Trevor Breen,Drewmain Meira,0,77.10,0,37.45
5,Holly Smith,Wellview Luxigraaf,0,80.61,0,39.28
6,William Fletcher,Kannan's Star L.H,0,77.71,0,39.69
7,John Whitaker,Cornets Olona,0,78.99,0,39.80
8,Lily Attwood,Karibou Horta,0,78.38,0,39.84
9,Mark Edwards,Dillinger NE,0,75.75,4,38.52
10,Jack Stirling,Rossini O.S,0,80.08,4,43.15
11,Peter Moloney,Dynamo Van Broekhoven Wf Z,0,79.48,4,44.51
12,Emily Ward,Invictrix Bois Chenu,0,79.51,8,44.30
13,Laura Mantel,Calcourt Clear Gold,0,79.08,RET,
13,Tim Gredley,Don Royale,0,78.97,No Cont,
15,Sophie Slater,Cool March,1,81.41,,
16,Joseph Stockdale,Fmbs Therapy Systems Satisfaction,4,74.65,,
17,Josh Betts,Merci VK,4,74.73,,
18,Jessica Hewlett,Mosandro Van Perbeemd,4,76.67,,
19,Holly Dunning,Harthill Mexico,4,77.51,,
20,Christopher Franks,Black Friday 3,4,79.65,,
21,Poppy Stronge,Lamshire.Ryal.K.,4,79.85,,
22,Joe Davies,Lanos O.M.,4,80.19,,
23,Phillip Spivey,Billy Disco,4,80.90,,
24,Leo Lamb,Las Palmas VG,4,80.95,,
25,Lance Whitehouse,Superstar,5,81.65,,
26,Oliver Tuff,Nebraska,6,82.16,,
27,J P Daker,Bazaar van het Bellehof Z,7,83.94,,
28,Alexander Mclean,Don Viepar,8,77.34,,
29,Isabelle Doyle,Claxon van de Bosweg,8,78.18,,
30,Sammie Jo Coffin,Big Star Of Follyfoot Z,8,78.65,,
31,Laura Renwick,Billy Tamrac,8,79.24,,
32,Lottie Tutt,Billy Salut,8,80.45,,
33,Nicole Pavitt,Domination Z,8,80.97,,
34,Daniel Moseley,Laros,9,81.95,,
35,Faye Sutton,Lift Off,12,84.03,,
36,Alfie Diaper,Ottawa,13,81.18,,
37,Jonathon Buxton,Orlesh,13,81.97,,
38,Cate Kerr,Petitfour Vd Wareslage,16,79.27,,
39,Emma Stoker,Olivera Z,16,79.79,,
40,Leah Knowles,Scutchers,18,82.20,,
41,Ben Edwards,Catino Ask,18,90.51,,
42,Rebecca Marsh,Levi III,32,96.38,,
43,Kate Ward,Munro,34,98.09,,
,Guy Williams,Kermit Van Overis Z,RET,,,
,Jenna Palmer Evans,Ciasko Z,RET,,,
,Carron Nicol,Dolomite Z,RET,,,
,Kathryn Ellison,Tudor Lough,EL,,,
,Michael Tuff,Mozart van het Netehof,RET,,,
