Posición,Jinete,Caballo,Puntos,Tiempo
1,Matthias Lucas,Gin Mare,0,56.10
2,Max Haunhorst,M.ovetus King Wp,0,56.82
3,Michal Kazmierczak,Nigiri,0,56.98
4,Andrius Petrovas,Just Cornet R.t.,0,57.52
5,Roberto Turchetto,Diabolo D'encre,0,57.73
6,Zuzanna Januszewska,Rox Coriana-p,0,57.87
7,Simon Heineke,Dinesso,0,58.06
8,Marie Flick,Didou Blofagnu Z,0,58.37
9,Karmela Wolniewicz,Hoetzenhof Coco Jamboo,0,59.96
10,Christian Hess,Quick Marie 2,0,59.99
11,Judyta Perek,Cedynia,0,60.72
12,Enno Klaphake,Nozem,0,61.37
13,Judyta Perek,Quintus,0,61.48
14,Antoni Strzalkowski,Clapton,0,61.78
15,Filip Skrzyczynski,Hard To Beat,0,62.84
16,Renee Ulvsbjerg,Chardonnay Z,0,63.27
17,Bart Bles,Jancoulavsco Fortuna,0,63.76
18,Jesse Luther,Moon Boy,0,67.73
19,Hannes Ahlmann,Courchevel Jl,0,69.25
20,Renee Ulvsbjerg,Horhiro Kdw Z,0,69.36
21,Aleksandra Kierznowska,Miss Nevada,0,69.41
22,Linda Portychova,Black & White P.,0,69.47
23,Patryk Skrzyczynski,DI Caprio Z,0,69.51
24,Hanna Osieka,Miss Piggy,0,70.26
25,Jacek Polikowski,Agandor Z,0,71.06
26,Feruz Abdullaev,Caliana 6,0,71.86
27,Jacek Polikowski,Defender Z,1,72.63
28,Deirdre Reilly,Odiamant Van 't Laar,2,73.97
29,Andres Vereecke,Ona Van De Begijnakker,4,53.48
30,Kristaps Neretnieks,Chicarito,4,54.82
31,Malgorzata Koszucka,Monarch Baraka,4,59.44
32,Evita Vismeryte,Falcon,4,63.89
33,Josefina Goess-Horstmann,Marvantos,4,67.97
34,Patryk Skrzyczynski,Cube,4,69.27
35,Tomma Thiesen,Django Riff,4,71.09
36,Julia Bluj,Corlantina Hippica,8,67.37
37,Grzegorz Nowak,Night Lady K,8,70.83
38,Zuzanna Januszewska,Conterno,8,71.67
39,Bekzod Kurbanov,Affir,14,81.93
,Saule Jocyte,Quintago Nso,EL,
