Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Abdullah Alsharbatly,KSA,Vintadge de La Roque,8415,0,51.67
2,Anthony Condon,IRL,Creevyquinn Pearl,5100,0,52.27
3,Mel Thijssen,NED,Cartolana 2,3825,0,53.66
4,Jesus Bamonde,ESP,Caporal d'Elle,2550,0,53.69
5,Piet Raijmakers Jr,NED,Van Schijndel's Olaya Z,1530,0,54.62
6,Jesus Garmendia Echevarria,ESP,Valut 2,1147.5,0,55.17
7,Alex Codina Leria,ESP,Cruising Star,765,0,56.14
8,Borja Villalon Puras,ESP,Jay Jay ES,637.5,0,56.36
9,Karl Robins,GBR,Flashback VL,510,0,56.52
10,Manuel Fernandez Saro,ESP,Tiffany de Olid,510,0,58.20
11,Aurelien Leroy,FRA,Croqsel de Blaignac,255,0,58.69
12,Ignace Philips De Vuyst,BEL,Jasper,255,0,59.25
13,Santiago Nuñez Riva,ESP,Valentino de Hus Z,,0,59.51
14,Alberto Marquez Galobardes,ESP,Aldo du Manoir,,0,59.57
15,Neal Fearon,IRL,No Limit 67,,0,60.29
16,Gonzalo Busca Roca,ESP,Classified,,0,64.83
17,Niels Kersten,NED,Tippy Z,,4,52.18
18,Olivier Perreau,FRA,Bresil de Carnaval,,4,52.54
19,Ibrahim Hani Bisharat,JOR,Happyness,,4,53.46
20,Alfons Roquet Puignero,ESP,Con Artist,,4,55.00
21,Duarte Seabra,POR,Mhs Fernhill Showtime,,4,56.30
22,Jose Fumero Hernandez,ESP,Esto de Viscourt,,4,57.72
23,Carolina Villanueva Suarez,ESP,Casting de La Wantz,,4,58.44
24,Cayetano Martinez De Irujo,ESP,Dearest Diamond RS,,4,59.54
25,Guillaume Foutrier,FRA,Toscane Z,,4,60.42
26,Kevin Gonzalez De Zarate Fernandez,ESP,Be Mylord de Glain,,4,61.52
27,Jackson Reed Stephenson,GBR,Muna Vd Bisschop,,8,54.50
28,Enrique Camiruaga,ESP,Severnaya,,8,59.24
29,Axel van Colen,FRA,Done'Di Amore,,8,60.90
30,Francois Xavier Boudant,FRA,Eloge de La Tour,,12,57.53
